Species,Duplication,Classification,Number
Stuberosum,dispersed,gbM-gbM,698
Stuberosum,proximal,gbM-gbM,84
Stuberosum,tandem,gbM-gbM,277
Stuberosum,transposed,gbM-gbM,571
Stuberosum,wgd,gbM-gbM,1163
Stuberosum,dispersed,gbM-teM,247
Stuberosum,proximal,gbM-teM,34
Stuberosum,tandem,gbM-teM,83
Stuberosum,transposed,gbM-teM,153
Stuberosum,wgd,gbM-teM,295
Stuberosum,dispersed,gbM-Unclassified,251
Stuberosum,proximal,gbM-Unclassified,67
Stuberosum,tandem,gbM-Unclassified,188
Stuberosum,transposed,gbM-Unclassified,184
Stuberosum,wgd,gbM-Unclassified,297
Stuberosum,dispersed,gbM-unM,245
Stuberosum,proximal,gbM-unM,46
Stuberosum,tandem,gbM-unM,102
Stuberosum,transposed,gbM-unM,197
Stuberosum,wgd,gbM-unM,292
Stuberosum,dispersed,teM-teM,280
Stuberosum,proximal,teM-teM,65
Stuberosum,tandem,teM-teM,162
Stuberosum,transposed,teM-teM,309
Stuberosum,wgd,teM-teM,30001
Stuberosum,dispersed,teM-Unclassified,144
Stuberosum,proximal,teM-Unclassified,41
Stuberosum,tandem,teM-Unclassified,101
Stuberosum,transposed,teM-Unclassified,122
Stuberosum,wgd,teM-Unclassified,1427
Stuberosum,dispersed,Unclassified-Unclassified,99
Stuberosum,proximal,Unclassified-Unclassified,41
Stuberosum,tandem,Unclassified-Unclassified,119
Stuberosum,transposed,Unclassified-Unclassified,70
Stuberosum,wgd,Unclassified-Unclassified,173
Stuberosum,dispersed,unM-teM,147
Stuberosum,proximal,unM-teM,35
Stuberosum,tandem,unM-teM,64
Stuberosum,transposed,unM-teM,143
Stuberosum,wgd,unM-teM,370
Stuberosum,dispersed,unM-Unclassified,186
Stuberosum,proximal,unM-Unclassified,36
Stuberosum,tandem,unM-Unclassified,188
Stuberosum,transposed,unM-Unclassified,132
Stuberosum,wgd,unM-Unclassified,307
Stuberosum,dispersed,unM-unM,218
Stuberosum,proximal,unM-unM,75
Stuberosum,tandem,unM-unM,242
Stuberosum,transposed,unM-unM,187
Stuberosum,wgd,unM-unM,602
