"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Sviridis"
"2","TEs","Genes",-0.668683685849259,0,"Sviridis"
"3","TE.nucleotidess","Genes",-0.835737684300291,0,"Sviridis"
"4","gbM","Genes",0.667478137097753,0,"Sviridis"
"5","teM","Genes",0.200832309051211,0,"Sviridis"
"6","unM","Genes",0.882908565798038,0,"Sviridis"
"7","Unclassified","Genes",0.654587154350378,0,"Sviridis"
"8","Genes","TEs",-0.668683685849259,0,"Sviridis"
"9","TEs","TEs",1,NA,"Sviridis"
"10","TE.nucleotidess","TEs",0.731553146581247,0,"Sviridis"
"11","gbM","TEs",-0.579175694352515,0,"Sviridis"
"12","teM","TEs",-0.0295763523934856,0.00848115474102906,"Sviridis"
"13","unM","TEs",-0.545687320261433,0,"Sviridis"
"14","Unclassified","TEs",-0.48406429224691,0,"Sviridis"
"15","Genes","TE.nucleotidess",-0.835737684300291,0,"Sviridis"
"16","TEs","TE.nucleotidess",0.731553146581247,0,"Sviridis"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Sviridis"
"18","gbM","TE.nucleotidess",-0.654030864497979,0,"Sviridis"
"19","teM","TE.nucleotidess",-0.097654769723549,0,"Sviridis"
"20","unM","TE.nucleotidess",-0.716041761927943,0,"Sviridis"
"21","Unclassified","TE.nucleotidess",-0.570157348160219,0,"Sviridis"
"22","Genes","gbM",0.667478137097753,0,"Sviridis"
"23","TEs","gbM",-0.579175694352515,0,"Sviridis"
"24","TE.nucleotidess","gbM",-0.654030864497979,0,"Sviridis"
"25","gbM","gbM",1,NA,"Sviridis"
"26","teM","gbM",-0.0333531403720343,0.0029916025785286,"Sviridis"
"27","unM","gbM",0.399571920691497,0,"Sviridis"
"28","Unclassified","gbM",0.40026288191757,0,"Sviridis"
"29","Genes","teM",0.200832309051211,0,"Sviridis"
"30","TEs","teM",-0.0295763523934856,0.00848115474102906,"Sviridis"
"31","TE.nucleotidess","teM",-0.097654769723549,0,"Sviridis"
"32","gbM","teM",-0.0333531403720343,0.0029916025785286,"Sviridis"
"33","teM","teM",1,NA,"Sviridis"
"34","unM","teM",0.0468529578466116,3.028899762203e-05,"Sviridis"
"35","Unclassified","teM",0.00820570733121339,0.465293074902986,"Sviridis"
"36","Genes","unM",0.882908565798038,0,"Sviridis"
"37","TEs","unM",-0.545687320261433,0,"Sviridis"
"38","TE.nucleotidess","unM",-0.716041761927943,0,"Sviridis"
"39","gbM","unM",0.399571920691497,0,"Sviridis"
"40","teM","unM",0.0468529578466116,3.028899762203e-05,"Sviridis"
"41","unM","unM",1,NA,"Sviridis"
"42","Unclassified","unM",0.409138775828719,0,"Sviridis"
"43","Genes","Unclassified",0.654587154350378,0,"Sviridis"
"44","TEs","Unclassified",-0.48406429224691,0,"Sviridis"
"45","TE.nucleotidess","Unclassified",-0.570157348160219,0,"Sviridis"
"46","gbM","Unclassified",0.40026288191757,0,"Sviridis"
"47","teM","Unclassified",0.00820570733121339,0.465293074902986,"Sviridis"
"48","unM","Unclassified",0.409138775828719,0,"Sviridis"
"49","Unclassified","Unclassified",1,NA,"Sviridis"
