"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Sviridis"
"2","TEs","Genes",-0.529529496193469,0,"Sviridis"
"3","TE.nucleotidess","Genes",-0.688354180925606,0,"Sviridis"
"4","gbM","Genes",0.558060201246148,0,"Sviridis"
"5","TE.like","Genes",NA,NA,"Sviridis"
"6","Unmethylated","Genes",0.854276505696533,0,"Sviridis"
"7","Unclassified","Genes",0.537298847309061,0,"Sviridis"
"8","Genes","TEs",-0.529529496193469,0,"Sviridis"
"9","TEs","TEs",1,NA,"Sviridis"
"10","TE.nucleotidess","TEs",0.731553146581247,0,"Sviridis"
"11","gbM","TEs",-0.449788847432946,0,"Sviridis"
"12","TE.like","TEs",NA,NA,"Sviridis"
"13","Unmethylated","TEs",-0.427714517987043,0,"Sviridis"
"14","Unclassified","TEs",-0.343919005355904,0,"Sviridis"
"15","Genes","TE.nucleotidess",-0.688354180925606,0,"Sviridis"
"16","TEs","TE.nucleotidess",0.731553146581247,0,"Sviridis"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Sviridis"
"18","gbM","TE.nucleotidess",-0.520942888665242,0,"Sviridis"
"19","TE.like","TE.nucleotidess",NA,NA,"Sviridis"
"20","Unmethylated","TE.nucleotidess",-0.5847557052576,0,"Sviridis"
"21","Unclassified","TE.nucleotidess",-0.410816521905985,0,"Sviridis"
"22","Genes","gbM",0.558060201246148,0,"Sviridis"
"23","TEs","gbM",-0.449788847432946,0,"Sviridis"
"24","TE.nucleotidess","gbM",-0.520942888665242,0,"Sviridis"
"25","gbM","gbM",1,NA,"Sviridis"
"26","TE.like","gbM",NA,NA,"Sviridis"
"27","Unmethylated","gbM",0.263165966445673,0,"Sviridis"
"28","Unclassified","gbM",0.250476313104383,0,"Sviridis"
"29","Genes","TE.like",NA,NA,"Sviridis"
"30","TEs","TE.like",NA,NA,"Sviridis"
"31","TE.nucleotidess","TE.like",NA,NA,"Sviridis"
"32","gbM","TE.like",NA,NA,"Sviridis"
"33","TE.like","TE.like",1,NA,"Sviridis"
"34","Unmethylated","TE.like",NA,NA,"Sviridis"
"35","Unclassified","TE.like",NA,NA,"Sviridis"
"36","Genes","Unmethylated",0.854276505696533,0,"Sviridis"
"37","TEs","Unmethylated",-0.427714517987043,0,"Sviridis"
"38","TE.nucleotidess","Unmethylated",-0.5847557052576,0,"Sviridis"
"39","gbM","Unmethylated",0.263165966445673,0,"Sviridis"
"40","TE.like","Unmethylated",NA,NA,"Sviridis"
"41","Unmethylated","Unmethylated",1,NA,"Sviridis"
"42","Unclassified","Unmethylated",0.26755361599696,0,"Sviridis"
"43","Genes","Unclassified",0.537298847309061,0,"Sviridis"
"44","TEs","Unclassified",-0.343919005355904,0,"Sviridis"
"45","TE.nucleotidess","Unclassified",-0.410816521905985,0,"Sviridis"
"46","gbM","Unclassified",0.250476313104383,0,"Sviridis"
"47","TE.like","Unclassified",NA,NA,"Sviridis"
"48","Unmethylated","Unclassified",0.26755361599696,0,"Sviridis"
"49","Unclassified","Unclassified",1,NA,"Sviridis"
