Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Sviridis,unM-unM,unM,unM,0,0,58,0.0105974785309702,0-0
Sviridis,unM-unM,unM,unM,1,0,0,0,1-0
Sviridis,unM-unM,unM,unM,0,1,539,0.0984834642791887,0-1
Sviridis,unM-unM,unM,unM,1,1,4876,0.890919057189841,1-1
Sviridis,gbM-unM,gbM,unM,0,0,13,0.013555787278415,0-0
Sviridis,gbM-unM,gbM,unM,1,0,77,0.0802919708029197,1-0
Sviridis,gbM-unM,gbM,unM,0,1,75,0.0782064650677789,0-1
Sviridis,gbM-unM,gbM,unM,1,1,794,0.827945776850886,1-1
Sviridis,gbM-gbM,gbM,gbM,0,0,7,0.00560897435897436,0-0
Sviridis,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Sviridis,gbM-gbM,gbM,gbM,0,1,176,0.141025641025641,0-1
Sviridis,gbM-gbM,gbM,gbM,1,1,1065,0.853365384615385,1-1
Sviridis,unM-teM,unM,teM,0,0,0,0,0-0
Sviridis,unM-teM,unM,teM,1,0,10,0.0203665987780041,1-0
Sviridis,unM-teM,unM,teM,0,1,30,0.0610997963340122,0-1
Sviridis,unM-teM,unM,teM,1,1,451,0.918533604887984,1-1
Sviridis,teM-teM,teM,teM,0,0,8,0.00712377560106857,0-0
Sviridis,teM-teM,teM,teM,1,0,0,0,1-0
Sviridis,teM-teM,teM,teM,0,1,65,0.0578806767586821,0-1
Sviridis,teM-teM,teM,teM,1,1,1050,0.934995547640249,1-1
Sviridis,gbM-teM,gbM,teM,0,0,0,0,0-0
Sviridis,gbM-teM,gbM,teM,1,0,7,0.0507246376811594,1-0
Sviridis,gbM-teM,gbM,teM,0,1,9,0.0652173913043478,0-1
Sviridis,gbM-teM,gbM,teM,1,1,122,0.884057971014493,1-1
