row,column,cor,p,sps,p.adjust
Genes,Genes,1,NA,Aduranensis,NA
TEs,Genes,-0.149927876159216,0,Aduranensis,0
TE.nucleotidess,Genes,-0.411860123104137,0,Aduranensis,0
gbM,Genes,0.574183794220527,0,Aduranensis,0
teM,Genes,0.639437234225696,0,Aduranensis,0
unM,Genes,0.69230405458322,0,Aduranensis,0
Unclassified,Genes,0.495609608087926,0,Aduranensis,0
Genes,TEs,-0.149927876159216,0,Aduranensis,0
TEs,TEs,1,NA,Aduranensis,NA
TE.nucleotidess,TEs,0.784797518406327,0,Aduranensis,0
gbM,TEs,-0.138060128236069,0,Aduranensis,0
teM,TEs,0.00619846329925289,0.35112515580175,Aduranensis,0.361123024702711
unM,TEs,-0.0982482909030203,0,Aduranensis,0
Unclassified,TEs,-0.089058811707067,0,Aduranensis,0
Genes,TE.nucleotidess,-0.411860123104137,0,Aduranensis,0
TEs,TE.nucleotidess,0.784797518406327,0,Aduranensis,0
TE.nucleotidess,TE.nucleotidess,1,NA,Aduranensis,NA
gbM,TE.nucleotidess,-0.326812285761241,0,Aduranensis,0
teM,TE.nucleotidess,-0.15177997076464,0,Aduranensis,0
unM,TE.nucleotidess,-0.329335293886238,0,Aduranensis,0
Unclassified,TE.nucleotidess,-0.238550629980703,0,Aduranensis,0
Genes,gbM,0.574183794220527,0,Aduranensis,0
TEs,gbM,-0.138060128236069,0,Aduranensis,0
TE.nucleotidess,gbM,-0.326812285761241,0,Aduranensis,0
gbM,gbM,1,NA,Aduranensis,NA
teM,gbM,0.102922446871871,0,Aduranensis,0
unM,gbM,0.315683772584309,0,Aduranensis,0
Unclassified,gbM,0.294387938208616,0,Aduranensis,0
Genes,teM,0.639437234225696,0,Aduranensis,0
TEs,teM,0.00619846329925289,0.35112515580175,Aduranensis,0.361123024702711
TE.nucleotidess,teM,-0.15177997076464,0,Aduranensis,0
gbM,teM,0.102922446871871,0,Aduranensis,0
teM,teM,1,NA,Aduranensis,NA
unM,teM,0.137482847124434,0,Aduranensis,0
Unclassified,teM,0.111515624886677,0,Aduranensis,0
Genes,unM,0.69230405458322,0,Aduranensis,0
TEs,unM,-0.0982482909030203,0,Aduranensis,0
TE.nucleotidess,unM,-0.329335293886238,0,Aduranensis,0
gbM,unM,0.315683772584309,0,Aduranensis,0
teM,unM,0.137482847124434,0,Aduranensis,0
unM,unM,1,NA,Aduranensis,NA
