"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Tcacao"
"2","TEs","Genes",-0.481129715855664,0,"Tcacao"
"3","TE.nucleotidess","Genes",-0.526409534696904,0,"Tcacao"
"4","gbM","Genes",0.502876845232021,0,"Tcacao"
"5","TE.like","Genes",NA,NA,"Tcacao"
"6","Unmethylated","Genes",0.928183500090286,0,"Tcacao"
"7","Unclassified","Genes",0.419249377205805,0,"Tcacao"
"8","Genes","TEs",-0.481129715855664,0,"Tcacao"
"9","TEs","TEs",1,NA,"Tcacao"
"10","TE.nucleotidess","TEs",0.948739761687766,0,"Tcacao"
"11","gbM","TEs",-0.356496103188905,0,"Tcacao"
"12","TE.like","TEs",NA,NA,"Tcacao"
"13","Unmethylated","TEs",-0.491903553582669,0,"Tcacao"
"14","Unclassified","TEs",-0.181839942403266,0,"Tcacao"
"15","Genes","TE.nucleotidess",-0.526409534696904,0,"Tcacao"
"16","TEs","TE.nucleotidess",0.948739761687766,0,"Tcacao"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Tcacao"
"18","gbM","TE.nucleotidess",-0.379499408380851,0,"Tcacao"
"19","TE.like","TE.nucleotidess",NA,NA,"Tcacao"
"20","Unmethylated","TE.nucleotidess",-0.531174445210761,0,"Tcacao"
"21","Unclassified","TE.nucleotidess",-0.205721482457318,0,"Tcacao"
"22","Genes","gbM",0.502876845232021,0,"Tcacao"
"23","TEs","gbM",-0.356496103188905,0,"Tcacao"
"24","TE.nucleotidess","gbM",-0.379499408380851,0,"Tcacao"
"25","gbM","gbM",1,NA,"Tcacao"
"26","TE.like","gbM",NA,NA,"Tcacao"
"27","Unmethylated","gbM",0.362370359223069,0,"Tcacao"
"28","Unclassified","gbM",0.169612006033469,0,"Tcacao"
"29","Genes","TE.like",NA,NA,"Tcacao"
"30","TEs","TE.like",NA,NA,"Tcacao"
"31","TE.nucleotidess","TE.like",NA,NA,"Tcacao"
"32","gbM","TE.like",NA,NA,"Tcacao"
"33","TE.like","TE.like",1,NA,"Tcacao"
"34","Unmethylated","TE.like",NA,NA,"Tcacao"
"35","Unclassified","TE.like",NA,NA,"Tcacao"
"36","Genes","Unmethylated",0.928183500090286,0,"Tcacao"
"37","TEs","Unmethylated",-0.491903553582669,0,"Tcacao"
"38","TE.nucleotidess","Unmethylated",-0.531174445210761,0,"Tcacao"
"39","gbM","Unmethylated",0.362370359223069,0,"Tcacao"
"40","TE.like","Unmethylated",NA,NA,"Tcacao"
"41","Unmethylated","Unmethylated",1,NA,"Tcacao"
"42","Unclassified","Unmethylated",0.253313586854344,0,"Tcacao"
"43","Genes","Unclassified",0.419249377205805,0,"Tcacao"
"44","TEs","Unclassified",-0.181839942403266,0,"Tcacao"
"45","TE.nucleotidess","Unclassified",-0.205721482457318,0,"Tcacao"
"46","gbM","Unclassified",0.169612006033469,0,"Tcacao"
"47","TE.like","Unclassified",NA,NA,"Tcacao"
"48","Unmethylated","Unclassified",0.253313586854344,0,"Tcacao"
"49","Unclassified","Unclassified",1,NA,"Tcacao"
