Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Tcacao,unM-unM,unM,unM,0,0,553,0.132486823191184,0-0
Tcacao,unM-unM,unM,unM,1,0,0,0,1-0
Tcacao,unM-unM,unM,unM,0,1,1344,0.321993291806421,0-1
Tcacao,unM-unM,unM,unM,1,1,2277,0.545519885002396,1-1
Tcacao,gbM-unM,gbM,unM,0,0,64,0.122137404580153,0-0
Tcacao,gbM-unM,gbM,unM,1,0,99,0.188931297709924,1-0
Tcacao,gbM-unM,gbM,unM,0,1,104,0.198473282442748,0-1
Tcacao,gbM-unM,gbM,unM,1,1,257,0.490458015267176,1-1
Tcacao,gbM-teM,gbM,teM,0,0,0,0,0-0
Tcacao,gbM-teM,gbM,teM,1,0,0,0,1-0
Tcacao,gbM-teM,gbM,teM,0,1,6,0.105263157894737,0-1
Tcacao,gbM-teM,gbM,teM,1,1,51,0.894736842105263,1-1
Tcacao,gbM-gbM,gbM,gbM,0,0,54,0.132352941176471,0-0
Tcacao,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Tcacao,gbM-gbM,gbM,gbM,0,1,159,0.389705882352941,0-1
Tcacao,gbM-gbM,gbM,gbM,1,1,195,0.477941176470588,1-1
Tcacao,unM-teM,unM,teM,0,0,3,0.00642398286937901,0-0
Tcacao,unM-teM,unM,teM,1,0,18,0.0385438972162741,1-0
Tcacao,unM-teM,unM,teM,0,1,33,0.0706638115631692,0-1
Tcacao,unM-teM,unM,teM,1,1,413,0.884368308351178,1-1
Tcacao,teM-teM,teM,teM,0,0,2,0.00387596899224806,0-0
Tcacao,teM-teM,teM,teM,1,0,0,0,1-0
Tcacao,teM-teM,teM,teM,0,1,20,0.0387596899224806,0-1
Tcacao,teM-teM,teM,teM,1,1,494,0.957364341085271,1-1
