"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Zmays"
"2","TEs","Genes",-0.0421046104936729,0,"Zmays"
"3","TE.nucleotidess","Genes",-0.379338601890497,0,"Zmays"
"4","gbM","Genes",0.3953327682213,0,"Zmays"
"5","teM","Genes",0.558288370255709,0,"Zmays"
"6","unM","Genes",0.717976301907358,0,"Zmays"
"7","Unclassified","Genes",0.481196881239214,0,"Zmays"
"8","Genes","TEs",-0.0421046104936729,0,"Zmays"
"9","TEs","TEs",1,NA,"Zmays"
"10","TE.nucleotidess","TEs",0.39318176360506,0,"Zmays"
"11","gbM","TEs",-0.0146778745107384,0.00238262130537947,"Zmays"
"12","teM","TEs",-0.0161505255701477,0.000829693292279554,"Zmays"
"13","unM","TEs",-0.00470777690591478,0.329899564662549,"Zmays"
"14","Unclassified","TEs",-0.0061091524675388,0.20610511434458,"Zmays"
"15","Genes","TE.nucleotidess",-0.379338601890497,0,"Zmays"
"16","TEs","TE.nucleotidess",0.39318176360506,0,"Zmays"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Zmays"
"18","gbM","TE.nucleotidess",-0.19598830514625,0,"Zmays"
"19","teM","TE.nucleotidess",-0.19129929556107,0,"Zmays"
"20","unM","TE.nucleotidess",-0.266309222583867,0,"Zmays"
"21","Unclassified","TE.nucleotidess",-0.190841670569625,0,"Zmays"
"22","Genes","gbM",0.3953327682213,0,"Zmays"
"23","TEs","gbM",-0.0146778745107384,0.00238262130537947,"Zmays"
"24","TE.nucleotidess","gbM",-0.19598830514625,0,"Zmays"
"25","gbM","gbM",1,NA,"Zmays"
"26","teM","gbM",0.0517718236981949,0,"Zmays"
"27","unM","gbM",0.131508474637105,0,"Zmays"
"28","Unclassified","gbM",0.109327335373055,0,"Zmays"
"29","Genes","teM",0.558288370255709,0,"Zmays"
"30","TEs","teM",-0.0161505255701477,0.000829693292279554,"Zmays"
"31","TE.nucleotidess","teM",-0.19129929556107,0,"Zmays"
"32","gbM","teM",0.0517718236981949,0,"Zmays"
"33","teM","teM",1,NA,"Zmays"
"34","unM","teM",0.112798773685934,0,"Zmays"
"35","Unclassified","teM",0.075853486178386,0,"Zmays"
"36","Genes","unM",0.717976301907358,0,"Zmays"
"37","TEs","unM",-0.00470777690591478,0.329899564662549,"Zmays"
"38","TE.nucleotidess","unM",-0.266309222583867,0,"Zmays"
"39","gbM","unM",0.131508474637105,0,"Zmays"
"40","teM","unM",0.112798773685934,0,"Zmays"
"41","unM","unM",1,NA,"Zmays"
"42","Unclassified","unM",0.190903355263079,0,"Zmays"
"43","Genes","Unclassified",0.481196881239214,0,"Zmays"
"44","TEs","Unclassified",-0.0061091524675388,0.20610511434458,"Zmays"
"45","TE.nucleotidess","Unclassified",-0.190841670569625,0,"Zmays"
"46","gbM","Unclassified",0.109327335373055,0,"Zmays"
"47","teM","Unclassified",0.075853486178386,0,"Zmays"
"48","unM","Unclassified",0.190903355263079,0,"Zmays"
"49","Unclassified","Unclassified",1,NA,"Zmays"
