Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Zmays,teM-teM,teM,teM,0,0,0,0,0-0
Zmays,teM-teM,teM,teM,1,0,0,0,1-0
Zmays,teM-teM,teM,teM,0,1,3,0.000820120284308365,0-1
Zmays,teM-teM,teM,teM,1,1,3655,0.999179879715692,1-1
Zmays,gbM-teM,gbM,teM,1,1,854,1,1-1
Zmays,gbM-teM,gbM,teM,0,0,0,0,0-0
Zmays,gbM-teM,gbM,teM,1,0,0,0,1-0
Zmays,gbM-teM,gbM,teM,0,1,0,0,0-1
Zmays,unM-unM,unM,unM,0,0,1,0.00016923337282112,0-0
Zmays,unM-unM,unM,unM,1,0,0,0,1-0
Zmays,unM-unM,unM,unM,0,1,13,0.00220003384667456,0-1
Zmays,unM-unM,unM,unM,1,1,5895,0.997630732780504,1-1
Zmays,unM-teM,unM,teM,0,0,0,0,0-0
Zmays,unM-teM,unM,teM,1,0,0,0,1-0
Zmays,unM-teM,unM,teM,0,1,2,0.00173160173160173,0-1
Zmays,unM-teM,unM,teM,1,1,1153,0.998268398268398,1-1
Zmays,gbM-unM,gbM,unM,1,0,2,0.00271739130434783,1-0
Zmays,gbM-unM,gbM,unM,1,1,734,0.997282608695652,1-1
Zmays,gbM-unM,gbM,unM,0,0,0,0,0-0
Zmays,gbM-unM,gbM,unM,0,1,0,0,0-1
Zmays,gbM-gbM,gbM,gbM,0,1,1,0.000919963201471941,0-1
Zmays,gbM-gbM,gbM,gbM,1,1,1086,0.999080036798528,1-1
Zmays,gbM-gbM,gbM,gbM,0,0,0,0,0-0
Zmays,gbM-gbM,gbM,gbM,1,0,0,0,1-0
