GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0009987,cellular process,465,271,237.75,9.8e-08,2.0188e-05
GO:0044237,cellular metabolic process,210,140,107.37,4.7e-06,0.0004841
GO:0044255,cellular lipid metabolic process,25,23,12.78,0.00011,0.00755333333333333
GO:0042221,response to chemical,79,37,40.39,0.00030,0.01545
GO:0045454,cell redox homeostasis,24,19,12.27,0.00044,0.0172525
GO:0009719,response to endogenous stimulus,78,36,39.88,0.00060,0.0172525
GO:0065008,regulation of biological quality,26,20,13.29,0.00066,0.0172525
GO:1901564,organonitrogen compound metabolic proces...,77,56,39.37,0.00067,0.0172525
GO:1901575,organic substance catabolic process,27,23,13.81,0.00090,0.0206
GO:0009058,biosynthetic process,88,62,44.99,0.00115,0.02369
GO:1901576,organic substance biosynthetic process,87,61,44.48,0.00188,0.03296
GO:0009057,macromolecule catabolic process,27,23,13.81,0.00192,0.03296
GO:0008610,lipid biosynthetic process,17,15,8.69,0.00246,0.0375214285714286
GO:0051603,proteolysis involved in cellular protein...,26,22,13.29,0.00255,0.0375214285714286
GO:0006807,nitrogen compound metabolic process,175,111,89.48,0.00329,0.0451826666666667
