GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0003824,catalytic activity,8219,3577,2900.67,1e-30,4.44333333333333e-28
GO:0005488,binding,10089,4031,3560.64,1e-30,4.44333333333333e-28
GO:0003723,RNA binding,1599,753,564.32,1e-30,4.44333333333333e-28
GO:0003712,transcription coregulator activity,166,83,58.59,4.0e-18,1.333e-15
GO:0003697,single-stranded DNA binding,87,58,30.7,2.5e-15,6.665e-13
GO:0005215,transporter activity,1319,592,465.51,8.5e-14,1.88841666666667e-11
GO:1901265,nucleoside phosphate binding,1108,514,391.04,6.8e-12,1.29491428571429e-09
GO:0008047,enzyme activator activity,122,63,43.06,3.0e-10,4.99875e-08
GO:0003688,DNA replication origin binding,19,17,6.71,5.7e-10,8.44233333333333e-08
GO:0060589,nucleoside-triphosphatase regulator acti...,91,51,32.12,8.5e-10,1.13305e-07
GO:0036094,small molecule binding,1338,629,472.21,1.1e-08,1.333e-06
GO:0080031,methyl salicylate esterase activity,19,16,6.71,3.3e-08,3.38376923076923e-06
GO:0080032,methyl jasmonate esterase activity,19,16,6.71,3.3e-08,3.38376923076923e-06
GO:0097602,cullin family protein binding,29,26,10.23,4.2e-08,3.999e-06
GO:0016740,transferase activity,3423,1608,1208.05,5.4e-08,4.7988e-06
GO:0070279,vitamin B6 binding,99,63,34.94,1.4e-07,1.166375e-05
GO:0008066,glutamate receptor activity,20,16,7.06,2.4e-07,1.88188235294118e-05
GO:0016853,isomerase activity,261,153,92.11,4.5e-07,3.3325e-05
GO:0000287,magnesium ion binding,132,83,46.59,1.4e-06,9.8221052631579e-05
GO:0019842,vitamin binding,136,90,48,1.6e-06,0.00010664
GO:0003735,structural constituent of ribosome,331,162,116.82,1.8e-06,0.000114257142857143
GO:0016614,oxidoreductase activity, acting on CH-OH...,213,105,75.17,5.0e-06,0.000302954545454545
GO:0010857,calcium-dependent protein kinase activit...,47,35,16.59,7.3e-06,0.000423082608695652
GO:0015932,nucleobase-containing compound transmemb...,86,58,30.35,8.1e-06,0.0004498875
GO:0022836,gated channel activity,96,52,33.88,1.1e-05,0.00058652
GO:0008173,RNA methyltransferase activity,65,49,22.94,1.2e-05,0.000615230769230769
