GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0051171,regulation of nitrogen compound metaboli...,2738,949,621.13,1e-30,1.4304e-28
GO:0032774,RNA biosynthetic process,2377,861,539.23,1e-30,1.4304e-28
GO:0006351,transcription, DNA-templated,2373,861,538.33,1e-30,1.4304e-28
GO:0051252,regulation of RNA metabolic process,2289,844,519.27,1e-30,1.4304e-28
GO:0019219,regulation of nucleobase-containing comp...,2351,846,533.34,1e-30,1.4304e-28
GO:0080090,regulation of primary metabolic process,2829,966,641.77,1e-30,1.4304e-28
GO:0031323,regulation of cellular metabolic process,2984,1017,676.94,1e-30,1.4304e-28
GO:0034654,nucleobase-containing compound biosynthe...,2637,895,598.22,1e-30,1.4304e-28
GO:0060255,regulation of macromolecule metabolic pr...,3045,978,690.77,1e-30,1.4304e-28
GO:0019438,aromatic compound biosynthetic process,2939,992,666.73,1e-30,1.4304e-28
GO:1901362,organic cyclic compound biosynthetic pro...,3034,1022,688.28,1e-30,1.4304e-28
GO:0018130,heterocycle biosynthetic process,2854,945,647.44,1e-30,1.4304e-28
GO:0010556,regulation of macromolecule biosynthetic...,2403,884,545.13,1e-30,1.4304e-28
GO:0010468,regulation of gene expression,2668,893,605.25,1e-30,1.4304e-28
GO:0009059,macromolecule biosynthetic process,3642,1090,826.21,1e-30,1.4304e-28
GO:1901576,organic substance biosynthetic process,5028,1442,1140.63,1e-30,1.4304e-28
GO:0009889,regulation of biosynthetic process,2544,929,577.12,1e-30,1.4304e-28
GO:0006355,regulation of transcription, DNA-templat...,2211,843,501.58,1e-30,1.4304e-28
GO:2000112,regulation of cellular macromolecule bio...,2390,882,542.18,1e-30,1.4304e-28
GO:0009058,biosynthetic process,5164,1491,1171.48,1e-30,1.4304e-28
GO:0044249,cellular biosynthetic process,4926,1414,1117.49,1e-30,1.4304e-28
GO:0019222,regulation of metabolic process,3326,1055,754.52,1e-30,1.4304e-28
GO:0031326,regulation of cellular biosynthetic proc...,2507,913,568.73,1e-30,1.4304e-28
GO:0032502,developmental process,3417,1063,775.16,1e-30,1.4304e-28
GO:0044271,cellular nitrogen compound biosynthetic ...,3455,1038,783.78,1e-30,1.4304e-28
GO:0034645,cellular macromolecule biosynthetic proc...,3577,1066,811.46,4.1e-30,5.63907692307692e-28
GO:0050896,response to stimulus,5815,1627,1319.16,1.2e-28,1.58933333333333e-26
