GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0098772,molecular function regulator,1923,770,353.85,1e-30,4.445e-28
GO:0003677,DNA binding,1354,442,249.15,1e-30,4.445e-28
GO:0003676,nucleic acid binding,2130,522,391.94,1.1e-24,3.25966666666667e-22
GO:0043169,cation binding,1024,262,188.43,1.7e-18,3.77825e-16
GO:0016798,hydrolase activity, acting on glycosyl b...,408,112,75.08,5.0e-14,8.89e-12
GO:0015250,water channel activity,37,25,6.81,6.8e-13,1.00753333333333e-10
GO:0052689,carboxylic ester hydrolase activity,139,49,25.58,8.4e-12,1.0668e-09
GO:0005372,water transmembrane transporter activity,37,25,6.81,9.3e-11,1.0334625e-08
GO:0016168,chlorophyll binding,32,17,5.89,2.9e-10,2.86455555555556e-08
GO:0016491,oxidoreductase activity,1015,213,186.77,8.6e-10,7.6454e-08
GO:0019825,oxygen binding,232,45,42.69,6.6e-09,5.334e-07
GO:0016746,transferase activity, transferring acyl ...,209,49,38.46,2.6e-07,1.92616666666667e-05
GO:0140110,transcription regulator activity,1696,711,312.08,1.8e-06,0.000123092307692308
GO:0052622,ATP dimethylallyltransferase activity,7,7,1.29,1.5e-05,0.0008334375
GO:0052623,ADP dimethylallyltransferase activity,7,7,1.29,1.5e-05,0.0008334375
GO:0016814,hydrolase activity, acting on carbon-nit...,21,10,3.86,1.5e-05,0.0008334375
GO:0004126,cytidine deaminase activity,9,9,1.66,2.0e-05,0.00104588235294118
GO:0016872,intramolecular lyase activity,7,6,1.29,4.4e-05,0.00217311111111111
GO:0016684,oxidoreductase activity, acting on perox...,103,38,18.95,6.3e-05,0.00292629166666667
GO:0016877,ligase activity, forming carbon-sulfur b...,46,13,8.46,7.2e-05,0.00292629166666667
GO:0009672,auxin:proton symporter activity,14,9,2.58,7.3e-05,0.00292629166666667
GO:0004708,MAP kinase kinase activity,11,6,2.02,7.3e-05,0.00292629166666667
GO:0080161,auxin transmembrane transporter activity,21,12,3.86,7.6e-05,0.00292629166666667
GO:0016301,kinase activity,1261,104,232.04,7.9e-05,0.00292629166666667
GO:0009824,AMP dimethylallyltransferase activity,8,7,1.47,0.00010,0.003556
GO:0090447,glycerol-3-phosphate 2-O-acyltransferase...,5,5,0.92,0.00013,0.004445
GO:0019239,deaminase activity,16,9,2.94,0.00014,0.004445
GO:0015112,nitrate transmembrane transporter activi...,19,12,3.5,0.00014,0.004445
GO:0016209,antioxidant activity,125,40,23,0.00017,0.00521137931034483
GO:0097472,cyclin-dependent protein kinase activity,32,11,5.89,0.00018,0.005334
GO:0005488,binding,6167,1226,1134.78,0.00019,0.00544870967741935
GO:0016765,transferase activity, transferring alkyl...,125,28,23,0.00028,0.0075430303030303
GO:0005375,copper ion transmembrane transporter act...,12,8,2.21,0.00028,0.0075430303030303
GO:0016757,transferase activity, transferring glyco...,539,86,99.18,0.00030,0.00784411764705882
GO:0046906,tetrapyrrole binding,47,20,8.65,0.00034,0.008636
GO:0045551,cinnamyl-alcohol dehydrogenase activity,13,6,2.39,0.00038,0.00938388888888889
GO:0030527,structural constituent of chromatin,5,4,0.92,0.00040,0.00961081081081081
GO:0016207,4-coumarate-CoA ligase activity,13,10,2.39,0.00043,0.00980179487179487
GO:0004693,cyclin-dependent protein serine/threonin...,32,11,5.89,0.00043,0.00980179487179487
GO:0010436,carotenoid dioxygenase activity,7,5,1.29,0.00062,0.0137795
GO:0010279,indole-3-acetic acid amido synthetase ac...,6,5,1.1,0.00070,0.0150283333333333
GO:0016846,carbon-sulfur lyase activity,32,14,5.89,0.00071,0.0150283333333333
GO:0004497,monooxygenase activity,95,33,17.48,0.00077,0.0159193023255814
GO:0016713,oxidoreductase activity, acting on paire...,8,7,1.47,0.00091,0.0183861363636364
GO:0004540,ribonuclease activity,73,8,13.43,0.00097,0.0191628888888889
GO:0003993,acid phosphatase activity,42,11,7.73,0.00101,0.019519347826087
GO:0016405,CoA-ligase activity,30,13,5.52,0.00118,0.0223195744680851
GO:0003700,DNA-binding transcription factor activit...,1671,708,307.48,0.00123,0.022780625
GO:0043295,glutathione binding,10,5,1.84,0.00132,0.0239485714285714
GO:0016984,ribulose-bisphosphate carboxylase activi...,5,4,0.92,0.00137,0.0243586
GO:0015368,calcium:cation antiporter activity,11,5,2.02,0.00145,0.0252754901960784
GO:0045543,gibberellin 2-beta-dioxygenase activity,7,5,1.29,0.00156,0.02667
GO:0004364,glutathione transferase activity,48,18,8.83,0.00160,0.0268377358490566
GO:0030599,pectinesterase activity,69,33,12.7,0.00175,0.0288101851851852
GO:0008134,transcription factor binding,21,10,3.86,0.00187,0.030226
GO:0008509,anion transmembrane transporter activity,231,51,42.51,0.00205,0.03254375
GO:1901682,sulfur compound transmembrane transporte...,21,10,3.86,0.00209,0.0325966666666667
GO:0008187,poly-pyrimidine tract binding,19,7,3.5,0.00224,0.0343337931034483
GO:0016628,oxidoreductase activity, acting on the C...,25,8,4.6,0.00236,0.03556
GO:0016847,1-aminocyclopropane-1-carboxylate syntha...,11,9,2.02,0.00252,0.0367259016393443
GO:0003727,single-stranded RNA binding,41,7,7.54,0.00252,0.0367259016393443
GO:0051119,sugar transmembrane transporter activity,31,10,5.7,0.00326,0.0467441935483871
