GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0009987,cellular process,13853,1714,1296.94,1e-30,1.192e-27
GO:0008152,metabolic process,10856,1345,1016.35,1e-30,1.192e-27
GO:0048519,negative regulation of biological proces...,1179,252,110.38,1e-30,1.192e-27
GO:0009892,negative regulation of metabolic process,695,192,65.07,1.4e-29,1.2516e-26
GO:0000003,reproduction,1968,329,184.25,2.3e-27,1.64496e-24
GO:0022414,reproductive process,1959,326,183.4,9.7e-27,5.61942857142857e-24
GO:0016071,mRNA metabolic process,471,149,44.1,1.1e-26,5.61942857142857e-24
GO:0051649,establishment of localization in cell,782,193,73.21,7.9e-25,3.5313e-22
GO:0046907,intracellular transport,732,183,68.53,9.6e-24,3.8144e-21
GO:0065007,biological regulation,6102,768,571.28,2.8e-23,1.00128e-20
GO:0032502,developmental process,3417,479,319.9,2.9e-22,9.42763636363636e-20
GO:0010605,negative regulation of macromolecule met...,643,180,60.2,1.1e-21,3.278e-19
GO:0050789,regulation of biological process,5495,697,514.45,1.8e-21,4.95138461538462e-19
GO:0010629,negative regulation of gene expression,562,161,52.62,4.0e-21,1.02171428571429e-18
GO:0032501,multicellular organismal process,3122,440,292.29,9.8e-21,2.33632e-18
GO:0051641,cellular localization,1000,221,93.62,5.4e-20,1.2069e-17
GO:0006396,RNA processing,844,206,79.02,1.3e-19,2.73458823529412e-17
GO:0016458,gene silencing,205,75,19.19,2.9e-19,5.76133333333333e-17
GO:0071840,cellular component organization or bioge...,3134,537,293.41,3.3e-19,6.21094736842105e-17
GO:0043170,macromolecule metabolic process,7860,1116,735.86,1.1e-17,1.9668e-15
GO:0010608,posttranscriptional regulation of gene e...,243,79,22.75,8.8e-17,1.49851428571429e-14
GO:0015833,peptide transport,660,150,61.79,7.8e-16,1.26785454545455e-13
GO:0045184,establishment of protein localization,637,151,59.64,3.8e-15,5.90817391304348e-13
GO:0051179,localization,2582,352,241.73,3.0e-14,4.47e-12
GO:0031327,negative regulation of cellular biosynth...,396,97,37.07,4.0e-14,5.7216e-12
GO:0006401,RNA catabolic process,128,51,11.98,2.4e-13,3.30092307692308e-11
GO:0042886,amide transport,678,152,63.48,3.0e-13,3.97333333333333e-11
GO:0009890,negative regulation of biosynthetic proc...,402,97,37.64,2.6e-12,3.32057142857143e-10
GO:0006996,organelle organization,1824,381,170.77,3.9e-11,4.80910344827586e-09
GO:0031324,negative regulation of cellular metaboli...,486,112,45.5,1.4e-10,1.61496774193548e-08
GO:0040007,growth,674,115,63.1,1.4e-10,1.61496774193548e-08
GO:2000113,negative regulation of cellular macromol...,373,89,34.92,2.8e-10,3.129e-08
GO:0034655,nucleobase-containing compound catabolic...,166,55,15.54,7.6e-10,8.23563636363636e-08
GO:0048518,positive regulation of biological proces...,1322,190,123.77,8.6e-10,9.04517647058824e-08
GO:1903507,negative regulation of nucleic acid-temp...,308,65,28.84,1.0e-09,1.02171428571429e-07
GO:0009790,embryo development,579,132,54.21,1.1e-09,1.06313513513514e-07
GO:0044270,cellular nitrogen compound catabolic pro...,219,64,20.5,1.1e-09,1.06313513513514e-07
GO:0046700,heterocycle catabolic process,219,64,20.5,2.6e-09,2.44673684210526e-07
GO:0022402,cell cycle process,479,104,44.84,3.9e-09,3.576e-07
GO:0006974,cellular response to DNA damage stimulus,375,86,35.11,4.5e-09,4.023e-07
GO:0008104,protein localization,811,173,75.93,9.3e-09,8.11141463414634e-07
GO:0051236,establishment of RNA localization,67,28,6.27,1.1e-08,9.36571428571429e-07
GO:0051172,negative regulation of nitrogen compound...,433,100,40.54,1.4e-08,1.16427906976744e-06
GO:0048523,negative regulation of cellular process,784,150,73.4,1.5e-08,1.21909090909091e-06
GO:1901361,organic cyclic compound catabolic proces...,242,64,22.66,1.6e-08,1.27146666666667e-06
GO:0010558,negative regulation of macromolecule bio...,375,90,35.11,1.8e-08,1.39930434782609e-06
