Orthogroup	gbM	teM	Unmethylated	Unclassified	Missing	Total	percent_gbM	percent_teM	percent_Unmethylated	percent_Unclassified	percent_Missing	cluster
N0.HOG0000009	13	1	10	18	2	44	0.295454545454545	0.0227272727272727	0.227272727272727	0.409090909090909	0.0454545454545455	1
N0.HOG0000020	11	2	11	20	1	45	0.244444444444444	0.0444444444444444	0.244444444444444	0.444444444444444	0.0222222222222222	1
N0.HOG0000023	17	0	25	27	2	71	0.23943661971831	0	0.352112676056338	0.380281690140845	0.028169014084507	1
N0.HOG0000035	17	2	14	17	0	50	0.34	0.04	0.28	0.34	0	1
N0.HOG0000049	39	6	34	37	11	127	0.307086614173228	0.047244094488189	0.267716535433071	0.291338582677165	0.0866141732283465	1
N0.HOG0000051	15	2	15	7	2	41	0.365853658536585	0.0487804878048781	0.365853658536585	0.170731707317073	0.0487804878048781	1
N0.HOG0000055	16	1	15	18	2	52	0.307692307692308	0.0192307692307692	0.288461538461538	0.346153846153846	0.0384615384615385	1
N0.HOG0000061	32	0	5	4	0	41	0.780487804878049	0	0.121951219512195	0.0975609756097561	0	2
N0.HOG0000062	29	0	7	5	1	42	0.69047619047619	0	0.166666666666667	0.119047619047619	0.0238095238095238	2
N0.HOG0000064	22	0	7	10	0	39	0.564102564102564	0	0.179487179487179	0.256410256410256	0	2
N0.HOG0000065	26	1	9	8	2	46	0.565217391304348	0.0217391304347826	0.195652173913043	0.173913043478261	0.0434782608695652	2
N0.HOG0000066	25	0	11	6	2	44	0.568181818181818	0	0.25	0.136363636363636	0.0454545454545455	2
N0.HOG0000067	34	0	6	3	1	44	0.772727272727273	0	0.136363636363636	0.0681818181818182	0.0227272727272727	2
N0.HOG0000072	25	3	8	8	0	44	0.568181818181818	0.0681818181818182	0.181818181818182	0.181818181818182	0	2
N0.HOG0000079	16	0	13	11	0	40	0.4	0	0.325	0.275	0	1
N0.HOG0000080	19	0	12	11	1	43	0.441860465116279	0	0.27906976744186	0.255813953488372	0.0232558139534884	1
N0.HOG0000081	21	0	15	11	1	48	0.4375	0	0.3125	0.229166666666667	0.0208333333333333	1
N0.HOG0000082	26	2	7	12	0	47	0.553191489361702	0.0425531914893617	0.148936170212766	0.25531914893617	0	2
N0.HOG0000083	22	0	11	10	0	43	0.511627906976744	0	0.255813953488372	0.232558139534884	0	1
N0.HOG0000085	38	5	35	36	9	123	0.308943089430894	0.040650406504065	0.284552845528455	0.292682926829268	0.0731707317073171	1
N0.HOG0000086	29	4	17	14	3	67	0.432835820895522	0.0597014925373134	0.253731343283582	0.208955223880597	0.0447761194029851	1
N0.HOG0000087	33	11	37	36	10	127	0.259842519685039	0.0866141732283465	0.291338582677165	0.283464566929134	0.078740157480315	1
N0.HOG0000088	4	3	36	4	3	50	0.08	0.06	0.72	0.08	0.06	3
N0.HOG0000089	6	5	40	10	8	69	0.0869565217391304	0.072463768115942	0.579710144927536	0.144927536231884	0.115942028985507	3
N0.HOG0000090	2	6	36	4	4	52	0.0384615384615385	0.115384615384615	0.692307692307692	0.0769230769230769	0.0769230769230769	3
N0.HOG0000095	2	7	38	3	6	56	0.0357142857142857	0.125	0.678571428571429	0.0535714285714286	0.107142857142857	3
N0.HOG0000097	7	6	39	8	5	65	0.107692307692308	0.0923076923076923	0.6	0.123076923076923	0.0769230769230769	3
N0.HOG0000106	9	1	29	6	2	47	0.191489361702128	0.0212765957446809	0.617021276595745	0.127659574468085	0.0425531914893617	3
