Orthogroup	gbM	teM	unM	Unclassified	Missing	Total	percent_gbM	percent_teM	percent_unM	percent_Unclassified	percent_Missing	cluster
N0.HOG0000009	13	1	10	18	2	44	0.295454545454545	0.0133333333333333	0.204081632653061	0.163636363636364	0.0357142857142857	1
N0.HOG0000020	11	2	11	20	1	45	0.244444444444444	0.0303030303030303	0.224489795918367	0.363636363636364	0.0144927536231884	2
N0.HOG0000035	17	2	14	17	0	50	0.23943661971831	0.0307692307692308	0.304347826086957	0.303571428571429	0	2
N0.HOG0000051	15	2	15	7	2	41	0.3	0.05	0.294117647058824	0.125	0.0294117647058824	1
N0.HOG0000055	16	1	15	18	2	52	0.125984251968504	0.0175438596491228	0.3	0.28125	0.0333333333333333	2
N0.HOG0000061	32	0	5	4	0	41	0.780487804878049	0	0.102040816326531	0.0506329113924051	0	1
N0.HOG0000062	29	0	7	5	1	42	0.557692307692308	0	0.137254901960784	0.0617283950617284	0.0151515151515152	1
N0.HOG0000064	22	0	7	10	0	39	0.536585365853659	0	0.14	0.188679245283019	0	1
N0.HOG0000065	26	1	9	8	2	46	0.619047619047619	0.0175438596491228	0.183673469387755	0.156862745098039	0.0327868852459016	1
N0.HOG0000066	25	0	12	6	2	45	0.641025641025641	0	0.230769230769231	0.107142857142857	0.0454545454545455	1
N0.HOG0000067	34	0	6	3	1	44	0.739130434782609	0	0.117647058823529	0.032967032967033	0.0217391304347826	1
N0.HOG0000072	25	3	8	8	0	44	0.555555555555556	0.038961038961039	0.156862745098039	0.1	0	1
N0.HOG0000079	16	0	13	11	0	40	0.363636363636364	0	0.254901960784314	0.2	0	2
N0.HOG0000080	19	0	13	11	1	44	0.431818181818182	0	0.232142857142857	0.261904761904762	0.0212765957446809	1
N0.HOG0000082	26	2	7	12	0	47	0.65	0.027027027027027	0.145833333333333	0.24	0	1
N0.HOG0000083	22	0	11	10	0	43	0.5	0	0.234042553191489	0.232558139534884	0	1
N0.HOG0000288	6	1	33	5	2	47	0.125	0.0185185185185185	0.6875	0.078125	0.0416666666666667	3
N0.HOG0000434	10	1	26	8	2	47	0.212765957446809	0.02	0.541666666666667	0.177777777777778	0.0294117647058824	3
N0.HOG0000593	17	0	20	5	1	43	0.395348837209302	0	0.444444444444444	0.0833333333333333	0.0153846153846154	1
N0.HOG0000595	0	3	38	3	2	46	0	0.0625	0.826086956521739	0.0275229357798165	0.0434782608695652	3
N0.HOG0000597	1	1	36	3	0	41	0.0149253731343284	0.0217391304347826	0.631578947368421	0.0454545454545455	0	3
N0.HOG0000602	1	1	37	4	2	45	0.0078740157480315	0.0135135135135135	0.770833333333333	0.0526315789473684	0.0289855072463768	3
N0.HOG0000703	5	3	25	7	2	42	0.1	0.06	0.520833333333333	0.0736842105263158	0.037037037037037	3
N0.HOG0000884	4	2	31	6	2	45	0.0579710144927536	0.0434782608695652	0.596153846153846	0.055045871559633	0.0303030303030303	3
N0.HOG0000968	14	1	15	15	1	46	0.269230769230769	0.0175438596491228	0.3	0.133928571428571	0.0158730158730159	1
N0.HOG0000996	12	0	12	20	1	45	0.214285714285714	0	0.266666666666667	0.240963855421687	0.0188679245283019	2
N0.HOG0000998	11	3	21	4	2	41	0.169230769230769	0.0576923076923077	0.42	0.1	0.0357142857142857	3
N0.HOG0001042	5	1	33	2	4	45	0.106382978723404	0.02	0.647058823529412	0.0377358490566038	0.0740740740740741	3
N0.HOG0001179	29	3	5	10	1	48	0.426470588235294	0.0410958904109589	0.104166666666667	0.204081632653061	0.0158730158730159	1
N0.HOG0001180	25	1	5	14	2	47	0.543478260869565	0.015625	0.104166666666667	0.274509803921569	0.032258064516129	1
N0.HOG0001256	17	1	22	1	1	42	0.314814814814815	0.0185185185185185	0.458333333333333	0.015625	0.0212765957446809	1
N0.HOG0001473	2	1	37	4	1	45	0.0307692307692308	0.0163934426229508	0.725490196078431	0.0547945205479452	0.012987012987013	3
N0.HOG0001477	11	0	19	10	1	41	0.229166666666667	0	0.333333333333333	0.227272727272727	0.0212765957446809	2
N0.HOG0001488	14	4	16	7	1	42	0.269230769230769	0.0547945205479452	0.326530612244898	0.132075471698113	0.0212765957446809	1
N0.HOG0001490	25	1	8	10	3	47	0.43859649122807	0.0153846153846154	0.153846153846154	0.166666666666667	0.0666666666666667	1
N0.HOG0001814	12	1	20	6	4	43	0.3	0.0153846153846154	0.377358490566038	0.0821917808219178	0.0571428571428571	1
N0.HOG0001816	2	3	15	26	2	48	0.0363636363636364	0.0652173913043478	0.3	0.356164383561644	0.0273972602739726	2
N0.HOG0001818	7	0	13	24	0	44	0.159090909090909	0	0.26530612244898	0.358208955223881	0	2
N0.HOG0001933	13	1	20	9	3	46	0.213114754098361	0.0188679245283019	0.4	0.111111111111111	0.0454545454545455	2
N0.HOG0001986	32	1	8	8	0	49	0.551724137931034	0.0142857142857143	0.137931034482759	0.103896103896104	0	1
N0.HOG0002069	2	2	30	5	2	41	0.0408163265306122	0.0277777777777778	0.588235294117647	0.0549450549450549	0.0444444444444444	3
N0.HOG0002085	0	6	28	4	0	38	0	0.0845070422535211	0.56	0.0727272727272727	0	3
N0.HOG0002086	0	7	35	1	0	43	0	0.0985915492957746	0.7	0.0169491525423729	0	3
N0.HOG0002087	2	2	28	8	1	41	0.0143884892086331	0.03125	0.549019607843137	0.112676056338028	0.0172413793103448	3
N0.HOG0002141	4	3	32	3	2	44	0.0245398773006135	0.0666666666666667	0.666666666666667	0.0612244897959184	0.0416666666666667	3
N0.HOG0002259	3	8	29	5	0	45	0.0193548387096774	0.133333333333333	0.517857142857143	0.102040816326531	0	3
N0.HOG0002393	21	4	16	7	1	49	0.411764705882353	0.0615384615384615	0.340425531914894	0.120689655172414	0.0222222222222222	1
N0.HOG0002395	10	1	26	7	1	45	0.2	0.0136986301369863	0.553191489361702	0.0614035087719298	0.0151515151515152	3
N0.HOG0002401	34	3	4	1	0	42	0.755555555555556	0.04	0.08	0.0196078431372549	0	1
N0.HOG0002414	28	3	7	6	0	44	0.466666666666667	0.0566037735849057	0.152173913043478	0.0714285714285714	0	1
N0.HOG0002421	4	1	14	21	3	43	0.0481927710843374	0.0208333333333333	0.311111111111111	0.323076923076923	0.0394736842105263	2
N0.HOG0002461	25	2	8	13	1	49	0.446428571428571	0.0416666666666667	0.181818181818182	0.183098591549296	0.0181818181818182	1
N0.HOG0002525	2	1	35	4	3	45	0.028169014084507	0.0172413793103448	0.673076923076923	0.0481927710843374	0.0612244897959184	3
N0.HOG0002546	4	1	17	23	2	47	0.0851063829787234	0.0175438596491228	0.333333333333333	0.442307692307692	0.0408163265306122	2
N0.HOG0002547	4	1	31	8	3	47	0.0666666666666667	0.0144927536231884	0.673913043478261	0.145454545454545	0.0416666666666667	3
N0.HOG0002556	12	5	16	6	3	42	0.171428571428571	0.102040816326531	0.313725490196078	0.117647058823529	0.0652173913043478	2
N0.HOG0002661	0	1	38	1	2	42	0	0.0232558139534884	0.775510204081633	0.010989010989011	0.0476190476190476	3
N0.HOG0002743	24	1	8	13	1	47	0.176470588235294	0.0217391304347826	0.150943396226415	0.240740740740741	0.0217391304347826	2
N0.HOG0002797	1	2	35	0	4	42	0.0111111111111111	0.04	0.7	0	0.0833333333333333	3
N0.HOG0002801	11	0	21	9	1	42	0.0635838150289017	0	0.4375	0.209302325581395	0.0185185185185185	2
N0.HOG0002938	17	0	8	19	0	44	0.113333333333333	0	0.166666666666667	0.322033898305085	0	2
N0.HOG0002939	2	6	28	6	2	44	0.0181818181818182	0.0895522388059701	0.571428571428571	0.0731707317073171	0.0425531914893617	3
N0.HOG0002955	15	2	20	15	3	55	0.319148936170213	0.0294117647058824	0.392156862745098	0.263157894736842	0.0666666666666667	2
N0.HOG0003041	5	4	29	3	2	43	0.106382978723404	0.0701754385964912	0.557692307692308	0.0483870967741935	0.0476190476190476	3
N0.HOG0003063	1	1	37	3	1	43	0.00833333333333333	0.0144927536231884	0.725490196078431	0.0697674418604651	0.0217391304347826	3
N0.HOG0003165	2	2	14	22	2	42	0.0298507462686567	0.0307692307692308	0.285714285714286	0.217821782178218	0.0273972602739726	2
N0.HOG0003171	13	3	12	20	2	50	0.288888888888889	0.0588235294117647	0.272727272727273	0.416666666666667	0.0289855072463768	2
N0.HOG0003172	12	2	15	11	3	43	0.169014084507042	0.0434782608695652	0.272727272727273	0.261904761904762	0.0483870967741935	2
N0.HOG0003198	1	0	37	2	0	40	0.0178571428571429	0	0.770833333333333	0.0350877192982456	0	3
N0.HOG0003216	31	2	6	5	0	44	0.274336283185841	0.0384615384615385	0.122448979591837	0.078125	0	1
N0.HOG0003264	14	2	23	11	1	51	0.137254901960784	0.0298507462686567	0.433962264150943	0.161764705882353	0.0169491525423729	2
N0.HOG0003286	9	2	19	15	0	45	0.2	0.0416666666666667	0.372549019607843	0.151515151515152	0	2
N0.HOG0003288	6	0	30	6	1	43	0.0714285714285714	0	0.576923076923077	0.0659340659340659	0.0158730158730159	3
N0.HOG0003298	3	5	29	6	0	43	0.0352941176470588	0.1	0.630434782608696	0.06	0	3
N0.HOG0003304	5	0	27	7	3	42	0.0746268656716418	0	0.490909090909091	0.104477611940299	0.0476190476190476	3
N0.HOG0003443	4	0	32	5	3	44	0.037037037037037	0	0.627450980392157	0.0480769230769231	0.0769230769230769	3
N0.HOG0003447	22	1	10	15	0	48	0.180327868852459	0.0133333333333333	0.192307692307692	0.227272727272727	0	2
N0.HOG0003464	5	2	25	13	2	47	0.0862068965517241	0.0298507462686567	0.510204081632653	0.26	0.0338983050847458	3
N0.HOG0003471	11	0	18	18	0	47	0.255813953488372	0	0.333333333333333	0.225	0	2
N0.HOG0003523	13	4	20	11	2	50	0.282608695652174	0.0784313725490196	0.384615384615385	0.125	0.0434782608695652	1
N0.HOG0003561	1	1	33	4	2	41	0.024390243902439	0.0208333333333333	0.611111111111111	0.0459770114942529	0.03125	3
N0.HOG0003582	37	1	5	1	1	45	0.787234042553192	0.0208333333333333	0.1	0.0204081632653061	0.0181818181818182	1
N0.HOG0003617	24	2	7	13	2	48	0.444444444444444	0.0289855072463768	0.132075471698113	0.276595744680851	0.04	1
N0.HOG0003638	2	9	28	8	0	47	0.0298507462686567	0.183673469387755	0.549019607843137	0.140350877192982	0	3
N0.HOG0003671	16	1	9	21	2	49	0.355555555555556	0.0188679245283019	0.1875	0.488372093023256	0.0363636363636364	2
N0.HOG0003739	0	2	40	0	3	45	0	0.028169014084507	0.8	0	0.0588235294117647	3
N0.HOG0003741	3	0	39	1	1	44	0.0681818181818182	0	0.795918367346939	0.00943396226415094	0.0149253731343284	3
N0.HOG0003749	8	3	29	4	1	45	0.0701754385964912	0.0588235294117647	0.547169811320755	0.0579710144927536	0.0144927536231884	3
N0.HOG0003799	1	3	29	7	2	42	0.00884955752212389	0.0666666666666667	0.604166666666667	0.142857142857143	0.0303030303030303	3
N0.HOG0003835	0	1	39	1	0	41	0	0.02	0.75	0.0222222222222222	0	3
N0.HOG0003975	9	1	29	7	2	48	0.06	0.0125	0.557692307692308	0.1	0.032258064516129	3
N0.HOG0004003	7	0	24	14	2	47	0.111111111111111	0	0.521739130434783	0.212121212121212	0.0344827586206897	3
N0.HOG0004038	9	1	24	5	3	42	0.195652173913043	0.0188679245283019	0.489795918367347	0.0490196078431373	0.0454545454545455	3
N0.HOG0004131	1	0	36	2	3	42	0.0208333333333333	0	0.75	0.0263157894736842	0.0461538461538462	3
N0.HOG0004136	7	1	27	10	1	46	0.14	0.0149253731343284	0.574468085106383	0.163934426229508	0.0232558139534884	3
N0.HOG0004137	10	1	19	16	2	48	0.2	0.0204081632653061	0.404255319148936	0.186046511627907	0.0444444444444444	3
N0.HOG0004138	11	1	20	15	0	47	0.261904761904762	0.0166666666666667	0.408163265306122	0.267857142857143	0	2
N0.HOG0004288	0	2	38	1	3	44	0	0.04	0.844444444444444	0.0172413793103448	0.0416666666666667	3
N0.HOG0004329	7	0	25	17	0	49	0.148936170212766	0	0.480769230769231	0.207317073170732	0	3
N0.HOG0004334	7	0	28	7	2	44	0.11864406779661	0	0.608695652173913	0.159090909090909	0.0303030303030303	3
N0.HOG0004343	13	1	16	14	2	46	0.0955882352941176	0.0172413793103448	0.280701754385965	0.212121212121212	0.0307692307692308	2
N0.HOG0004344	2	5	31	4	2	44	0.0384615384615385	0.0746268656716418	0.645833333333333	0.0833333333333333	0.032258064516129	3
N0.HOG0004395	13	1	19	10	1	44	0.203125	0.0149253731343284	0.395833333333333	0.136986301369863	0.0263157894736842	2
N0.HOG0004413	6	5	29	9	2	51	0.048	0.1	0.604166666666667	0.155172413793103	0.0416666666666667	3
N0.HOG0004414	7	1	29	10	1	48	0.0707070707070707	0.024390243902439	0.547169811320755	0.153846153846154	0.0222222222222222	3
