Orthogroup,Species,Classification,Count,ogCat
N0.HOG0000049,Aduranensis,gbM,9,Core: Other
N0.HOG0000049,Crubella,gbM,11,Core: Other
N0.HOG0000049,Zmays,Unclassified,11,Core: Other
N0.HOG0000049,Phallii,gbM,9,Core: Other
N0.HOG0000049,Cmelo,gbM,10,Core: Other
N0.HOG0000049,Fxananassa,gbM,28,Core: Other
N0.HOG0000049,Csativus,gbM,9,Core: Other
N0.HOG0000049,Bvulgaris,gbM,8,Core: Other
N0.HOG0000049,Ljaponicus,gbM,16,Core: Other
N0.HOG0000049,Fvesca,Unclassified,5,Core: Other
N0.HOG0000049,Cpapaya,Unclassified,7,Core: Other
N0.HOG0000049,Ppersica,Unclassified,12,Core: Other
N0.HOG0000049,Athaliana,Unclassified,11,Core: Other
N0.HOG0000049,Fxananassa,Unclassified,18,Core: Other
N0.HOG0000049,Alyrata,gbM,15,Core: Other
N0.HOG0000049,Gmax,Unclassified,8,Core: Other
N0.HOG0000049,Fvesca,gbM,14,Core: Other
N0.HOG0000049,Vvinifera,gbM,18,Core: Other
N0.HOG0000049,Graimondii,gbM,9,Core: Other
N0.HOG0000049,Clanatus,gbM,9,Core: Other
N0.HOG0000049,Mdomestica,Unclassified,14,Core: Other
N0.HOG0000049,Bvulgaris,Unclassified,9,Core: Other
N0.HOG0000049,Macuminata,gbM,10,Core: Other
N0.HOG0000085,Bvulgaris,gbM,6,Core: Other
N0.HOG0000085,Clanatus,Unclassified,9,Core: Other
N0.HOG0000085,Fxananassa,gbM,17,Core: Other
N0.HOG0000085,Phallii,gbM,10,Core: Other
N0.HOG0000085,Sitalica,gbM,11,Core: Other
N0.HOG0000087,Clanatus,Unclassified,12,Core: Other
N0.HOG0000087,Cpapaya,Unclassified,11,Core: Other
N0.HOG0000087,Vvinifera,Unclassified,7,Core: Other
N0.HOG0000162,Ppersica,Unmethylated,40,Core: Other
N0.HOG0000162,Ljaponicus,Unclassified,24,Core: Other
N0.HOG0000162,Fvesca,Unclassified,11,Core: Other
N0.HOG0000162,Mtruncatula,Unclassified,49,Core: Other
N0.HOG0000162,Bvulgaris,Unmethylated,13,Core: Other
N0.HOG0000162,Fxananassa,Unmethylated,129,Core: Other
N0.HOG0000162,Aduranensis,Unmethylated,47,Core: Other
N0.HOG0000162,Mtruncatula,Unmethylated,40,Core: Other
N0.HOG0000162,Bvulgaris,gbM,7,Core: Other
N0.HOG0000162,Aipaensis,Unmethylated,57,Core: Other
N0.HOG0000162,Csativus,Unmethylated,17,Core: Other
N0.HOG0000162,Graimondii,Unclassified,9,Core: Other
N0.HOG0000162,Ljaponicus,gbM,24,Core: Other
N0.HOG0000162,Mtruncatula,gbM,46,Core: Other
N0.HOG0000162,Fvesca,Unmethylated,51,Core: Other
N0.HOG0000162,Mguttatus,gbM,64,Core: Other
N0.HOG0000162,Ljaponicus,teM,44,Core: Other
N0.HOG0000162,Ljaponicus,Unmethylated,38,Core: Other
N0.HOG0000162,Mdomestica,Unmethylated,26,Core: Other
N0.HOG0000162,Graimondii,Unmethylated,38,Core: Other
N0.HOG0000162,Fxananassa,Unclassified,13,Core: Other
N0.HOG0000162,Mtruncatula,teM,119,Core: Other
N0.HOG0000162,Mtruncatula,Missing,88,Core: Other
N0.HOG0000162,Cclementina,Unmethylated,43,Core: Other
N0.HOG0000162,Clanatus,Unmethylated,10,Core: Other
N0.HOG0000162,Pxbretschneideri,Unmethylated,15,Core: Other
N0.HOG0000162,Bvulgaris,Unclassified,24,Core: Other
N0.HOG0000194,Fvesca,Unclassified,5,Cross-Family
N0.HOG0000209,Mdomestica,Unclassified,14,Cross-Family
N0.HOG0000211,Mdomestica,gbM,13,Core: Other
N0.HOG0000211,Cclementina,gbM,11,Core: Other
N0.HOG0000211,Mdomestica,Unmethylated,40,Core: Other
N0.HOG0000211,Aduranensis,gbM,21,Core: Other
N0.HOG0000211,Mesculenta,Unmethylated,59,Core: Other
N0.HOG0000211,Ppersica,Unmethylated,31,Core: Other
N0.HOG0000211,Pxbretschneideri,Unmethylated,16,Core: Other
N0.HOG0000211,Eguineensis,Unmethylated,16,Core: Other
N0.HOG0000211,Aduranensis,Unclassified,12,Core: Other
N0.HOG0000211,Pvulgaris,Unclassified,6,Core: Other
N0.HOG0000211,Aipaensis,Unclassified,19,Core: Other
N0.HOG0000211,Mdomestica,Missing,10,Core: Other
N0.HOG0000211,Aipaensis,Missing,5,Core: Other
N0.HOG0000211,Graimondii,Unclassified,13,Core: Other
N0.HOG0000211,Vvinifera,Unclassified,20,Core: Other
N0.HOG0000211,Pxbretschneideri,teM,18,Core: Other
N0.HOG0000211,Ljaponicus,gbM,14,Core: Other
N0.HOG0000211,Aduranensis,Unmethylated,37,Core: Other
N0.HOG0000211,Stuberosum,gbM,28,Core: Other
N0.HOG0000211,Mguttatus,teM,26,Core: Other
N0.HOG0000211,Ptrichocarpa,Unmethylated,88,Core: Other
N0.HOG0000211,Ppersica,teM,26,Core: Other
N0.HOG0000211,Tcacao,Unclassified,13,Core: Other
N0.HOG0000211,Fxananassa,Unmethylated,86,Core: Other
N0.HOG0000211,Aipaensis,Unmethylated,63,Core: Other
N0.HOG0000211,Tcacao,Unmethylated,55,Core: Other
N0.HOG0000211,Stuberosum,Unclassified,12,Core: Other
N0.HOG0000211,Mdomestica,teM,69,Core: Other
N0.HOG0000211,Pxbretschneideri,gbM,10,Core: Other
N0.HOG0000211,Aipaensis,gbM,35,Core: Other
N0.HOG0000211,Vvinifera,Missing,25,Core: Other
N0.HOG0000211,Vvinifera,gbM,20,Core: Other
N0.HOG0000211,Vvinifera,Unmethylated,54,Core: Other
N0.HOG0000211,Vvinifera,teM,30,Core: Other
N0.HOG0000211,Pxbretschneideri,Unclassified,37,Core: Other
N0.HOG0000211,Tcacao,gbM,9,Core: Other
N0.HOG0000211,Mdomestica,Unclassified,37,Core: Other
N0.HOG0000211,Gmax,Missing,16,Core: Other
N0.HOG0000211,Mesculenta,gbM,7,Core: Other
N0.HOG0000211,Graimondii,Unmethylated,45,Core: Other
N0.HOG0000212,Pvulgaris,teM,30,Cross-Family
N0.HOG0000213,Pxbretschneideri,Unclassified,12,Core: Other
N0.HOG0000213,Ptrichocarpa,Unmethylated,82,Core: Other
N0.HOG0000213,Phallii,gbM,9,Core: Other
N0.HOG0000213,Pvulgaris,Unmethylated,38,Core: Other
N0.HOG0000213,Osativa,gbM,18,Core: Other
N0.HOG0000213,Pvulgaris,teM,78,Core: Other
N0.HOG0000213,Eguineensis,Unmethylated,31,Core: Other
N0.HOG0000213,Csativus,gbM,6,Core: Other
N0.HOG0000213,Bvulgaris,Unclassified,13,Core: Other
N0.HOG0000213,Bvulgaris,gbM,5,Core: Other
N0.HOG0000216,Aduranensis,gbM,10,Cross-Family
N0.HOG0000216,Mesculenta,gbM,7,Cross-Family
N0.HOG0000216,Pxbretschneideri,Missing,18,Cross-Family
N0.HOG0000223,Alyrata,Unclassified,12,Cross-Family
N0.HOG0000223,Brapa,Unmethylated,54,Cross-Family
N0.HOG0000223,Boleracea,Unclassified,32,Cross-Family
N0.HOG0000223,Pvulgaris,Unmethylated,32,Cross-Family
N0.HOG0000223,Boleracea,gbM,9,Cross-Family
N0.HOG0000223,Alyrata,gbM,12,Cross-Family
N0.HOG0000223,Athaliana,gbM,6,Cross-Family
N0.HOG0000226,Pxbretschneideri,Unclassified,13,Cross-Family
N0.HOG0000226,Ppersica,gbM,10,Cross-Family
N0.HOG0000226,Csativus,Unclassified,5,Cross-Family
N0.HOG0000226,Pxbretschneideri,gbM,6,Cross-Family
N0.HOG0000226,Ppersica,Unclassified,14,Cross-Family
N0.HOG0000226,Vvinifera,Unclassified,7,Cross-Family
N0.HOG0000226,Mdomestica,Unclassified,19,Cross-Family
N0.HOG0000226,Egrandis,teM,31,Cross-Family
N0.HOG0000227,Aipaensis,gbM,8,Cross-Family
N0.HOG0000228,Aduranensis,Unclassified,7,Cross-Family
N0.HOG0000228,Aipaensis,gbM,7,Cross-Family
N0.HOG0000228,Clanatus,gbM,5,Cross-Family
N0.HOG0000228,Ppersica,gbM,10,Cross-Family
N0.HOG0000244,Mdomestica,Unclassified,15,Cross-Family
N0.HOG0000274,Macuminata,Unmethylated,27,Core: Other
N0.HOG0000339,Sbicolor,gbM,11,Cross-Family
N0.HOG0000341,Pxbretschneideri,teM,22,Core: Other
N0.HOG0000341,Pxbretschneideri,Unclassified,16,Core: Other
N0.HOG0000341,Pvirgatum,gbM,12,Core: Other
N0.HOG0000341,Mdomestica,teM,80,Core: Other
N0.HOG0000341,Graimondii,Unclassified,18,Core: Other
N0.HOG0000341,Mesculenta,Unmethylated,49,Core: Other
N0.HOG0000341,Mguttatus,teM,29,Core: Other
N0.HOG0000342,Osativa,gbM,17,Core: Other
N0.HOG0000342,Pvirgatum,Unmethylated,61,Core: Other
N0.HOG0000342,Phallii,Unmethylated,28,Core: Other
N0.HOG0000347,Mesculenta,Unmethylated,42,Core: Other
N0.HOG0000347,Fxananassa,Unmethylated,101,Core: Other
N0.HOG0000347,Aduranensis,Unclassified,11,Core: Other
N0.HOG0000347,Egrandis,gbM,11,Core: Other
N0.HOG0000347,Cmelo,Unclassified,11,Core: Other
N0.HOG0000347,Ljaponicus,gbM,17,Core: Other
N0.HOG0000347,Tcacao,Unmethylated,59,Core: Other
N0.HOG0000347,Ptrichocarpa,Unclassified,4,Core: Other
N0.HOG0000347,Mdomestica,Unmethylated,34,Core: Other
N0.HOG0000347,Csativus,Unmethylated,15,Core: Other
N0.HOG0000347,Aipaensis,Unmethylated,51,Core: Other
N0.HOG0000347,Pvulgaris,Unmethylated,36,Core: Other
N0.HOG0000347,Mtruncatula,gbM,67,Core: Other
N0.HOG0000347,Fvesca,Unclassified,6,Core: Other
N0.HOG0000347,Egrandis,Unmethylated,53,Core: Other
N0.HOG0000347,Fvesca,Unmethylated,35,Core: Other
N0.HOG0000347,Cclementina,Unmethylated,43,Core: Other
N0.HOG0000347,Graimondii,Unclassified,11,Core: Other
N0.HOG0000347,Egrandis,Missing,33,Core: Other
N0.HOG0000347,Gmax,Unmethylated,88,Core: Other
N0.HOG0000347,Slycopersicum,Unclassified,15,Core: Other
