species,version,source,refChr,methylC,outgroups,epochs,outgroup,Total,Input,Percent Input,Mapped,Percen Mapped,Non-conversion
Aduranensis,,,ChrL,yes,,,Atrichopoda,343081479,340268789,99.1802%,142583617,41.9032%,0.718823332
Aipaensis,,,ChrC,yes,,,Atrichopoda,510940019,501875923,98.2260%,213633928,42.5671%,0.489767251
Acoerulea,,,NA,no,,,Atrichopoda,,,,,,
Alyrata,,,ChrL,yes,Athaliana Crubella Esalsugineum Cviolacea Cpapaya Tcacao Egrandis Ptrichocarpa Vvinifera Atrichopoda,10,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Aofficinalis,,,NA,no,,,Atrichopoda,,,,,,
Athaliana,,,ChrL,yes,Alyrata Crubella Esalsugineum Cviolacea Cpapaya Tcacao Egrandis Ptrichocarpa Vvinifera Atrichopoda,10,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Atrichopoda,,,ChrL,yes,,,Atrichopoda,115042647,114746712,99.7428%,56805031,49.5047%,1.183356769
Bdistachyon,,,ChrC,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Boleracea,,,ChrL,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Brapa,,,ChrL,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Bvulgaris,,,ChrL,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Cannuum,,,NA,no,,,Atrichopoda,,,,,,
Cclementina,,,ChrL,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Cpapaya,,,ChrC,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Clanatus,,,ChrL,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Cmelo,,,ChrC,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Crubella,,,ChrL,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Csativus,,,ChrC,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Cviolacea,,,NA,no,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Egrandis,,,ChrL,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Eguineensis,,,ChrC,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
Esalsugineum,,,ChrL,yes,,,Atrichopoda,,,#DIV/0!,,#DIV/0!,
