,Acoerulea,Aduranensis,Aipaensis,Alyrata,Aofficinalis,Athaliana,Atrichopoda,Bdistachyon,Boleracea,Brapa,Bvulgaris,Cannuum,Cclementina,Clanatus,Cmelo,Cpapaya,Crubella,Csativus,Cviolacea,Egrandis,Eguineensis,Esalsugineum,Fvesca,Fxananassa,Gmax,Graimondii,Gsoja,Ljaponicus,Macuminata,Mdomestica,Mesculenta,Mguttatus,Mtruncatula,Nattenuata,Nnucifera,Osativa,Othomaeum,Paxillaris,Phallii,Ppersica,Ptrichocarpa,Pvirgatum,Pvulgaris,Pxbretschneideri,Rchinensis,Roccidentalis,Sbicolor,Sitalica,Slycopersicum,Smelongena,Spolyrhiza,Stuberosum,Sviridis,Tcacao,Vcorymbosum,Vvinifera,Zjujuba,Zmays,Total
OG0002375,1,1,1,1,1,1,1,1,2,2,1,1,1,11,11,1,1,10,1,1,3,1,2,5,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,16,2,2,1,6,4,4,1,1,1,1,1,1,1,1,2,1,28,1,161
OG0003103,1,1,1,9,0,7,1,1,23,15,1,1,1,1,1,1,5,1,22,1,1,4,0,4,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,3,1,0,1,0,1,1,1,1,1,1,1,1,2,1,2,1,139
OG0004029,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,1,2,5,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,36,1,1,1,1,1,1,1,1,1,5,1,1,3,116
OG0004263,2,20,25,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,2,1,1,1,0,1,1,1,1,1,1,1,2,1,0,1,1,1,1,2,1,1,0,1,1,4,1,1,1,112
OG0004334,1,1,1,7,1,8,4,1,9,5,1,1,1,1,1,1,7,1,1,6,1,5,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,0,1,1,2,1,1,1,1,1,1,1,4,1,0,1,110
OG0004432,1,3,6,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,17,3,1,3,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,7,3,1,2,1,1,1,1,2,1,5,1,1,1,109
OG0004462,4,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,2,9,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,15,1,1,1,1,1,3,1,1,1,4,1,1,1,108
OG0004855,1,1,2,1,2,1,1,2,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,6,3,3,2,2,1,4,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,2,1,1,1,1,1,1,1,1,4,10,1,5,103
OG0005011,1,1,1,1,2,1,2,1,1,1,1,1,1,8,9,1,1,13,1,3,1,1,1,2,1,2,1,1,1,1,1,2,4,1,1,1,1,0,1,1,1,3,1,1,2,1,1,1,1,0,1,1,1,1,3,1,1,4,101
OG0005216,1,5,2,1,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,2,1,5,2,1,2,2,2,4,1,1,8,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,9,1,1,3,99
OG0005257,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,3,2,1,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,8,1,20,1,98
OG0005336,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,2,1,2,1,1,3,1,24,1,1,2,1,1,1,1,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,4,3,1,2,97
OG0005344,1,11,9,2,11,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,3,1,1,2,97
OG0005386,1,1,1,1,15,1,7,1,1,1,1,0,1,1,1,1,1,1,1,1,2,3,1,4,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,7,1,1,2,97
OG0005615,2,1,1,1,3,1,2,1,1,0,2,1,1,1,1,1,1,1,1,7,1,1,1,6,2,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,11,3,1,1,94
OG0005629,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,9,1,3,1,1,1,10,1,1,1,1,1,1,0,1,2,4,1,1,1,1,3,2,1,1,1,1,2,2,4,1,2,1,94
OG0005677,1,0,0,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,21,0,1,1,10,2,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,94
OG0005699,1,1,1,3,0,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,1,1,11,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,13,1,1,1,1,2,1,1,1,1,4,1,0,1,94
OG0005723,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,3,2,6,1,1,1,2,2,2,2,1,1,4,1,1,12,93
OG0005727,3,2,2,1,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,2,7,1,1,1,1,2,11,2,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,2,1,1,0,1,1,5,1,1,1,93
OG0005774,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,2,1,5,2,3,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,3,1,1,1,1,1,1,1,3,1,3,1,1,8,1,8,1,93
OG0005776,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,3,1,2,3,1,1,2,1,1,1,1,1,1,1,2,1,0,2,1,2,1,1,1,1,1,1,1,14,1,1,7,93
OG0005875,1,10,11,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,92
OG0005886,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,11,1,1,1,5,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,3,1,1,1,1,2,1,1,2,1,1,8,1,4,1,92
OG0005890,1,1,1,1,1,1,2,1,2,3,1,2,1,1,1,0,1,1,1,1,2,3,1,7,1,2,1,1,2,4,3,1,1,1,1,1,1,1,1,1,3,2,1,5,1,1,1,1,2,1,1,1,1,1,7,1,1,1,92
OG0005906,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,2,1,2,4,0,2,1,1,2,1,1,2,1,1,1,1,1,3,1,1,9,3,1,1,1,1,1,1,1,1,4,1,2,1,92
OG0005945,1,0,0,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,11,2,1,2,3,1,2,1,1,4,1,1,1,1,1,1,1,1,2,1,1,4,2,1,1,1,1,1,1,1,1,8,1,1,1,92
OG0005958,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1,4,2,1,1,1,4,1,1,1,2,3,7,1,2,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,2,1,6,3,1,1,91
OG0005995,1,1,1,1,1,1,1,1,3,5,1,0,1,1,1,5,1,1,1,1,1,1,1,5,2,1,2,2,2,2,1,1,1,8,1,1,1,1,1,1,1,2,1,4,1,2,1,1,1,1,1,2,1,1,2,2,1,1,91
