Feature	Classification
AT2G40435	UM
AT2G43120	UM
AT2G31240	gbM
AT2G25630	TE-like
AT2G35480	UM
AT2G29730	NA
AT2G17600	NA
AT2G25530	NA
AT2G27960	gbM
AT2G21390	gbM
AT2G23210	NA
AT2G21930	TE-like
AT2G29300	NA
AT2G21640	UM
AT2G35740	gbM
AT2G18870	NA
AT2G37550	UM
AT2G31370	UM
AT2G15530	gbM
AT2G26900	gbM
AT2G38310	UM
AT2G43600	NA
AT2G02680	NA
AT2G20380	gbM
AT2G28410	NA
AT2G07714	UM
AT2G22960	UM
AT2G19580	NA
AT2G06105	TE-like
AT2G32710	UM
AT2G39710	UM
AT2G38230	UM
AT2G05180	NA
AT2G02510	UM
AT2G23430	UM
AT2G41220	gbM
AT2G19820	UM
AT2G35920	gbM
AT2G16970	UM
AT2G17980	gbM
AT2G04100	NA
AT2G46620	UM
AT2G43750	NA
AT2G19690	NA
AT2G24490	NA
AT2G20790	gbM
AT2G18328	gbM
AT2G15080	NA
AT2G45695	UM
AT2G33130	NA
AT2G27920	NA
AT2G42700	gbM
AT2G37678	NA
AT2G45240	gbM
AT2G32350	UM
AT2G15280	NA
AT2G31920	NA
AT2G05520	NA
AT2G39100	NA
AT2G36540	UM
AT2G41420	UM
AT2G46225	NA
AT2G31780	NA
AT2G34430	gbM
AT2G04220	NA
AT2G27700	NA
AT2G40210	NA
AT2G42060	UM
AT2G42780	NA
AT2G35155	gbM
AT2G16953	UM
AT2G22320	NA
AT2G07702	NA
AT2G41380	UM
AT2G45950	gbM
AT2G37260	NA
AT2G01640	UM
AT2G18910	UM
AT2G02300	UM
AT2G11851	TE-like
AT2G35635	NA
AT2G28405	UM
AT2G18170	gbM
AT2G37195	UM
AT2G21380	gbM
AT2G11405	TE-like
AT2G42010	NA
AT2G38465	UM
AT2G38860	NA
AT2G04031	TE-like
AT2G43620	NA
AT2G16130	NA
AT2G37230	gbM
AT2G26990	gbM
AT2G47560	UM
AT2G06960	TE-like
AT2G19210	NA
AT2G06050	NA
AT2G37390	UM
AT2G03840	UM
AT2G36130	NA
AT2G35250	TE-like
AT2G19440	gbM
AT2G21210	UM
AT2G38390	NA
AT2G37025	NA
AT2G07623	NA
AT2G25250	NA
AT2G43945	NA
AT2G16930	UM
AT2G02820	UM
AT2G15710	TE-like
AT2G38380	NA
AT2G43465	NA
AT2G33520	UM
