Feature	CG_Total_C	CG_Methylated_C	CG_Total_Reads	CG_Methylated_Reads	CG_Weighted_mC	CHG_Total_C	CHG_Methylated_C	CHG_Total_Reads	CHG_Methylated_Reads	CHG_Weighted_mC	CHH_Total_C	CHH_Methylated_C	CHH_Total_Reads	CHH_Methylated_Reads	CHH_Weighted_mC	CG_pvalue	CG_qvalue	CHG_pvalue	CHG_qvalue	CHH_pvalue	CHH_qvalue	Classification
p5.00_sc00105_p0085	40.0	40.0	253.0	231.0	0.9130434782608696	57.0	50.0	332.0	272.0	0.8192771084337349	247.0	3.0	1541.0	44.0	0.028552887735236863	1.2631467331096829e-22	1.1708278607638889e-20	3.130592066504149e-55	2.0586405124382287e-52	0.5372472019669203	1.0	TE-like
p5.00_sc00105_p0084	11.0	1.0	67.0	12.0	0.1791044776119403	16.0	0.0	112.0	0.0	0.0	40.0	0.0	215.0	1.0	0.004651162790697674					1.0	1.0	Unmethylated
p5.00_sc00105_p0083																						NA
p5.00_sc00105_p0082	11.0	0.0	94.0	1.0	0.010638297872340424	11.0	0.0	65.0	0.0	0.0	12.0	0.0	75.0	0.0	0.0							Unmethylated
p5.00_sc00105_p0081	105.0	16.0	598.0	132.0	0.22073578595317725	152.0	0.0	892.0	13.0	0.014573991031390137	266.0	0.0	1669.0	4.0	0.002396644697423607	0.9994709859289136	1.0	1.0	1.0	1.0	1.0	Unclassified
p5.00_sc00105_p0080	7.0	0.0	99.0	0.0	0.0	12.0	0.0	109.0	0.0	0.0	42.0	0.0	356.0	0.0	0.0					1.0	1.0	Unmethylated
p5.00_sc00105_p0079	16.0	0.0	99.0	1.0	0.010101010101010102	15.0	0.0	150.0	0.0	0.0	37.0	0.0	413.0	1.0	0.0024213075060532693					1.0	1.0	Unmethylated
p5.00_sc00105_p0078						5.0	0.0	37.0	0.0	0.0	12.0	0.0	104.0	1.0	0.009615384615384616							NA
p5.00_sc00105_p0077	11.0	7.0	252.0	153.0	0.6071428571428571	14.0	8.0	235.0	102.0	0.4340425531914894	10.0	0.0	344.0	6.0	0.017441860465116282							Unclassified
p5.00_sc00105_p0076																						NA
p5.00_sc00105_p0075	1.0	0.0	34.0	0.0	0.0	10.0	0.0	78.0	0.0	0.0	28.0	0.0	239.0	1.0	0.0041841004184100415					1.0	1.0	Unmethylated
p5.00_sc00105_p0074	19.0	0.0	142.0	0.0	0.0	20.0	0.0	154.0	0.0	0.0	56.0	0.0	446.0	1.0	0.002242152466367713			1.0	1.0	1.0	1.0	Unmethylated
p5.00_sc00105_p0073	4.0	4.0	26.0	24.0	0.9230769230769232	17.0	0.0	118.0	1.0	0.00847457627118644	50.0	0.0	328.0	0.0	0.0					1.0	1.0	Unclassified
p5.00_sc00105_p0072																						NA
