Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
Pavir.1KG001400,Pavir.1NG006400,unM,unM,wgd,Same,unM-unM,0.0351707,0.034177,1.02908,0.999428
Pavir.1KG001500,Pavir.1NG006300,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.223944,0.399372,0.560741,8.63945e-05
Pavir.1KG001700,Pavir.1NG006100,gbM,gbM,wgd,Same,gbM-gbM,0.0135273,0.104077,0.129975,8.91891e-10
Pavir.1KG002000,Pavir.1NG005800,unM,unM,wgd,Same,unM-unM,0.0299494,0.058059,0.515843,0.0809942
Pavir.1KG002100,Pavir.1NG015833,unM,unM,wgd,Same,unM-unM,0.0336504,0.0657889,0.51149,0.269753
Pavir.1KG002200,Pavir.1NG025866,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0125717,0.0622596,0.201924,2.0013e-06
Pavir.1KG002500,Pavir.1NG035900,unM,unM,wgd,Same,unM-unM,0.099912,0.954046,0.104725,5.69032e-21
Pavir.1KG002600,Pavir.1NG036000,unM,unM,wgd,Same,unM-unM,0.0122377,0.086297,0.141809,3.05473e-07
Pavir.1KG002700,Pavir.1NG036100,gbM,unM,wgd,Different,gbM-unM,0.0588804,0.330866,0.177958,0.000933156
Pavir.1KG003000,Pavir.1NG036873,gbM,gbM,wgd,Same,gbM-gbM,0.0166623,0.0823959,0.202223,5.34372e-26
Pavir.1KG003200,Pavir.1NG000200,unM,unM,wgd,Same,unM-unM,0.0314682,0.110562,0.284621,5.0786e-05
Pavir.1KG003300,Pavir.1NG000300,unM,unM,wgd,Same,unM-unM,0.0152355,0.137,0.111208,1.84256e-07
Pavir.1KG003400,Pavir.1NG000400,unM,unM,wgd,Same,unM-unM,0.525342,3.20748,0.163787,3.27933e-12
Pavir.1KG003900,Pavir.1NG000600,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0145811,0.110681,0.131739,2.8618e-05
Pavir.1KG004000,Pavir.1NG000700,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.00635665,0.0819254,0.0775907,0.00105359
Pavir.1KG004500,Pavir.1NG001300,unM,unM,wgd,Same,unM-unM,0.0503678,0.362736,0.138855,1.90761e-08
Pavir.1KG004600,Pavir.4NG004300,unM,unM,wgd,Same,unM-unM,0.364962,3.80912,0.0958128,4.17582e-42
Pavir.1KG004700,Pavir.1NG001500,unM,unM,wgd,Same,unM-unM,0.101815,0.96647,0.105347,5.30652e-16
