Feature,Methylation,Duplication,tau
AT1G01010,Unmethylated,unclassified,0.320957055335483
AT1G01020,Unmethylated,dispersed,0.159301036024132
AT1G01030,Unmethylated,wgd,0.488889128274179
AT1G01040,gbM,unclassified,0.127909902810576
AT1G01050,Unclassified,wgd,0.154629034711602
AT1G01060,Unclassified,wgd,0.525152168485884
AT1G01070,Unmethylated,dispersed,0.591014576399002
AT1G01080,teM,unclassified,0.224100534354758
AT1G01090,Unmethylated,unclassified,0.141418868435362
AT1G01100,Unmethylated,wgd,0.214676823632565
AT1G01110,Unmethylated,wgd,0.333631743125682
AT1G01120,Unmethylated,unclassified,0.253741315866046
AT1G01130,Unmethylated,dispersed,0.244169525561935
AT1G01140,Unmethylated,unclassified,0.238328276742638
AT1G01150,Unmethylated,dispersed,0.749570274762554
AT1G01160,Unmethylated,wgd,0.197303378053731
AT1G01170,Unmethylated,wgd,0.279975767539722
AT1G01180,Unmethylated,unclassified,0.407969067218316
AT1G01190,Unmethylated,wgd,0.637127961887273
AT1G01200,Unmethylated,dispersed,0.409894409506446
AT1G01210,Unmethylated,dispersed,0.235230127366839
AT1G01220,gbM,unclassified,0.11071785734608
AT1G01225,Unmethylated,wgd,0.221543534009643
AT1G01230,Unclassified,dispersed,0.182262865061701
AT1G01240,Unmethylated,wgd,0.331965517560969
AT1G01250,Unmethylated,unclassified,0.386245222387173
AT1G01260,Unclassified,wgd,0.154230651700715
AT1G01280,Unmethylated,unclassified,0.886176824993364
AT1G01290,Unmethylated,unclassified,0.169090679105435
AT1G01300,Unmethylated,wgd,0.196602399545387
AT1G01305,Unmethylated,unclassified,0.784979343622822
AT1G01310,Unmethylated,unclassified,0.738909982050149
AT1G01320,gbM,unclassified,0.150100656593391
AT1G01335,Unmethylated,unclassified,0.968750663390253
AT1G01340,Unclassified,wgd,0.45130551526462
AT1G01350,gbM,wgd,0.237167706525175
AT1G01355,Unmethylated,dispersed,0.72121826193191
AT1G01360,Unmethylated,wgd,0.314234924138297
AT1G01370,Unmethylated,unclassified,0.32109251849892
AT1G01380,Unmethylated,wgd,0.593472844334878
AT1G01390,Unmethylated,wgd,0.594543744553898
AT1G01400,Unmethylated,unclassified,0.936119227323961
AT1G01410,Unmethylated,dispersed,0.930269674873269
AT1G01420,Unmethylated,proximal,0.511383517734843
AT1G01430,Unmethylated,wgd,0.186418220867929
AT1G01440,gbM,wgd,0.159106464070813
AT1G01450,Unclassified,transposed,0.21120794645635
AT1G01453,Unmethylated,wgd,0.832677211132507
AT1G01460,Unmethylated,wgd,0.807169126809401
AT1G01470,Unmethylated,wgd,0.385899341837866
AT1G01480,Unmethylated,wgd,0.608464276073173
AT1G01490,Unmethylated,dispersed,0.242957989977048
AT1G01500,Unmethylated,unclassified,0.433258273541704
AT1G01510,Unclassified,unclassified,0.0971418689389557
AT1G01520,Unmethylated,wgd,0.614237484127838
AT1G01530,teM,dispersed,0.763670721866098
AT1G01540,Unclassified,wgd,0.153960451196261
AT1G01550,Unclassified,wgd,0.213181917086702
AT1G01560,Unmethylated,wgd,0.547843771000334
AT1G01570,Unmethylated,wgd,0.495456408285148
AT1G01580,Unmethylated,tandem,0.661320294435329
AT1G01590,Unmethylated,tandem,0.613047350072361
AT1G01600,Unmethylated,wgd,0.491757803021287
AT1G01610,Unmethylated,wgd,0.176785999238816
AT1G01620,Unmethylated,wgd,0.161861068044116
AT1G01630,Unmethylated,unclassified,0.345982130426143
AT1G01640,Unmethylated,transposed,0.380673869430169
AT1G01650,gbM,dispersed,0.197809176596724
AT1G01660,Unclassified,unclassified,0.325339216214298
AT1G01670,gbM,wgd,0.26653606572036
AT1G01680,Unmethylated,tandem,0.682934659232168
AT1G01690,Unclassified,unclassified,0.242464752487655
AT1G01695,Unmethylated,wgd,0.394429996466969
AT1G01700,Unmethylated,wgd,0.255455315819008
AT1G01710,Unclassified,wgd,0.13813864678984
AT1G01715,Unmethylated,wgd,0.293414558940831
AT1G01720,Unmethylated,transposed,0.385996282237196
AT1G01725,Unmethylated,wgd,0.274122321914292
AT1G01730,Unmethylated,unclassified,0.226532070449709
AT1G01740,Unclassified,transposed,0.200350028621581
AT1G01750,Unclassified,transposed,0.500625488273549
AT1G01760,Unclassified,unclassified,0.190455760179659
AT1G01770,Unclassified,unclassified,0.331896215543759
AT1G01780,Unmethylated,wgd,0.515155476827534
AT1G01790,Unclassified,wgd,0.213775076200753
AT1G01800,Unmethylated,wgd,0.166488773340459
AT1G01810,Unmethylated,unclassified,0.458792715540047
AT1G01820,Unmethylated,wgd,0.200974810707483
AT1G01830,Unmethylated,wgd,0.179879968694658
AT1G01840,Unmethylated,unclassified,0.27664504399747
AT1G01860,Unmethylated,unclassified,0.161189663600811
AT1G01880,Unclassified,unclassified,0.474776418163096
AT1G01900,Unmethylated,unclassified,0.31583925914353
AT1G01910,gbM,unclassified,0.0687693737637779
AT1G01920,Unclassified,unclassified,0.128983463442322
AT1G01930,Unclassified,unclassified,0.219116303718771
AT1G01940,Unmethylated,unclassified,0.304815954797237
AT1G01950,gbM,dispersed,0.136021679897415
AT1G01960,gbM,unclassified,0.095741964493162
AT1G01970,gbM,unclassified,0.218484364510949
