,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,GSMUA_Achr10G00460_001,wgd,Unmethylated,GSMUA_Achr6G34040_001,0.221232,0.752074,0.294163,3.07415e-09
2,GSMUA_Achr10G00470_001,wgd,Unmethylated,GSMUA_Achr8G02530_001,0.114782,0.673887,0.170328,7.13227e-27
3,GSMUA_Achr10G00520_001,wgd,teM,GSMUA_Achr8G02490_001,0.0850248,0.330268,0.257442,2.66085e-05
4,GSMUA_Achr10G00570_001,wgd,gbM,GSMUA_Achr9G03500_001,0.0851114,0.473066,0.179914,3.42e-27
5,GSMUA_Achr10G00600_001,wgd,Unclassified,GSMUA_Achr8G02430_001,0.173784,0.484199,0.358911,0.00010231
6,GSMUA_Achr10G00610_001,wgd,Unclassified,GSMUA_Achr6G33930_001,0.266073,0.71119,0.374124,0.000194378
7,GSMUA_Achr10G00630_001,wgd,Unmethylated,GSMUA_Achr6G33900_001,0.230989,1.15407,0.200152,7.16998e-13
8,GSMUA_Achr10G00640_001,wgd,Unclassified,GSMUA_Achr8G02400_001,0.0605669,0.348157,0.173964,3.18828e-26
9,GSMUA_Achr10G00660_001,wgd,Unmethylated,GSMUA_Achr8G02370_001,0.184549,0.687669,0.268369,1.66353e-07
10,GSMUA_Achr10G00670_001,wgd,gbM,GSMUA_Achr6G33810_001,0.0807068,0.314489,0.256628,1.4459e-12
11,GSMUA_Achr10G00690_001,wgd,gbM,GSMUA_Achr8G02330_001,0.156581,0.516855,0.30295,1.19468e-20
12,GSMUA_Achr10G00700_001,wgd,Unmethylated,NA,NA,NA,NA,NA
13,GSMUA_Achr10G00730_001,wgd,gbM,GSMUA_Achr8G02310_001,0.108015,0.507898,0.21267,8.2039e-10
14,GSMUA_Achr10G00770_001,wgd,Unmethylated,GSMUA_Achr8G02290_001,0.265025,0.564803,0.469235,1.98887e-06
15,GSMUA_Achr10G00780_001,wgd,Unmethylated,GSMUA_Achr9G03650_001,0.161964,1.61953,0.100006,3.27417e-13
16,GSMUA_Achr10G00790_001,wgd,Unmethylated,GSMUA_Achr8G02250_001,0.150207,0.360293,0.416902,2.91472e-05
17,GSMUA_Achr10G00800_001,wgd,gbM,GSMUA_Achr9G03810_001,0.448786,1.16701,0.384562,1.49638e-05
18,GSMUA_Achr10G00810_001,wgd,Unmethylated,GSMUA_Achr8G02180_001,0.217926,0.75142,0.290019,9.06044e-11
19,GSMUA_Achr10G00840_001,wgd,Unmethylated,GSMUA_Achr9G03890_001,0.0922744,0.877581,0.105146,7.37475e-31
20,GSMUA_Achr10G00870_001,wgd,gbM,GSMUA_Achr8G02170_001,0.128099,0.768619,0.166661,3.5237e-25
