,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Medtr0002s0090,wgd,Unclassified,Medtr3g035480,0.0553502,0.10171,0.544195,6.05708e-05
2,Medtr0002s0100,wgd,NA,Medtr3g035490,0.0483922,0.162536,0.297731,0.00075467
3,Medtr0002s0140,wgd,teM,Medtr4g034750,0.0830807,0.174703,0.475555,0.0509588
4,Medtr0002s0160,wgd,Unmethylated,Medtr4g050810,0.0848646,0.454301,0.186803,8.9157e-09
5,Medtr0002s0170,wgd,Unmethylated,Medtr4g050950,0.223161,1.22654,0.181944,9.46212e-26
6,Medtr0002s0200,wgd,Unmethylated,Medtr4g051300,0.160232,1.22242,0.131077,2.25817e-34
7,Medtr0002s0250,wgd,Unmethylated,Medtr3g035620,NA,NA,NA,NA
8,Medtr0002s0270,wgd,Unmethylated,Medtr3g035635,0.0515132,0.0591721,0.870566,0.99796
9,Medtr0002s0310,wgd,Unmethylated,Medtr3g035660,0.0337296,0.155351,0.217118,3.0159e-10
10,Medtr0002s0380,wgd,Unmethylated,Medtr7g021750,0.0105156,0.795056,0.0132263,9.29468e-50
11,Medtr0002s0390,wgd,Unmethylated,Medtr3g035685,0.297132,1.50103,0.197953,5.16122e-26
12,Medtr0002s0530,wgd,Unmethylated,Medtr4g051103,0.0577886,1.0813,0.0534437,2.85079e-37
13,Medtr0002s0590,wgd,Unmethylated,Medtr4g051220,0.169288,1.0569,0.160174,2.17794e-15
14,Medtr0002s0630,wgd,Unmethylated,Medtr4g035040,0.0739819,0.741998,0.0997063,3.01277e-14
15,Medtr0002s0690,wgd,Unmethylated,Medtr4g050860,0.0429417,1.31352,0.0326921,4.62538e-41
16,Medtr0002s0700,wgd,Unmethylated,Medtr4g050850,0.0268773,0.773972,0.0347264,1.44071e-09
17,Medtr0002s0740,wgd,Unmethylated,Medtr4g051370,0.0235002,0.912137,0.025764,3.22394e-86
18,Medtr0002s0750,wgd,Unmethylated,Medtr4g034790,0.0874055,0.899475,0.0971739,4.04767e-22
19,Medtr0002s0760,wgd,Unmethylated,Medtr4g051380,0.123739,0.806063,0.153511,4.18799e-29
20,Medtr0002s0780,wgd,Unmethylated,Medtr4g051390,0.175198,1.81091,0.0967457,1.788e-13
21,Medtr0002s0790,wgd,Unmethylated,Medtr4g051410,0.215314,0.976057,0.220595,1.49955e-09
22,Medtr0002s0870,wgd,teM,Medtr7g022020,0.174091,0.160228,1.08652,0.606553
23,Medtr1g004990,wgd,gbM,Medtr3g110180,0.227802,2.05715,0.110737,5.78395e-25
24,Medtr1g006600,wgd,gbM,Medtr3g110198,0.183454,1.42554,0.128691,1.75965e-63
25,Medtr1g006605,wgd,Unmethylated,Medtr3g110202,0.202943,0.928184,0.218645,1.5241e-13
26,Medtr1g006650,wgd,teM,Medtr3g109760,0.270738,1.97145,0.137329,5.51603e-37
27,Medtr1g006660,wgd,teM,Medtr3g110205,0.235598,3.53281,0.0666886,6.57185e-33
28,Medtr1g006695,wgd,gbM,Medtr3g109650,0.211784,1.61336,0.131269,5.40387e-35
29,Medtr1g007150,wgd,gbM,Medtr3g110240,0.11628,1.33463,0.0871249,5.15626e-70
30,Medtr1g007160,wgd,gbM,Medtr3g110340,0.222223,0.874901,0.253998,7.00903e-24
31,Medtr1g007240,wgd,gbM,Medtr3g110420,0.203147,1.60095,0.126892,9.50058e-37
32,Medtr1g007360,wgd,gbM,Medtr3g110390,0.25286,0.767542,0.329442,4.3473e-05
33,Medtr1g007380,wgd,Unmethylated,Medtr3g110660,0.0899939,1.47068,0.061192,5.46624e-87
34,Medtr1g007420,wgd,gbM,Medtr3g110690,0.152736,0.62267,0.245292,6.26704e-32
35,Medtr1g007540,wgd,NA,Medtr3g092090,0.149975,1.10405,0.135841,4.27541e-61
36,Medtr1g007740,wgd,gbM,Medtr3g491920,0.221134,1.03227,0.214221,2.40916e-37
37,Medtr1g007840,wgd,gbM,Medtr3g091770,0.308983,1.62282,0.190399,1.09593e-20
38,Medtr1g007880,wgd,gbM,Medtr3g091760,0.142347,0.792402,0.17964,1.4961e-19
39,Medtr1g007905,wgd,Unmethylated,Medtr3g091680,0.251802,1.1352,0.221813,2.22293e-12
40,Medtr1g007920,wgd,gbM,Medtr3g091560,0.242687,0.973323,0.249339,6.07904e-23
41,Medtr1g008120,wgd,gbM,Medtr3g091510,0.0401218,1.33373,0.0300824,2.24382e-56
42,Medtr1g008140,wgd,teM,Medtr3g091380,0.196521,1.60595,0.122371,7.90635e-80
43,Medtr1g008220,wgd,gbM,Medtr3g091340,0.144495,0.795531,0.181633,9.97576e-20
44,Medtr1g008230,wgd,gbM,Medtr3g091310,0.16659,0.875248,0.190334,4.88624e-63
45,Medtr1g008280,wgd,gbM,Medtr3g109932,0.0512123,0.953469,0.0537116,3.80025e-43
46,Medtr1g008380,wgd,gbM,Medtr3g109520,0.133001,1.21426,0.109532,1.26575e-49
