,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,LOC103926518,wgd,Unclassified,LOC103930347,0.151112,0.297446,0.508033,0.000544433
2,LOC103926520,wgd,Unmethylated,LOC103935712,0.100498,0.204847,0.490602,0.000970274
3,LOC103926521,wgd,Unclassified,LOC103935694,0.149153,0.233834,0.637861,0.0167879
4,LOC103926530,wgd,Unmethylated,LOC103939454,0.0269408,0.133753,0.201422,2.41925e-06
5,LOC103926535,wgd,Unmethylated,LOC103930878,0.00955127,0.0214911,0.444429,0.150981
6,LOC103926536,wgd,gbM,LOC103934049,0.043959,0.146225,0.300625,4.83532e-12
7,LOC103926537,wgd,Unclassified,LOC103934028,0.0251175,0.194392,0.129211,0.000198222
8,LOC103926540,wgd,Unclassified,LOC103934014,0.020104,0.130284,0.15431,8.44446e-11
9,LOC103926541,wgd,Unmethylated,LOC103933996,0.0634702,0.156976,0.404331,0.00328266
10,LOC103926543,wgd,Unmethylated,LOC103945253,0.0348712,0.236828,0.147243,3.45859e-25
11,LOC103926547,wgd,Unmethylated,LOC103926541,0.0487595,0.101633,0.479759,0.0294716
12,LOC103926548,wgd,Unclassified,LOC103934124,0.304683,0.9048,0.336741,6.60807e-34
13,LOC103926552,wgd,Unclassified,LOC103930905,0.00706003,0.0375916,0.187808,9.60642e-06
14,LOC103926554,wgd,gbM,LOC103945252,0.0171934,0.156689,0.10973,1.01123e-41
15,LOC103926579,wgd,Unmethylated,LOC103962737,0.00169245,NA,NA,NA
16,LOC103926580,wgd,Unmethylated,LOC103947274,0.262758,2.40857,0.109093,1.19486e-20
17,LOC103926581,wgd,NA,LOC103962740,NA,NA,NA,NA
18,LOC103926584,wgd,NA,LOC103962742,0.00242213,0.0213231,0.113592,0.00783779
19,LOC103926586,wgd,Unmethylated,LOC103962743,0.009256,0.0171844,0.538627,0.265947
20,LOC103926592,wgd,gbM,LOC103962736,NA,0.00444486,7.49331e-13,NA
21,LOC103926593,wgd,NA,LOC103962772,0.00158234,0.00563611,0.28075,0.344335
22,LOC103926606,wgd,Unclassified,LOC103927609,0.0493355,0.154132,0.320086,7.94301e-05
23,LOC103926625,wgd,Unclassified,LOC103966629,0.0194787,0.148017,0.131597,3.92209e-16
24,LOC103926628,wgd,gbM,LOC103966632,0.0258292,0.126533,0.20413,2.31847e-07
25,LOC103926629,wgd,Unclassified,LOC103966633,0.0212023,0.201303,0.105325,8.2744e-09
26,LOC103926630,wgd,Unclassified,LOC103966634,0.0829037,0.137263,0.603977,0.00951308
27,LOC103926631,wgd,Unmethylated,LOC103966635,0.0668875,0.206402,0.324064,4.4003e-06
28,LOC103926632,wgd,gbM,LOC103966636,0.0317361,0.203783,0.155735,5.91703e-16
29,LOC103926634,wgd,gbM,LOC103966637,0.0737355,0.204812,0.360015,2.05251e-24
30,LOC103926635,wgd,Unclassified,LOC103966639,0.0306476,0.126555,0.242169,1.81487e-07
31,LOC103926636,wgd,Unclassified,LOC103966673,0.107855,0.283002,0.381112,5.38372e-05
32,LOC103926637,wgd,gbM,LOC103966640,0.0355694,0.114312,0.311162,1.60814e-06
33,LOC103926638,wgd,gbM,LOC103966641,0.0611729,0.141896,0.43111,7.92465e-07
34,LOC103926640,wgd,Unmethylated,LOC103966643,0.0431644,0.120087,0.359444,0.000957324
35,LOC103926641,wgd,gbM,LOC103966644,0.0319389,0.0990534,0.322441,2.61883e-08
36,LOC103926642,wgd,Unclassified,LOC103966647,0.105794,0.188585,0.560987,0.0951455
37,LOC103926643,wgd,gbM,LOC103966648,0.0291487,0.168945,0.172533,1.99996e-22
