Feature	Duplication
Sevir.1G001000	dispersed
Sevir.3G341600	dispersed
Sevir.4G128300	dispersed
Sevir.7G024500	dispersed
Sevir.1G001100	dispersed
Sevir.2G302000	dispersed
Sevir.9G003300	dispersed
Sevir.9G243000	dispersed
Sevir.1G001300	dispersed
Sevir.1G373200	dispersed
Sevir.2G301700	dispersed
Sevir.2G409300	dispersed
Sevir.3G260800	dispersed
Sevir.5G177650	dispersed
Sevir.8G121800	dispersed
Sevir.9G130700	dispersed
Sevir.9G243300	dispersed
Sevir.1G001400	dispersed
Sevir.7G013600	dispersed
Sevir.1G002200	dispersed
Sevir.9G477600	dispersed
Sevir.1G002400	dispersed
Sevir.4G010900	dispersed
Sevir.7G118300	dispersed
Sevir.1G002500	dispersed
Sevir.4G009300	dispersed
Sevir.9G300900	dispersed
Sevir.1G003000	dispersed
Sevir.4G005200	dispersed
Sevir.1G003100	dispersed
Sevir.1G221100	dispersed
Sevir.1G004700	dispersed
Sevir.7G191000	dispersed
Sevir.1G005200	dispersed
Sevir.1G219400	dispersed
Sevir.3G077600	dispersed
Sevir.3G229400	dispersed
Sevir.5G411200	dispersed
Sevir.9G212000	dispersed
Sevir.9G380700	dispersed
Sevir.9G417800	dispersed
Sevir.9G440200	dispersed
Sevir.1G005700	dispersed
Sevir.6G058100	dispersed
Sevir.1G006000	dispersed
Sevir.9G044610	dispersed
Sevir.1G006100	dispersed
Sevir.2G182400	dispersed
Sevir.3G034400	dispersed
Sevir.6G059200	dispersed
Sevir.9G007100	dispersed
Sevir.9G292700	dispersed
Sevir.9G394900	dispersed
Sevir.1G006500	dispersed
Sevir.2G055000	dispersed
Sevir.1G006800	dispersed
Sevir.1G118700	dispersed
Sevir.1G007200	dispersed
Sevir.1G119100	dispersed
Sevir.1G007700	dispersed
Sevir.2G295000	dispersed
Sevir.8G043200	dispersed
Sevir.1G007800	dispersed
Sevir.5G329500	dispersed
Sevir.1G008600	dispersed
Sevir.3G000300	dispersed
Sevir.6G260200	dispersed
Sevir.7G340601	dispersed
Sevir.1G010000	dispersed
Sevir.9G225000	dispersed
Sevir.9G414566	dispersed
Sevir.1G010900	dispersed
Sevir.2G074700	dispersed
Sevir.2G336600	dispersed
Sevir.3G356000	dispersed
Sevir.3G370500	dispersed
Sevir.3G417000	dispersed
Sevir.4G158600	dispersed
Sevir.1G011000	dispersed
Sevir.1G387300	dispersed
Sevir.1G011200	dispersed
Sevir.5G014200	dispersed
Sevir.1G012000	dispersed
Sevir.5G260400	dispersed
Sevir.1G012600	dispersed
Sevir.1G226000	dispersed
Sevir.1G013300	dispersed
Sevir.3G129300	dispersed
Sevir.1G013800	dispersed
Sevir.3G077900	dispersed
Sevir.1G014500	dispersed
Sevir.3G190800	dispersed
Sevir.1G014700	dispersed
Sevir.1G174500	dispersed
Sevir.1G187900	dispersed
Sevir.1G276000	dispersed
Sevir.2G019600	dispersed
Sevir.3G079300	dispersed
Sevir.3G123500	dispersed
Sevir.3G135600	dispersed
Sevir.3G221300	dispersed
Sevir.4G147400	dispersed
Sevir.5G111200	dispersed
Sevir.5G125600	dispersed
Sevir.6G105200	dispersed
Sevir.7G027600	dispersed
Sevir.7G046300	dispersed
Sevir.8G254500	dispersed
Sevir.9G107400	dispersed
Sevir.9G255400	dispersed
Sevir.9G409300	dispersed
Sevir.1G015450	dispersed
Sevir.2G341200	dispersed
Sevir.1G017000	dispersed
Sevir.3G086000	dispersed
Sevir.3G321200	dispersed
Sevir.1G017600	dispersed
Sevir.9G167200	dispersed
Sevir.1G018900	dispersed
Sevir.3G071400	dispersed
Sevir.1G019100	dispersed
Sevir.9G356000	dispersed
Sevir.1G019201	dispersed
Sevir.1G027400	dispersed
Sevir.1G091100	dispersed
Sevir.1G165766	dispersed
Sevir.2G048400	dispersed
Sevir.3G171400	dispersed
Sevir.3G296100	dispersed
Sevir.3G406100	dispersed
Sevir.5G132301	dispersed
Sevir.5G158933	dispersed
Sevir.5G347450	dispersed
Sevir.6G059600	dispersed
Sevir.7G251700	dispersed
Sevir.7G334300	dispersed
Sevir.8G115800	dispersed
Sevir.8G212900	dispersed
Sevir.9G334000	dispersed
Sevir.1G020300	dispersed
Sevir.4G067600	dispersed
Sevir.7G036100	dispersed
Sevir.1G020700	dispersed
Sevir.6G257100	dispersed
Sevir.1G020900	dispersed
Sevir.1G147550	dispersed
Sevir.1G021400	dispersed
Sevir.5G270300	dispersed
Sevir.1G021900	dispersed
Sevir.1G083000	dispersed
Sevir.1G217300	dispersed
Sevir.2G016600	dispersed
Sevir.2G080300	dispersed
Sevir.2G264400	dispersed
Sevir.2G330700	dispersed
Sevir.4G194400	dispersed
Sevir.5G023600	dispersed
Sevir.5G409800	dispersed
Sevir.6G061100	dispersed
Sevir.6G070200	dispersed
Sevir.7G056500	dispersed
Sevir.1G022500	dispersed
Sevir.1G065900	dispersed
Sevir.7G001100	dispersed
Sevir.9G283600	dispersed
Sevir.1G024100	dispersed
Sevir.3G100100	dispersed
Sevir.7G284200	dispersed
Sevir.8G131200	dispersed
Sevir.1G024200	dispersed
Sevir.9G224900	dispersed
Sevir.1G024800	dispersed
Sevir.3G400900	dispersed
Sevir.1G025200	dispersed
Sevir.1G153900	dispersed
Sevir.1G284900	dispersed
Sevir.2G131900	dispersed
Sevir.2G181750	dispersed
Sevir.3G331400	dispersed
Sevir.4G196600	dispersed
Sevir.5G173700	dispersed
Sevir.6G070450	dispersed
Sevir.6G116300	dispersed
Sevir.6G149000	dispersed
Sevir.7G007000	dispersed
Sevir.7G023400	dispersed
Sevir.8G042600	dispersed
