Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
CsaV3_1G000190,CsaV3_1G009880,unM,unM,wgd,Same,unM-unM,0.656024,2.07943,0.315482,6.64081e-11
CsaV3_1G000300,CsaV3_1G009850,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.322168,2.4983,0.128955,1.04701e-32
CsaV3_1G000430,CsaV3_1G009780,unM,unM,wgd,Same,unM-unM,0.304666,1.60277,0.190087,6.41731e-31
CsaV3_1G000450,CsaV3_1G009760,gbM,unM,wgd,Different,gbM-unM,0.389678,3.9625,0.0983414,2.42517e-35
CsaV3_1G000530,CsaV3_1G009720,unM,unM,wgd,Same,unM-unM,0.0506332,1.20028,0.0421845,7.11049e-14
CsaV3_1G000530,CsaV3_3G026970,unM,unM,wgd,Same,unM-unM,0.0468829,2.85264,0.016435,1.11303e-24
CsaV3_1G000570,CsaV3_1G009640,unM,unM,wgd,Same,unM-unM,0.244504,2.76705,0.0883629,6.52223e-40
CsaV3_1G000630,CsaV3_3G027050,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.31695,4.3628,0.0726484,6.59884e-85
CsaV3_1G000670,CsaV3_1G009540,gbM,unM,wgd,Different,gbM-unM,0.123274,4.24039,0.0290714,3.17979e-100
CsaV3_1G000690,CsaV3_1G009500,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0815511,1.11496,0.0731426,9.49743e-38
CsaV3_1G000730,CsaV3_3G027270,gbM,gbM,wgd,Same,gbM-gbM,0.338961,4.5799,0.0740105,7.52939e-123
CsaV3_1G000800,CsaV3_3G027390,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.314831,5.3783,0.0585373,2.12856e-35
CsaV3_1G000840,CsaV3_1G009360,unM,teM,wgd,Different,unM-teM,0.450248,4.28821,0.104997,3.07113e-49
CsaV3_1G000880,CsaV3_3G027410,gbM,gbM,wgd,Same,gbM-gbM,0.12424,4.21291,0.0294903,2.506e-90
CsaV3_1G000920,CsaV3_3G027580,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.426862,2.55435,0.167112,1.00347e-58
CsaV3_1G001120,CsaV3_1G008940,unM,unM,wgd,Same,unM-unM,0.47989,4.35597,0.110168,1.45174e-44
CsaV3_1G001180,CsaV3_1G008780,unM,unM,wgd,Same,unM-unM,0.282208,3.80366,0.0741939,1.217e-63
CsaV3_1G001250,CsaV3_1G008730,gbM,unM,wgd,Different,gbM-unM,0.329714,4.26523,0.0773028,7.58738e-60
CsaV3_1G001300,CsaV3_1G008710,unM,unM,wgd,Same,unM-unM,0.267996,1.60723,0.166743,4.24415e-113
CsaV3_1G001330,CsaV3_1G008700,unM,unM,wgd,Same,unM-unM,0.167402,1.69654,0.0986724,5.59896e-59
CsaV3_1G001490,CsaV3_1G008460,unM,unM,wgd,Same,unM-unM,0.518307,3.99225,0.129828,1.33396e-22
CsaV3_1G001570,CsaV3_1G008430,gbM,gbM,wgd,Same,gbM-gbM,0.13651,1.42708,0.0956564,1.6916e-54
CsaV3_1G001590,CsaV3_3G042380,gbM,gbM,wgd,Same,gbM-gbM,0.0668031,4.06791,0.0164219,1.93501e-125
CsaV3_1G001610,CsaV3_3G042240,gbM,gbM,wgd,Same,gbM-gbM,0.243302,2.77274,0.0877479,7.7742e-99
CsaV3_1G001620,CsaV3_1G008370,teM,teM,wgd,Same,teM-teM,0.322609,2.12125,0.152084,1.76641e-23
