,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Migut.A00010,wgd,gbM,Migut.E01821,0.111226,0.702554,0.158317,5.02928e-28
2,Migut.A00011,wgd,gbM,Migut.E01819,0.0967872,2.40399,0.0402611,2.83399e-27
3,Migut.A00012,wgd,gbM,Migut.E01817,0.2225,1.00064,0.222359,1.66642e-34
4,Migut.A00013,wgd,Unmethylated,Migut.E01816,0.191196,0.766769,0.249353,8.99442e-11
5,Migut.A00017,wgd,gbM,Migut.E01815,0.0907307,1.4228,0.063769,1.70411e-69
6,Migut.A00020,wgd,gbM,Migut.E01812,0.114804,0.985931,0.116442,1.47398e-52
7,Migut.A00021,wgd,gbM,Migut.E01811,0.143365,0.63628,0.225317,1.77268e-17
8,Migut.A00023,wgd,gbM,Migut.E01810,0.102739,0.750526,0.13689,7.28472e-36
9,Migut.A00024,wgd,gbM,Migut.E01809,0.119275,0.997514,0.119572,4.40151e-53
10,Migut.A00037,wgd,gbM,Migut.E01804,0.115081,1.2869,0.0894247,7.78854e-35
11,Migut.A00039,wgd,gbM,Migut.E01802,0.139858,1.33878,0.104467,7.68132e-87
12,Migut.A00044,wgd,gbM,Migut.E01800,0.312059,0.740192,0.421592,1.96614e-08
13,Migut.A00045,wgd,gbM,Migut.E01799,0.212213,1.07757,0.196937,1.49735e-44
14,Migut.A00053,wgd,gbM,Migut.E01792,0.12678,1.08448,0.116904,1.72717e-37
15,Migut.A00054,wgd,Unclassified,Migut.E01790,0.0821574,0.616765,0.133207,1.585e-15
16,Migut.A00058,wgd,gbM,Migut.E01787,0.230169,0.965745,0.238333,1.0158e-28
17,Migut.A00059,wgd,Unclassified,Migut.E01786,0.243441,1.23002,0.197917,5.03932e-12
18,Migut.A00061,wgd,gbM,Migut.E01784,0.292843,2.19215,0.133587,1.31218e-33
19,Migut.A00067,wgd,Unclassified,Migut.L01566,0.565007,3.44064,0.164216,2.32763e-18
20,Migut.A00071,wgd,gbM,Migut.E01782,0.0903641,1.69587,0.0532847,1.75913e-159
21,Migut.A00075,wgd,gbM,Migut.L01559,0.579158,4.6211,0.125329,6.41247e-50
22,Migut.A00079,wgd,gbM,Migut.E01781,0.125816,1.38739,0.0906855,1.1184e-110
23,Migut.A00088,wgd,gbM,Migut.E01573,0.143549,2.18919,0.0655717,1.90144e-96
24,Migut.A00091,wgd,Unclassified,Migut.I01063,0.508125,4.12539,0.12317,2.40229e-40
25,Migut.A00094,wgd,Unclassified,Migut.I01057,0.212757,2.49181,0.0853825,4.77829e-53
