Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Thhalv10024240m.g,unM,Thhalv10000016m.g,unM,wgd,Same,unM-unM
Thhalv10024289m.g,unM,Thhalv10000024m.g,unM,wgd,Same,unM-unM
Thhalv10024301m.g,unM,Thhalv10000029m.g,unM,wgd,Same,unM-unM
Thhalv10024369m.g,unM,Thhalv10000042m.g,unM,wgd,Same,unM-unM
Thhalv10024409m.g,unM,Thhalv10000043m.g,unM,wgd,Same,unM-unM
Thhalv10024448m.g,unM,Thhalv10000046m.g,unM,wgd,Same,unM-unM
Thhalv10024425m.g,unM,Thhalv10000048m.g,unM,wgd,Same,unM-unM
Thhalv10024415m.g,unM,Thhalv10000049m.g,unM,wgd,Same,unM-unM
Thhalv10024482m.g,unM,Thhalv10000050m.g,unM,wgd,Same,unM-unM
Thhalv10024484m.g,unM,Thhalv10000055m.g,unM,wgd,Same,unM-unM
Thhalv10024479m.g,unM,Thhalv10000057m.g,unM,wgd,Same,unM-unM
Thhalv10024520m.g,unM,Thhalv10000059m.g,unM,wgd,Same,unM-unM
Thhalv10027018m.g,unM,Thhalv10000061m.g,unM,wgd,Same,unM-unM
Thhalv10024837m.g,unM,Thhalv10000072m.g,unM,wgd,Same,unM-unM
Thhalv10024573m.g,unM,Thhalv10000073m.g,unM,wgd,Same,unM-unM
Thhalv10024509m.g,unM,Thhalv10000076m.g,unM,wgd,Same,unM-unM
Thhalv10026061m.g,unM,Thhalv10000080m.g,unM,wgd,Same,unM-unM
Thhalv10024678m.g,unM,Thhalv10000081m.g,unM,wgd,Same,unM-unM
Thhalv10024693m.g,unM,Thhalv10000082m.g,unM,wgd,Same,unM-unM
Thhalv10024675m.g,unM,Thhalv10000088m.g,unM,wgd,Same,unM-unM
Thhalv10024840m.g,unM,Thhalv10000095m.g,unM,wgd,Same,unM-unM
Thhalv10024866m.g,unM,Thhalv10000098m.g,unM,wgd,Same,unM-unM
Thhalv10024652m.g,unM,Thhalv10000102m.g,unM,wgd,Same,unM-unM
Thhalv10024827m.g,unM,Thhalv10000105m.g,unM,wgd,Same,unM-unM
Thhalv10024859m.g,unM,Thhalv10000106m.g,unM,wgd,Same,unM-unM
Thhalv10024861m.g,unM,Thhalv10000114m.g,unM,wgd,Same,unM-unM
Thhalv10024853m.g,unM,Thhalv10000115m.g,unM,wgd,Same,unM-unM
Thhalv10024871m.g,unM,Thhalv10000117m.g,unM,wgd,Same,unM-unM
Thhalv10024915m.g,unM,Thhalv10000124m.g,unM,wgd,Same,unM-unM
Thhalv10024754m.g,unM,Thhalv10000127m.g,unM,wgd,Same,unM-unM
Thhalv10024895m.g,unM,Thhalv10000129m.g,unM,wgd,Same,unM-unM
Thhalv10025200m.g,unM,Thhalv10000134m.g,unM,wgd,Same,unM-unM
Thhalv10024653m.g,unM,Thhalv10000136m.g,unM,wgd,Same,unM-unM
Thhalv10024817m.g,unM,Thhalv10000138m.g,unM,wgd,Same,unM-unM
Thhalv10024927m.g,unM,Thhalv10000141m.g,unM,wgd,Same,unM-unM
Thhalv10024767m.g,unM,Thhalv10000147m.g,unM,wgd,Same,unM-unM
Thhalv10024943m.g,unM,Thhalv10000153m.g,unM,wgd,Same,unM-unM
Thhalv10022646m.g,unM,Thhalv10000156m.g,unM,wgd,Same,unM-unM
Thhalv10024775m.g,unM,Thhalv10000158m.g,unM,wgd,Same,unM-unM
Thhalv10027092m.g,unM,Thhalv10000162m.g,unM,wgd,Same,unM-unM
Thhalv10025198m.g,unM,Thhalv10000164m.g,unM,wgd,Same,unM-unM
Thhalv10025225m.g,unM,Thhalv10000173m.g,unM,wgd,Same,unM-unM
Thhalv10025282m.g,unM,Thhalv10000174m.g,unM,wgd,Same,unM-unM
Thhalv10025427m.g,unM,Thhalv10000177m.g,unM,wgd,Same,unM-unM
Thhalv10025341m.g,unM,Thhalv10000179m.g,unM,wgd,Same,unM-unM
Thhalv10025368m.g,unM,Thhalv10000180m.g,unM,wgd,Same,unM-unM
Thhalv10025332m.g,unM,Thhalv10000182m.g,unM,wgd,Same,unM-unM
Thhalv10025229m.g,unM,Thhalv10000183m.g,unM,wgd,Same,unM-unM
Thhalv10025366m.g,unM,Thhalv10000189m.g,unM,wgd,Same,unM-unM
