Feature	Duplication
Bradi0012s00100	dispersed
Bradi1g65725	dispersed
Bradi4g12750	dispersed
Bradi0012s00201	dispersed
Bradi3g39273	dispersed
Bradi1g00200	dispersed
Bradi1g34727	dispersed
Bradi2g25170	dispersed
Bradi2g40790	dispersed
Bradi2g47110	dispersed
Bradi3g61100	dispersed
Bradi5g19400	dispersed
Bradi1g00210	dispersed
Bradi1g18750	dispersed
Bradi1g32170	dispersed
Bradi5g20082	dispersed
Bradi1g00213	dispersed
Bradi1g30799	dispersed
Bradi3g26640	dispersed
Bradi4g02324	dispersed
Bradi4g15215	dispersed
Bradi1g00215	dispersed
Bradi1g49600	dispersed
Bradi3g42150	dispersed
Bradi4g06450	dispersed
Bradi1g00335	dispersed
Bradi2g27174	dispersed
Bradi1g00368	dispersed
Bradi1g20594	dispersed
Bradi1g28198	dispersed
Bradi2g32225	dispersed
Bradi2g51331	dispersed
Bradi3g06566	dispersed
Bradi3g18264	dispersed
Bradi1g00370	dispersed
Bradi5g27695	dispersed
Bradi1g00381	dispersed
Bradi1g51700	dispersed
Bradi1g53600	dispersed
Bradi1g60637	dispersed
Bradi2g03730	dispersed
Bradi2g13297	dispersed
Bradi2g22840	dispersed
Bradi2g32290	dispersed
Bradi3g29450	dispersed
Bradi3g47510	dispersed
Bradi3g55520	dispersed
Bradi4g33270	dispersed
Bradi5g01440	dispersed
Bradi5g26900	dispersed
Bradi5g27691	dispersed
Bradi1g00405	dispersed
Bradi1g14915	dispersed
Bradi3g29320	dispersed
Bradi4g15400	dispersed
Bradi1g00410	dispersed
Bradi2g36840	dispersed
Bradi2g62095	dispersed
Bradi1g00417	dispersed
Bradi1g05217	dispersed
Bradi1g16602	dispersed
Bradi2g23181	dispersed
Bradi2g36441	dispersed
Bradi3g08327	dispersed
Bradi4g01170	dispersed
Bradi5g13222	dispersed
Bradi1g00427	dispersed
Bradi1g78740	dispersed
Bradi2g36360	dispersed
Bradi1g00438	dispersed
Bradi2g37230	dispersed
Bradi2g47275	dispersed
Bradi3g09702	dispersed
Bradi1g00450	dispersed
Bradi3g54840	dispersed
Bradi3g60946	dispersed
Bradi5g04330	dispersed
Bradi1g00460	dispersed
Bradi1g26040	dispersed
Bradi3g41987	dispersed
Bradi1g00485	dispersed
Bradi5g02510	dispersed
Bradi1g00517	dispersed
Bradi3g22570	dispersed
Bradi5g17270	dispersed
Bradi1g00567	dispersed
Bradi3g55060	dispersed
Bradi1g00730	dispersed
Bradi4g38090	dispersed
Bradi5g02890	dispersed
Bradi1g00820	dispersed
Bradi1g74700	dispersed
Bradi4g36594	dispersed
Bradi1g00867	dispersed
Bradi4g04120	dispersed
Bradi1g00940	dispersed
Bradi1g52550	dispersed
Bradi1g00970	dispersed
Bradi3g17208	dispersed
Bradi1g01021	dispersed
Bradi1g69827	dispersed
Bradi1g01140	dispersed
Bradi1g01200	dispersed
Bradi1g01160	dispersed
Bradi1g70990	dispersed
Bradi1g01170	dispersed
Bradi3g34250	dispersed
Bradi1g01178	dispersed
Bradi1g01257	dispersed
Bradi1g51687	dispersed
Bradi2g39207	dispersed
Bradi2g57534	dispersed
Bradi4g12877	dispersed
Bradi4g20527	dispersed
Bradi1g01320	dispersed
Bradi3g21898	dispersed
Bradi1g01332	dispersed
Bradi1g26161	dispersed
Bradi1g26485	dispersed
Bradi1g26757	dispersed
Bradi1g38111	dispersed
Bradi1g46382	dispersed
Bradi1g69052	dispersed
Bradi1g76105	dispersed
Bradi2g28465	dispersed
Bradi2g37573	dispersed
Bradi3g21421	dispersed
Bradi3g34611	dispersed
Bradi4g05372	dispersed
Bradi4g13587	dispersed
Bradi4g13676	dispersed
Bradi5g00472	dispersed
Bradi5g03816	dispersed
Bradi5g08864	dispersed
Bradi5g26948	dispersed
Bradi1g01336	dispersed
Bradi1g27478	dispersed
Bradi1g01338	dispersed
Bradi2g08585	dispersed
Bradi1g01344	dispersed
Bradi1g17538	dispersed
Bradi1g01507	dispersed
Bradi1g45737	dispersed
Bradi4g41597	dispersed
Bradi1g01541	dispersed
Bradi1g01670	dispersed
Bradi2g41451	dispersed
Bradi1g01551	dispersed
Bradi1g51320	dispersed
Bradi3g07775	dispersed
Bradi3g60250	dispersed
Bradi4g02520	dispersed
Bradi4g23880	dispersed
Bradi4g39317	dispersed
Bradi5g01546	dispersed
Bradi1g01560	dispersed
Bradi1g17990	dispersed
Bradi1g01620	dispersed
Bradi1g28140	dispersed
Bradi1g54920	dispersed
Bradi1g01630	dispersed
Bradi2g59420	dispersed
Bradi1g01700	dispersed
Bradi2g10990	dispersed
Bradi3g19760	dispersed
Bradi1g01730	dispersed
Bradi3g40950	dispersed
Bradi1g01740	dispersed
Bradi1g48823	dispersed
Bradi1g01770	dispersed
Bradi1g71410	dispersed
Bradi1g01790	dispersed
Bradi4g07500	dispersed
Bradi1g01800	dispersed
Bradi2g59490	dispersed
Bradi1g01820	dispersed
Bradi2g58790	dispersed
Bradi4g19080	dispersed
Bradi1g01830	dispersed
Bradi3g40920	dispersed
Bradi1g01870	dispersed
Bradi4g33540	dispersed
Bradi1g01890	dispersed
Bradi1g37579	dispersed
Bradi1g01910	dispersed
Bradi1g52960	dispersed
Bradi1g01946	dispersed
Bradi1g21966	dispersed
Bradi2g41420	dispersed
Bradi3g30580	dispersed
Bradi4g17300	dispersed
Bradi4g29205	dispersed
Bradi5g03670	dispersed
Bradi5g07330	dispersed
Bradi1g01965	dispersed
Bradi3g46313	dispersed
Bradi4g17498	dispersed
Bradi5g26391	dispersed
Bradi1g01970	dispersed
Bradi1g12697	dispersed
Bradi1g01985	dispersed
Bradi3g01783	dispersed
Bradi4g08210	dispersed
Bradi4g42020	dispersed
Bradi1g01990	dispersed
Bradi1g06907	dispersed
Bradi1g13310	dispersed
Bradi1g19740	dispersed
Bradi1g24700	dispersed
Bradi1g26960	dispersed
Bradi1g67770	dispersed
Bradi2g12691	dispersed
Bradi2g36810	dispersed
Bradi3g16121	dispersed
Bradi3g51320	dispersed
Bradi4g24666	dispersed
Bradi4g40020	dispersed
Bradi5g13370	dispersed
Bradi1g02000	dispersed
Bradi2g56274	dispersed
Bradi1g02020	dispersed
Bradi3g48240	dispersed
Bradi1g02040	dispersed
Bradi1g14186	dispersed
