Feature	Duplication
Phvul.001G003100	dispersed
Phvul.010G108900	dispersed
Phvul.001G003200	dispersed
Phvul.010G117700	dispersed
Phvul.L002181	dispersed
Phvul.001G003500	dispersed
Phvul.008G123500	dispersed
Phvul.009G146600	dispersed
Phvul.001G005600	dispersed
Phvul.003G026300	dispersed
Phvul.001G007100	dispersed
Phvul.009G121700	dispersed
Phvul.001G007400	dispersed
Phvul.002G196500	dispersed
Phvul.001G008500	dispersed
Phvul.005G104700	dispersed
Phvul.009G045800	dispersed
Phvul.001G008600	dispersed
Phvul.001G264066	dispersed
Phvul.001G264132	dispersed
Phvul.001G008900	dispersed
Phvul.006G039800	dispersed
Phvul.010G076700	dispersed
Phvul.010G077000	dispersed
Phvul.010G079100	dispersed
Phvul.001G015500	dispersed
Phvul.007G265200	dispersed
Phvul.001G016450	dispersed
Phvul.004G063100	dispersed
Phvul.008G020000	dispersed
Phvul.001G017300	dispersed
Phvul.003G044500	dispersed
Phvul.001G019500	dispersed
Phvul.005G054680	dispersed
Phvul.011G010600	dispersed
Phvul.001G019900	dispersed
Phvul.009G198100	dispersed
Phvul.001G020400	dispersed
Phvul.006G170600	dispersed
Phvul.001G022100	dispersed
Phvul.003G292200	dispersed
Phvul.001G022200	dispersed
Phvul.003G291900	dispersed
Phvul.001G023000	dispersed
Phvul.001G132400	dispersed
Phvul.002G118700	dispersed
Phvul.003G122800	dispersed
Phvul.003G138486	dispersed
Phvul.004G078300	dispersed
Phvul.004G109100	dispersed
Phvul.005G066300	dispersed
Phvul.007G113900	dispersed
Phvul.007G133900	dispersed
Phvul.007G142300	dispersed
Phvul.008G175400	dispersed
Phvul.009G112900	dispersed
Phvul.001G023900	dispersed
Phvul.001G264600	dispersed
Phvul.001G024400	dispersed
Phvul.002G054000	dispersed
Phvul.001G030600	dispersed
Phvul.006G055300	dispersed
Phvul.001G030700	dispersed
Phvul.011G135400	dispersed
Phvul.001G031700	dispersed
Phvul.L001695	dispersed
Phvul.001G032700	dispersed
Phvul.006G036700	dispersed
Phvul.001G032900	dispersed
Phvul.010G142900	dispersed
Phvul.001G034800	dispersed
Phvul.002G167000	dispersed
Phvul.001G035000	dispersed
Phvul.001G106933	dispersed
Phvul.002G134500	dispersed
Phvul.011G138700	dispersed
Phvul.L003437	dispersed
Phvul.001G036200	dispersed
Phvul.002G086300	dispersed
Phvul.003G049200	dispersed
Phvul.001G038900	dispersed
Phvul.006G069000	dispersed
Phvul.001G039100	dispersed
Phvul.007G056100	dispersed
Phvul.001G041500	dispersed
Phvul.003G155700	dispersed
Phvul.001G041800	dispersed
Phvul.010G055600	dispersed
Phvul.001G042600	dispersed
Phvul.003G171300	dispersed
Phvul.001G043450	dispersed
Phvul.004G084600	dispersed
Phvul.006G004580	dispersed
Phvul.001G044000	dispersed
Phvul.006G214800	dispersed
Phvul.001G045700	dispersed
Phvul.003G157200	dispersed
Phvul.001G045800	dispersed
Phvul.002G171300	dispersed
Phvul.004G057100	dispersed
Phvul.006G043500	dispersed
Phvul.007G239600	dispersed
Phvul.008G024700	dispersed
Phvul.010G051700	dispersed
Phvul.001G046600	dispersed
Phvul.010G159900	dispersed
Phvul.001G047600	dispersed
Phvul.011G206200	dispersed
Phvul.001G052300	dispersed
Phvul.001G073300	dispersed
Phvul.001G052350	dispersed
Phvul.007G072700	dispersed
Phvul.001G053400	dispersed
Phvul.002G315100	dispersed
Phvul.004G157500	dispersed
Phvul.001G054200	dispersed
Phvul.011G128100	dispersed
Phvul.L006901	dispersed
Phvul.001G054300	dispersed
Phvul.006G101000	dispersed
Phvul.001G057200	dispersed
Phvul.009G161800	dispersed
Phvul.001G058500	dispersed
Phvul.003G145200	dispersed
Phvul.001G059000	dispersed
Phvul.009G179900	dispersed
Phvul.001G060400	dispersed
Phvul.005G076400	dispersed
Phvul.006G034000	dispersed
Phvul.001G061500	dispersed
Phvul.008G006700	dispersed
Phvul.001G061600	dispersed
Phvul.003G219300	dispersed
Phvul.001G061700	dispersed
Phvul.003G125501	dispersed
Phvul.001G061900	dispersed
Phvul.009G137700	dispersed
Phvul.001G062000	dispersed
Phvul.009G054200	dispersed
Phvul.001G062800	dispersed
Phvul.009G053200	dispersed
Phvul.001G063600	dispersed
Phvul.005G074400	dispersed
Phvul.001G064900	dispersed
Phvul.002G055050	dispersed
Phvul.007G115900	dispersed
Phvul.011G210000	dispersed
Phvul.001G065000	dispersed
Phvul.003G115900	dispersed
Phvul.001G065900	dispersed
Phvul.004G083300	dispersed
Phvul.006G064400	dispersed
Phvul.001G067500	dispersed
Phvul.009G156700	dispersed
Phvul.001G068300	dispersed
Phvul.003G004200	dispersed
Phvul.001G068700	dispersed
Phvul.005G070100	dispersed
Phvul.009G120700	dispersed
Phvul.001G068900	dispersed
Phvul.001G160900	dispersed
Phvul.002G214200	dispersed
Phvul.002G232500	dispersed
Phvul.004G102200	dispersed
Phvul.007G135700	dispersed
Phvul.007G159300	dispersed
Phvul.008G032300	dispersed
Phvul.009G187600	dispersed
Phvul.009G209000	dispersed
Phvul.010G061800	dispersed
Phvul.011G112766	dispersed
Phvul.001G070600	dispersed
Phvul.002G078200	dispersed
Phvul.001G072100	dispersed
Phvul.007G015800	dispersed
Phvul.009G125700	dispersed
Phvul.001G073900	dispersed
Phvul.010G040200	dispersed
Phvul.001G074400	dispersed
Phvul.007G013600	dispersed
Phvul.001G075700	dispersed
Phvul.006G136900	dispersed
Phvul.001G075800	dispersed
Phvul.011G200400	dispersed
Phvul.001G076800	dispersed
Phvul.006G062900	dispersed
Phvul.010G081500	dispersed
Phvul.001G077300	dispersed
Phvul.009G104000	dispersed
Phvul.001G078100	dispersed
Phvul.004G132100	dispersed
Phvul.001G078701	dispersed
Phvul.010G165700	dispersed
Phvul.001G083000	dispersed
Phvul.002G184300	dispersed
Phvul.009G131000	dispersed
Phvul.001G083800	dispersed
Phvul.007G020100	dispersed
Phvul.008G092700	dispersed
Phvul.001G084100	dispersed
Phvul.001G090500	dispersed
Phvul.008G062500	dispersed
Phvul.009G076400	dispersed
Phvul.001G085000	dispersed
Phvul.002G071700	dispersed
Phvul.004G071025	dispersed
Phvul.004G072650	dispersed
Phvul.007G143701	dispersed
Phvul.007G178500	dispersed
Phvul.011G161800	dispersed
Phvul.011G163850	dispersed
Phvul.001G086000	dispersed
Phvul.011G050500	dispersed
Phvul.001G086800	dispersed
Phvul.002G229800	dispersed
Phvul.008G122100	dispersed
Phvul.001G087900	dispersed
Phvul.003G147100	dispersed
Phvul.001G088000	dispersed
Phvul.009G163600	dispersed
Phvul.001G088600	dispersed
Phvul.007G001200	dispersed
Phvul.008G017100	dispersed
Phvul.001G088700	dispersed
Phvul.006G038644	dispersed
Phvul.006G038688	dispersed
Phvul.001G089000	dispersed
Phvul.002G066200	dispersed
Phvul.008G159600	dispersed
Phvul.011G125600	dispersed
Phvul.001G089700	dispersed
Phvul.009G162300	dispersed
Phvul.001G089800	dispersed
Phvul.008G001600	dispersed
Phvul.001G090100	dispersed
Phvul.004G070800	dispersed
Phvul.007G000900	dispersed
Phvul.001G091300	dispersed
Phvul.009G125500	dispersed
Phvul.001G091500	dispersed
Phvul.009G028200	dispersed
Phvul.001G092700	dispersed
Phvul.009G082900	dispersed
Phvul.001G093300	dispersed
Phvul.001G190100	dispersed
Phvul.001G094000	dispersed
Phvul.010G093000	dispersed
Phvul.001G096200	dispersed
Phvul.001G260100	dispersed
Phvul.001G096800	dispersed
Phvul.006G087100	dispersed
Phvul.001G097000	dispersed
Phvul.004G077700	dispersed
Phvul.011G102700	dispersed
Phvul.001G097400	dispersed
Phvul.004G062600	dispersed
Phvul.001G097500	dispersed
Phvul.001G097601	dispersed
Phvul.005G101800	dispersed
Phvul.011G101750	dispersed
Phvul.001G099600	dispersed
Phvul.002G185300	dispersed
Phvul.008G259600	dispersed
Phvul.009G142400	dispersed
Phvul.001G100700	dispersed
Phvul.004G137800	dispersed
Phvul.001G100900	dispersed
Phvul.004G052900	dispersed
Phvul.008G206200	dispersed
Phvul.001G101600	dispersed
Phvul.003G115700	dispersed
Phvul.005G070150	dispersed
Phvul.011G145800	dispersed
Phvul.001G101700	dispersed
Phvul.009G166700	dispersed
Phvul.001G103600	dispersed
Phvul.002G149300	dispersed
Phvul.001G104100	dispersed
Phvul.011G114450	dispersed
Phvul.001G104800	dispersed
Phvul.008G255000	dispersed
Phvul.009G234700	dispersed
Phvul.001G105000	dispersed
Phvul.001G109800	dispersed
Phvul.003G117700	dispersed
Phvul.005G044800	dispersed
Phvul.005G095200	dispersed
Phvul.005G096800	dispersed
Phvul.006G016100	dispersed
Phvul.006G191400	dispersed
Phvul.007G129300	dispersed
Phvul.007G143500	dispersed
Phvul.007G155600	dispersed
Phvul.008G122133	dispersed
Phvul.009G015800	dispersed
Phvul.010G059600	dispersed
Phvul.L003637	dispersed
Phvul.001G105102	dispersed
Phvul.001G141550	dispersed
Phvul.009G180101	dispersed
Phvul.001G105800	dispersed
Phvul.004G049700	dispersed
Phvul.001G106200	dispersed
Phvul.001G106900	dispersed
Phvul.001G106300	dispersed
Phvul.004G054100	dispersed
Phvul.001G106700	dispersed
Phvul.004G053700	dispersed
Phvul.001G107200	dispersed
Phvul.L004901	dispersed
Phvul.001G107300	dispersed
Phvul.011G187800	dispersed
Phvul.001G108000	dispersed
Phvul.009G026300	dispersed
Phvul.001G108100	dispersed
Phvul.005G083600	dispersed
Phvul.L002159	dispersed
Phvul.001G110800	dispersed
Phvul.L001692	dispersed
Phvul.001G111500	dispersed
Phvul.004G080700	dispersed
Phvul.001G111600	dispersed
Phvul.004G080800	dispersed
Phvul.001G111700	dispersed
Phvul.002G237400	dispersed
Phvul.004G081100	dispersed
Phvul.009G114100	dispersed
Phvul.001G111800	dispersed
Phvul.002G237300	dispersed
Phvul.004G081200	dispersed
Phvul.001G111900	dispersed
Phvul.002G237200	dispersed
Phvul.001G113900	dispersed
Phvul.004G051200	dispersed
Phvul.001G114700	dispersed
Phvul.004G101800	dispersed
Phvul.001G114880	dispersed
Phvul.004G119050	dispersed
Phvul.011G119401	dispersed
Phvul.001G116900	dispersed
Phvul.002G069001	dispersed
Phvul.001G117400	dispersed
Phvul.006G213200	dispersed
Phvul.007G243800	dispersed
Phvul.001G117600	dispersed
Phvul.002G278104	dispersed
Phvul.001G118100	dispersed
Phvul.001G154901	dispersed
Phvul.003G087300	dispersed
Phvul.008G147600	dispersed
Phvul.011G145200	dispersed
Phvul.L001985	dispersed
Phvul.L002237	dispersed
Phvul.001G121300	dispersed
Phvul.003G077500	dispersed
Phvul.005G064000	dispersed
Phvul.001G122100	dispersed
Phvul.007G093200	dispersed
Phvul.009G027800	dispersed
Phvul.001G122400	dispersed
Phvul.008G167600	dispersed
Phvul.008G252432	dispersed
Phvul.001G122800	dispersed
Phvul.003G168200	dispersed
Phvul.005G152900	dispersed
Phvul.011G054100	dispersed
Phvul.001G123600	dispersed
Phvul.007G256500	dispersed
Phvul.001G123800	dispersed
Phvul.005G026200	dispersed
Phvul.007G233500	dispersed
Phvul.011G206300	dispersed
Phvul.001G124900	dispersed
Phvul.008G011700	dispersed
Phvul.008G128300	dispersed
Phvul.011G128600	dispersed
Phvul.011G145500	dispersed
Phvul.001G125100	dispersed
Phvul.008G200000	dispersed
Phvul.001G125200	dispersed
Phvul.005G029700	dispersed
Phvul.001G126100	dispersed
Phvul.002G090566	dispersed
Phvul.003G089801	dispersed
Phvul.004G079700	dispersed
Phvul.006G026640	dispersed
Phvul.009G090260	dispersed
Phvul.011G081400	dispersed
Phvul.001G126500	dispersed
Phvul.002G067600	dispersed
Phvul.002G200500	dispersed
Phvul.003G023200	dispersed
Phvul.004G009401	dispersed
Phvul.007G174850	dispersed
Phvul.008G166100	dispersed
Phvul.008G173400	dispersed
Phvul.001G126700	dispersed
Phvul.010G085100	dispersed
Phvul.001G126800	dispersed
Phvul.007G248300	dispersed
Phvul.001G129000	dispersed
Phvul.002G034200	dispersed
Phvul.011G078000	dispersed
