Transposed,Parent,speciesCount,Atrichopoda,Nnucifera,Acoerulea,Spolyrhiza,Closest
AT1G01120,AT5G43760,7,6,12,7,6,Alyrata_AL1G11400
AT1G01140,AT2G26980,2,2,5,2,3,Alyrata_AL1G11370
AT1G01370,AT4G40030,1,1,2,2,1,Alyrata_AL1G11082
AT1G01370,AT4G40030,1,1,2,2,1,Alyrata_AL1G59290
AT1G01450,AT1G64300,1,0,0,0,0,Alyrata_AL1G10990
AT1G01720,AT5G63790,2,1,2,1,2,Alyrata_AL1G10630
AT1G01740,AT4G00710,1,0,0,0,0,Alyrata_AL1G10600
AT1G01750,AT4G25590,2,2,2,1,0,Crubella_Carub.0001s0046
AT1G01750,AT4G25590,2,2,2,1,0,Alyrata_AL1G10590
AT1G01900,AT5G51750,7,25,13,21,17,Alyrata_AL1G10430
AT1G01950,AT1G12430,1,1,2,1,1,Alyrata_AL1G10370
AT1G01980,AT1G30700,5,1,0,0,1,Brapa_Brara.G01552
AT1G01980,AT1G30700,5,1,0,0,1,Boleracea_Bo6g066850
AT1G01980,AT1G30700,5,1,0,0,1,Crubella_Carub.0001s0026
AT1G01980,AT1G30700,5,1,0,0,1,Esalsugineum_Thhalv10007313m.g
AT1G02000,AT4G30440,4,1,2,1,1,Alyrata_AL1G10320
AT1G02010,AT1G12360,1,0,1,0,0,Crubella_Carub.0001s0022
AT1G02010,AT1G12360,1,0,1,0,0,Alyrata_AL1G10310
AT1G02030,AT3G60580,1,0,0,0,0,Esalsugineum_Thhalv10009894m.g
AT1G02065,AT2G33810,1,1,2,1,4,Alyrata_AL1G10220
AT1G02310,AT5G66460,1,2,1,6,2,Alyrata_AL1G11650
AT1G02335,AT3G62020,1,0,0,0,0,Alyrata_AL1G11670
AT1G02405,AT1G70990,1,0,0,0,0,Alyrata_AL1G11760
AT1G02730,AT3G03050,4,2,2,3,3,Alyrata_AL1G12110
AT1G02790,AT5G48140,1,0,3,4,0,Alyrata_AL1G12160
AT1G03103,AT4G14815,2,0,3,1,0,Alyrata_AL1G12570
AT1G03120,AT3G22490,2,0,3,0,0,Alyrata_AL1G12590
AT1G03300,AT2G47230,1,0,0,0,0,Alyrata_AL1G12810
AT1G03430,AT3G29350,1,0,0,0,0,Alyrata_AL1G12930
AT1G03495,AT3G29670,2,2,4,10,7,Athaliana_AT1G03940
AT1G03550,AT1G61250,2,0,1,2,2,Esalsugineum_Thhalv10008409m.g
AT1G03620,AT2G44770,2,1,4,2,3,Alyrata_AL1G13120
AT1G03630,AT4G27440,1,0,0,0,0,Alyrata_AL1G13130
AT1G03940,AT3G29670,2,2,4,10,7,Athaliana_AT1G03495
AT1G04110,AT5G51750,7,25,13,21,17,Alyrata_AL1G13710
AT1G04150,AT4G11610,2,2,2,2,2,Alyrata_AL1G13750
AT1G04280,AT1G06750,1,0,0,0,1,Alyrata_AL1G13880
AT1G04580,AT2G27150,1,0,0,0,0,Alyrata_AL1G14260
AT1G04645,AT4G16195,1,0,0,0,0,Alyrata_AL1G14350
AT1G04680,AT3G07010,3,0,0,1,0,Crubella_Carub.0001s0393
AT1G04700,AT1G79570,4,4,5,4,6,Alyrata_AL1G14410
AT1G04770,AT4G20900,2,1,2,1,1,Alyrata_AL1G14480
AT1G04820,AT5G19770,3,2,4,4,3,Esalsugineum_Thhalv10020718m.g
AT1G04880,AT3G13350,1,1,2,1,0,Alyrata_AL1G14600
AT1G04960,AT1G27000,1,1,1,1,1,Alyrata_AL1G14690
AT1G05000,AT3G02800,2,0,2,1,0,Crubella_Carub.0001s0425
AT1G05010,AT1G12010,1,0,2,2,0,Alyrata_AL1G14760
