Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
CsaV3_1G002310,unM,CsaV3_1G005490,unM,wgd,Same,unM-unM
CsaV3_1G002390,unM,CsaV3_1G005540,unM,wgd,Same,unM-unM
CsaV3_1G002470,unM,CsaV3_1G005640,unM,wgd,Same,unM-unM
CsaV3_1G002580,unM,CsaV3_1G005700,unM,wgd,Same,unM-unM
CsaV3_1G002710,gbM,CsaV3_1G005790,gbM,wgd,Same,gbM-gbM
CsaV3_1G002730,gbM,CsaV3_1G005820,gbM,wgd,Same,gbM-gbM
CsaV3_1G002750,unM,CsaV3_1G005870,unM,wgd,Same,unM-unM
CsaV3_1G002820,Unclassified,CsaV3_1G005900,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_1G002860,unM,CsaV3_1G005940,unM,wgd,Same,unM-unM
CsaV3_1G002930,gbM,CsaV3_1G005970,gbM,wgd,Same,gbM-gbM
CsaV3_1G002940,Unclassified,CsaV3_1G005980,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_1G003030,gbM,CsaV3_1G006090,gbM,wgd,Same,gbM-gbM
CsaV3_1G003580,unM,CsaV3_1G006470,unM,wgd,Same,unM-unM
CsaV3_1G003610,unM,CsaV3_1G006490,unM,wgd,Same,unM-unM
CsaV3_1G003770,unM,CsaV3_1G006570,unM,wgd,Same,unM-unM
CsaV3_1G003870,gbM,CsaV3_1G006640,gbM,wgd,Same,gbM-gbM
CsaV3_1G003920,unM,CsaV3_1G006660,unM,wgd,Same,unM-unM
CsaV3_1G004020,Unclassified,CsaV3_1G006930,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_1G004320,gbM,CsaV3_1G007140,gbM,wgd,Same,gbM-gbM
CsaV3_1G002130,gbM,CsaV3_1G007950,gbM,wgd,Same,gbM-gbM
CsaV3_1G002110,unM,CsaV3_1G007970,unM,wgd,Same,unM-unM
CsaV3_1G001970,unM,CsaV3_1G008070,unM,wgd,Same,unM-unM
CsaV3_1G001800,unM,CsaV3_1G008240,unM,wgd,Same,unM-unM
CsaV3_1G001730,unM,CsaV3_1G008280,unM,wgd,Same,unM-unM
CsaV3_1G001650,unM,CsaV3_1G008340,unM,wgd,Same,unM-unM
CsaV3_1G001620,teM,CsaV3_1G008370,teM,wgd,Same,teM-teM
CsaV3_1G001570,gbM,CsaV3_1G008430,gbM,wgd,Same,gbM-gbM
CsaV3_1G001490,unM,CsaV3_1G008460,unM,wgd,Same,unM-unM
CsaV3_1G001330,unM,CsaV3_1G008700,unM,wgd,Same,unM-unM
CsaV3_1G001300,unM,CsaV3_1G008710,unM,wgd,Same,unM-unM
CsaV3_1G001180,unM,CsaV3_1G008780,unM,wgd,Same,unM-unM
CsaV3_1G001120,unM,CsaV3_1G008940,unM,wgd,Same,unM-unM
CsaV3_1G000570,unM,CsaV3_1G009640,unM,wgd,Same,unM-unM
CsaV3_1G000530,unM,CsaV3_1G009720,unM,wgd,Same,unM-unM
CsaV3_1G000430,unM,CsaV3_1G009780,unM,wgd,Same,unM-unM
CsaV3_1G000190,unM,CsaV3_1G009880,unM,wgd,Same,unM-unM
CsaV3_1G041090,unM,CsaV3_2G001140,unM,wgd,Same,unM-unM
CsaV3_1G040860,unM,CsaV3_2G001180,unM,wgd,Same,unM-unM
CsaV3_1G040820,unM,CsaV3_2G001220,unM,wgd,Same,unM-unM
CsaV3_1G040810,unM,CsaV3_2G001270,unM,wgd,Same,unM-unM
CsaV3_1G040690,unM,CsaV3_2G001350,unM,wgd,Same,unM-unM
CsaV3_1G040310,Unclassified,CsaV3_2G001530,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_1G039950,unM,CsaV3_2G001730,unM,wgd,Same,unM-unM
CsaV3_1G039850,unM,CsaV3_2G001830,unM,wgd,Same,unM-unM
CsaV3_1G039830,gbM,CsaV3_2G001860,gbM,wgd,Same,gbM-gbM
CsaV3_1G039810,unM,CsaV3_2G001910,unM,wgd,Same,unM-unM
CsaV3_1G030730,unM,CsaV3_2G002350,unM,wgd,Same,unM-unM
CsaV3_1G030750,unM,CsaV3_2G002400,unM,wgd,Same,unM-unM
CsaV3_1G030850,unM,CsaV3_2G002450,unM,wgd,Same,unM-unM
CsaV3_1G031010,unM,CsaV3_2G002530,unM,wgd,Same,unM-unM
CsaV3_1G029620,gbM,CsaV3_2G002590,gbM,wgd,Same,gbM-gbM
CsaV3_1G029720,gbM,CsaV3_2G002670,gbM,wgd,Same,gbM-gbM
CsaV3_1G029820,unM,CsaV3_2G002710,unM,wgd,Same,unM-unM
CsaV3_1G030010,unM,CsaV3_2G002800,unM,wgd,Same,unM-unM
CsaV3_1G030200,gbM,CsaV3_2G002900,gbM,wgd,Same,gbM-gbM
CsaV3_1G030210,unM,CsaV3_2G002910,unM,wgd,Same,unM-unM
CsaV3_1G030250,gbM,CsaV3_2G002930,gbM,wgd,Same,gbM-gbM
CsaV3_1G030300,unM,CsaV3_2G002950,unM,wgd,Same,unM-unM
CsaV3_1G030340,unM,CsaV3_2G002960,unM,wgd,Same,unM-unM
CsaV3_1G028710,unM,CsaV3_2G003400,unM,wgd,Same,unM-unM
CsaV3_1G028690,gbM,CsaV3_2G003430,gbM,wgd,Same,gbM-gbM
CsaV3_1G028550,gbM,CsaV3_2G003520,gbM,wgd,Same,gbM-gbM
CsaV3_1G028390,gbM,CsaV3_2G003610,gbM,wgd,Same,gbM-gbM
CsaV3_1G028370,unM,CsaV3_2G003620,unM,wgd,Same,unM-unM
CsaV3_1G029080,unM,CsaV3_2G007590,unM,wgd,Same,unM-unM
CsaV3_1G029130,Unclassified,CsaV3_2G007630,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_1G029310,unM,CsaV3_2G007810,unM,wgd,Same,unM-unM
CsaV3_1G029460,unM,CsaV3_2G007890,unM,wgd,Same,unM-unM
CsaV3_1G029490,unM,CsaV3_2G007910,unM,wgd,Same,unM-unM
CsaV3_1G031610,gbM,CsaV3_2G008410,gbM,wgd,Same,gbM-gbM
CsaV3_1G031730,gbM,CsaV3_2G008520,gbM,wgd,Same,gbM-gbM
CsaV3_1G031760,gbM,CsaV3_2G008570,gbM,wgd,Same,gbM-gbM
CsaV3_1G031920,unM,CsaV3_2G008770,unM,wgd,Same,unM-unM
CsaV3_1G031950,unM,CsaV3_2G008820,unM,wgd,Same,unM-unM
CsaV3_2G012120,gbM,CsaV3_3G011350,gbM,wgd,Same,gbM-gbM
CsaV3_2G012230,Unclassified,CsaV3_3G011520,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G012400,unM,CsaV3_3G011620,unM,wgd,Same,unM-unM
CsaV3_2G012430,unM,CsaV3_3G011720,unM,wgd,Same,unM-unM
CsaV3_2G012500,unM,CsaV3_3G011780,unM,wgd,Same,unM-unM
CsaV3_2G012580,unM,CsaV3_3G011820,unM,wgd,Same,unM-unM
CsaV3_2G012700,gbM,CsaV3_3G012010,gbM,wgd,Same,gbM-gbM
CsaV3_2G012750,gbM,CsaV3_3G012040,gbM,wgd,Same,gbM-gbM
CsaV3_2G012790,unM,CsaV3_3G012150,unM,wgd,Same,unM-unM
CsaV3_2G012870,unM,CsaV3_3G012170,unM,wgd,Same,unM-unM
CsaV3_2G012920,unM,CsaV3_3G012230,unM,wgd,Same,unM-unM
CsaV3_2G012970,unM,CsaV3_3G012380,unM,wgd,Same,unM-unM
CsaV3_2G013050,Unclassified,CsaV3_3G012600,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G013070,gbM,CsaV3_3G012620,gbM,wgd,Same,gbM-gbM
CsaV3_2G013210,unM,CsaV3_3G012650,unM,wgd,Same,unM-unM
CsaV3_2G013230,unM,CsaV3_3G012660,unM,wgd,Same,unM-unM
CsaV3_2G013250,unM,CsaV3_3G012720,unM,wgd,Same,unM-unM
CsaV3_2G013270,unM,CsaV3_3G012760,unM,wgd,Same,unM-unM
CsaV3_2G013350,unM,CsaV3_3G012800,unM,wgd,Same,unM-unM
CsaV3_2G013420,unM,CsaV3_3G012930,unM,wgd,Same,unM-unM
CsaV3_2G013510,Unclassified,CsaV3_3G012980,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_3G012010,gbM,CsaV3_3G022090,gbM,wgd,Same,gbM-gbM
CsaV3_3G012100,unM,CsaV3_3G022290,unM,wgd,Same,unM-unM
CsaV3_3G012170,unM,CsaV3_3G022370,unM,wgd,Same,unM-unM
CsaV3_1G000530,unM,CsaV3_3G026970,unM,wgd,Same,unM-unM
CsaV3_1G000730,gbM,CsaV3_3G027270,gbM,wgd,Same,gbM-gbM
CsaV3_1G000880,gbM,CsaV3_3G027410,gbM,wgd,Same,gbM-gbM
CsaV3_3G011720,unM,CsaV3_3G028350,unM,wgd,Same,unM-unM
CsaV3_3G011170,unM,CsaV3_3G028830,unM,wgd,Same,unM-unM
CsaV3_1G001790,unM,CsaV3_3G042040,unM,wgd,Same,unM-unM
CsaV3_1G001700,gbM,CsaV3_3G042090,gbM,wgd,Same,gbM-gbM
CsaV3_1G001610,gbM,CsaV3_3G042240,gbM,wgd,Same,gbM-gbM
CsaV3_1G001590,gbM,CsaV3_3G042380,gbM,wgd,Same,gbM-gbM
CsaV3_2G028280,gbM,CsaV3_3G044580,gbM,wgd,Same,gbM-gbM
CsaV3_2G028290,unM,CsaV3_3G044600,unM,wgd,Same,unM-unM
CsaV3_2G028390,unM,CsaV3_3G044870,unM,wgd,Same,unM-unM
CsaV3_2G028830,unM,CsaV3_3G045320,unM,wgd,Same,unM-unM
CsaV3_2G028930,Unclassified,CsaV3_3G045400,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G029010,unM,CsaV3_3G045480,unM,wgd,Same,unM-unM
CsaV3_2G029160,unM,CsaV3_3G045550,unM,wgd,Same,unM-unM
CsaV3_2G029350,unM,CsaV3_3G045610,unM,wgd,Same,unM-unM
CsaV3_2G029380,gbM,CsaV3_3G045640,gbM,wgd,Same,gbM-gbM
CsaV3_2G029410,unM,CsaV3_3G045750,unM,wgd,Same,unM-unM
CsaV3_2G029500,Unclassified,CsaV3_3G045870,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G029540,unM,CsaV3_3G045890,unM,wgd,Same,unM-unM
CsaV3_2G029590,unM,CsaV3_3G045940,unM,wgd,Same,unM-unM
CsaV3_2G003100,Unclassified,CsaV3_3G046360,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G032070,gbM,CsaV3_3G046430,gbM,wgd,Same,gbM-gbM
CsaV3_2G002870,unM,CsaV3_3G046470,unM,wgd,Same,unM-unM
CsaV3_2G002810,unM,CsaV3_3G046480,unM,wgd,Same,unM-unM
CsaV3_2G032000,unM,CsaV3_3G046480,unM,wgd,Same,unM-unM
CsaV3_2G031740,Unclassified,CsaV3_3G046610,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G031640,unM,CsaV3_3G046660,unM,wgd,Same,unM-unM
CsaV3_2G031580,gbM,CsaV3_3G046800,gbM,wgd,Same,gbM-gbM
CsaV3_2G031480,unM,CsaV3_3G046960,unM,wgd,Same,unM-unM
CsaV3_2G031390,gbM,CsaV3_3G047110,gbM,wgd,Same,gbM-gbM
CsaV3_2G031340,unM,CsaV3_3G047130,unM,wgd,Same,unM-unM
CsaV3_2G031210,Unclassified,CsaV3_3G047270,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G031150,Unclassified,CsaV3_3G047330,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G029700,unM,CsaV3_3G047520,unM,wgd,Same,unM-unM
CsaV3_2G029740,unM,CsaV3_3G047560,unM,wgd,Same,unM-unM
CsaV3_2G029780,unM,CsaV3_3G047600,unM,wgd,Same,unM-unM
CsaV3_2G029820,unM,CsaV3_3G047630,unM,wgd,Same,unM-unM
CsaV3_2G029870,gbM,CsaV3_3G047660,gbM,wgd,Same,gbM-gbM
CsaV3_2G029890,unM,CsaV3_3G047680,unM,wgd,Same,unM-unM
CsaV3_2G029950,unM,CsaV3_3G047780,unM,wgd,Same,unM-unM
CsaV3_2G030350,gbM,CsaV3_3G047940,gbM,wgd,Same,gbM-gbM
CsaV3_2G030340,unM,CsaV3_3G047950,unM,wgd,Same,unM-unM
CsaV3_2G030500,unM,CsaV3_3G048260,unM,wgd,Same,unM-unM
CsaV3_2G030750,unM,CsaV3_3G048530,unM,wgd,Same,unM-unM
CsaV3_2G030880,unM,CsaV3_3G048560,unM,wgd,Same,unM-unM
CsaV3_3G001310,gbM,CsaV3_3G048810,gbM,wgd,Same,gbM-gbM
CsaV3_3G001370,gbM,CsaV3_3G048860,gbM,wgd,Same,gbM-gbM
CsaV3_3G001400,gbM,CsaV3_3G048890,gbM,wgd,Same,gbM-gbM
CsaV3_3G001460,gbM,CsaV3_3G048910,gbM,wgd,Same,gbM-gbM
CsaV3_3G001540,unM,CsaV3_3G048980,unM,wgd,Same,unM-unM
CsaV3_3G001740,unM,CsaV3_3G049190,unM,wgd,Same,unM-unM
CsaV3_3G001810,unM,CsaV3_3G049250,unM,wgd,Same,unM-unM
CsaV3_3G010420,unM,CsaV3_3G049590,unM,wgd,Same,unM-unM
CsaV3_3G002110,unM,CsaV3_3G049650,unM,wgd,Same,unM-unM
CsaV3_3G002120,unM,CsaV3_3G049670,unM,wgd,Same,unM-unM
CsaV3_3G010480,unM,CsaV3_3G049670,unM,wgd,Same,unM-unM
CsaV3_3G002200,gbM,CsaV3_3G049770,gbM,wgd,Same,gbM-gbM
CsaV3_3G002340,gbM,CsaV3_3G049820,gbM,wgd,Same,gbM-gbM
CsaV3_3G002400,gbM,CsaV3_3G049890,gbM,wgd,Same,gbM-gbM
CsaV3_2G026290,gbM,CsaV3_4G000510,gbM,wgd,Same,gbM-gbM
CsaV3_2G031870,unM,CsaV3_4G001340,unM,wgd,Same,unM-unM
CsaV3_2G031890,unM,CsaV3_4G001400,unM,wgd,Same,unM-unM
CsaV3_1G030200,gbM,CsaV3_4G001520,gbM,wgd,Same,gbM-gbM
CsaV3_1G030210,unM,CsaV3_4G001540,unM,wgd,Same,unM-unM
CsaV3_1G030270,unM,CsaV3_4G001570,unM,wgd,Same,unM-unM
CsaV3_2G032100,unM,CsaV3_4G001580,unM,wgd,Same,unM-unM
CsaV3_1G030350,gbM,CsaV3_4G001590,gbM,wgd,Same,gbM-gbM
CsaV3_2G032230,unM,CsaV3_4G001820,unM,wgd,Same,unM-unM
CsaV3_2G032400,unM,CsaV3_4G002030,unM,wgd,Same,unM-unM
CsaV3_3G008630,unM,CsaV3_4G006080,unM,wgd,Same,unM-unM
CsaV3_3G008610,unM,CsaV3_4G006110,unM,wgd,Same,unM-unM
CsaV3_3G008370,gbM,CsaV3_4G006350,gbM,wgd,Same,gbM-gbM
CsaV3_3G008240,gbM,CsaV3_4G006430,gbM,wgd,Same,gbM-gbM
CsaV3_3G008170,unM,CsaV3_4G006480,unM,wgd,Same,unM-unM
CsaV3_3G035470,unM,CsaV3_4G024330,unM,wgd,Same,unM-unM
CsaV3_3G035460,unM,CsaV3_4G024340,unM,wgd,Same,unM-unM
CsaV3_3G035320,unM,CsaV3_4G024450,unM,wgd,Same,unM-unM
CsaV3_3G035290,unM,CsaV3_4G024460,unM,wgd,Same,unM-unM
CsaV3_3G035250,unM,CsaV3_4G024500,unM,wgd,Same,unM-unM
CsaV3_3G035190,unM,CsaV3_4G024610,unM,wgd,Same,unM-unM
CsaV3_3G035140,unM,CsaV3_4G024640,unM,wgd,Same,unM-unM
CsaV3_3G035040,gbM,CsaV3_4G024760,gbM,wgd,Same,gbM-gbM
CsaV3_3G034990,gbM,CsaV3_4G024850,gbM,wgd,Same,gbM-gbM
CsaV3_3G034830,unM,CsaV3_4G025090,unM,wgd,Same,unM-unM
CsaV3_3G034700,unM,CsaV3_4G025190,unM,wgd,Same,unM-unM
CsaV3_3G034680,unM,CsaV3_4G025210,unM,wgd,Same,unM-unM
CsaV3_3G034660,teM,CsaV3_4G025380,teM,wgd,Same,teM-teM
CsaV3_3G034490,unM,CsaV3_4G025530,unM,wgd,Same,unM-unM
CsaV3_3G034470,unM,CsaV3_4G025540,unM,wgd,Same,unM-unM
CsaV3_3G034460,unM,CsaV3_4G025610,unM,wgd,Same,unM-unM
CsaV3_3G034420,unM,CsaV3_4G025740,unM,wgd,Same,unM-unM
CsaV3_3G034310,unM,CsaV3_4G025920,unM,wgd,Same,unM-unM
CsaV3_3G034110,unM,CsaV3_4G026040,unM,wgd,Same,unM-unM
CsaV3_3G034080,unM,CsaV3_4G026060,unM,wgd,Same,unM-unM
CsaV3_3G033820,Unclassified,CsaV3_4G026250,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_3G033700,unM,CsaV3_4G026300,unM,wgd,Same,unM-unM
CsaV3_3G033450,unM,CsaV3_4G026530,unM,wgd,Same,unM-unM
CsaV3_3G033240,unM,CsaV3_4G026970,unM,wgd,Same,unM-unM
CsaV3_3G033200,unM,CsaV3_4G027080,unM,wgd,Same,unM-unM
CsaV3_3G033120,gbM,CsaV3_4G027180,gbM,wgd,Same,gbM-gbM
CsaV3_3G032980,gbM,CsaV3_4G027380,gbM,wgd,Same,gbM-gbM
CsaV3_4G007490,gbM,CsaV3_4G032140,gbM,wgd,Same,gbM-gbM
CsaV3_4G007410,unM,CsaV3_4G032310,unM,wgd,Same,unM-unM
CsaV3_4G007350,unM,CsaV3_4G032320,unM,wgd,Same,unM-unM
CsaV3_4G007310,gbM,CsaV3_4G032340,gbM,wgd,Same,gbM-gbM
CsaV3_4G007280,unM,CsaV3_4G032360,unM,wgd,Same,unM-unM
CsaV3_1G012380,unM,CsaV3_4G033650,unM,wgd,Same,unM-unM
CsaV3_1G012320,gbM,CsaV3_4G033710,gbM,wgd,Same,gbM-gbM
CsaV3_1G012230,gbM,CsaV3_4G033770,gbM,wgd,Same,gbM-gbM
CsaV3_1G012080,gbM,CsaV3_4G033900,gbM,wgd,Same,gbM-gbM
CsaV3_2G028170,unM,CsaV3_4G034040,unM,wgd,Same,unM-unM
CsaV3_2G028090,unM,CsaV3_4G034170,unM,wgd,Same,unM-unM
CsaV3_2G027990,unM,CsaV3_4G034230,unM,wgd,Same,unM-unM
CsaV3_2G027860,unM,CsaV3_4G034260,unM,wgd,Same,unM-unM
CsaV3_2G027780,unM,CsaV3_4G034320,unM,wgd,Same,unM-unM
CsaV3_2G026600,unM,CsaV3_4G034470,unM,wgd,Same,unM-unM
CsaV3_2G026500,unM,CsaV3_4G034640,unM,wgd,Same,unM-unM
CsaV3_2G026460,unM,CsaV3_4G034710,unM,wgd,Same,unM-unM
CsaV3_2G026410,unM,CsaV3_4G034750,unM,wgd,Same,unM-unM
CsaV3_2G026380,unM,CsaV3_4G034780,unM,wgd,Same,unM-unM
CsaV3_2G026360,unM,CsaV3_4G034820,unM,wgd,Same,unM-unM
CsaV3_2G026310,unM,CsaV3_4G034840,unM,wgd,Same,unM-unM
CsaV3_4G000470,unM,CsaV3_4G034900,unM,wgd,Same,unM-unM
CsaV3_4G000420,Unclassified,CsaV3_4G034910,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G026210,unM,CsaV3_4G034970,unM,wgd,Same,unM-unM
CsaV3_4G000380,unM,CsaV3_4G034980,unM,wgd,Same,unM-unM
CsaV3_2G026190,unM,CsaV3_4G034980,unM,wgd,Same,unM-unM
CsaV3_4G000130,unM,CsaV3_4G035130,unM,wgd,Same,unM-unM
CsaV3_2G026020,unM,CsaV3_4G035130,unM,wgd,Same,unM-unM
CsaV3_4G000090,gbM,CsaV3_4G035260,gbM,wgd,Same,gbM-gbM
CsaV3_2G025880,Unclassified,CsaV3_4G035320,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G025810,Unclassified,CsaV3_4G035390,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G025700,unM,CsaV3_4G035460,unM,wgd,Same,unM-unM
CsaV3_2G025520,unM,CsaV3_4G035710,unM,wgd,Same,unM-unM
CsaV3_2G032650,unM,CsaV3_4G036310,unM,wgd,Same,unM-unM
CsaV3_2G032620,unM,CsaV3_4G036340,unM,wgd,Same,unM-unM
CsaV3_2G032440,unM,CsaV3_4G036680,unM,wgd,Same,unM-unM
CsaV3_2G032400,unM,CsaV3_4G036740,unM,wgd,Same,unM-unM
CsaV3_2G032390,unM,CsaV3_4G036760,unM,wgd,Same,unM-unM
CsaV3_2G032380,unM,CsaV3_4G036770,unM,wgd,Same,unM-unM
CsaV3_2G032360,unM,CsaV3_4G036780,unM,wgd,Same,unM-unM
CsaV3_2G032350,unM,CsaV3_4G036790,unM,wgd,Same,unM-unM
CsaV3_2G032330,unM,CsaV3_4G036810,unM,wgd,Same,unM-unM
CsaV3_2G032320,Unclassified,CsaV3_4G036820,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_2G032290,unM,CsaV3_4G036890,unM,wgd,Same,unM-unM
CsaV3_2G032230,unM,CsaV3_4G036960,unM,wgd,Same,unM-unM
CsaV3_3G007730,unM,CsaV3_5G000180,unM,wgd,Same,unM-unM
CsaV3_3G019620,gbM,CsaV3_5G000240,gbM,wgd,Same,gbM-gbM
CsaV3_3G019680,unM,CsaV3_5G000300,unM,wgd,Same,unM-unM
CsaV3_3G019790,unM,CsaV3_5G000440,unM,wgd,Same,unM-unM
CsaV3_3G007950,gbM,CsaV3_5G000450,gbM,wgd,Same,gbM-gbM
CsaV3_3G019830,gbM,CsaV3_5G000480,gbM,wgd,Same,gbM-gbM
CsaV3_3G019940,unM,CsaV3_5G000510,unM,wgd,Same,unM-unM
CsaV3_3G019950,gbM,CsaV3_5G000530,gbM,wgd,Same,gbM-gbM
CsaV3_3G008400,unM,CsaV3_5G000710,unM,wgd,Same,unM-unM
CsaV3_3G008520,unM,CsaV3_5G000930,unM,wgd,Same,unM-unM
CsaV3_3G008610,unM,CsaV3_5G001010,unM,wgd,Same,unM-unM
CsaV3_3G008630,unM,CsaV3_5G001030,unM,wgd,Same,unM-unM
CsaV3_4G006760,unM,CsaV3_5G001900,unM,wgd,Same,unM-unM
CsaV3_4G006560,gbM,CsaV3_5G002040,gbM,wgd,Same,gbM-gbM
CsaV3_4G006510,unM,CsaV3_5G002070,unM,wgd,Same,unM-unM
CsaV3_4G006460,unM,CsaV3_5G002120,unM,wgd,Same,unM-unM
CsaV3_4G006450,unM,CsaV3_5G002130,unM,wgd,Same,unM-unM
CsaV3_4G006370,unM,CsaV3_5G002210,unM,wgd,Same,unM-unM
CsaV3_4G006160,unM,CsaV3_5G002350,unM,wgd,Same,unM-unM
CsaV3_3G008630,unM,CsaV3_5G002420,unM,wgd,Same,unM-unM
CsaV3_4G005880,Unclassified,CsaV3_5G002550,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_3G008780,unM,CsaV3_5G002600,unM,wgd,Same,unM-unM
CsaV3_3G008830,gbM,CsaV3_5G002660,gbM,wgd,Same,gbM-gbM
CsaV3_3G017000,gbM,CsaV3_5G003080,gbM,wgd,Same,gbM-gbM
CsaV3_3G016890,gbM,CsaV3_5G003190,gbM,wgd,Same,gbM-gbM
CsaV3_3G016800,unM,CsaV3_5G003220,unM,wgd,Same,unM-unM
CsaV3_3G016770,unM,CsaV3_5G003240,unM,wgd,Same,unM-unM
CsaV3_3G016760,unM,CsaV3_5G003250,unM,wgd,Same,unM-unM
CsaV3_3G016650,unM,CsaV3_5G003360,unM,wgd,Same,unM-unM
CsaV3_3G016570,unM,CsaV3_5G003420,unM,wgd,Same,unM-unM
CsaV3_3G003390,unM,CsaV3_5G003530,unM,wgd,Same,unM-unM
CsaV3_3G016340,Unclassified,CsaV3_5G003650,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_3G003240,Unclassified,CsaV3_5G003700,Unclassified,wgd,Undetermined,Unclassified-Unclassified
CsaV3_3G003230,unM,CsaV3_5G003720,unM,wgd,Same,unM-unM
CsaV3_3G003150,unM,CsaV3_5G003770,unM,wgd,Same,unM-unM
CsaV3_3G016230,unM,CsaV3_5G003880,unM,wgd,Same,unM-unM
CsaV3_3G016210,unM,CsaV3_5G003890,unM,wgd,Same,unM-unM
CsaV3_3G002980,gbM,CsaV3_5G004040,gbM,wgd,Same,gbM-gbM
CsaV3_3G002970,gbM,CsaV3_5G004050,gbM,wgd,Same,gbM-gbM
CsaV3_3G002660,unM,CsaV3_5G004240,unM,wgd,Same,unM-unM
CsaV3_3G002460,unM,CsaV3_5G004600,unM,wgd,Same,unM-unM
CsaV3_4G004160,unM,CsaV3_5G004850,unM,wgd,Same,unM-unM
CsaV3_4G004210,unM,CsaV3_5G004890,unM,wgd,Same,unM-unM
CsaV3_4G004230,unM,CsaV3_5G004910,unM,wgd,Same,unM-unM
CsaV3_4G004440,gbM,CsaV3_5G005100,gbM,wgd,Same,gbM-gbM
