Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
Thhalv10000014m.g,Thhalv10027006m.g,unM,teM,wgd,Different,unM-teM,0.186078,0.886072,0.210003,6.51809e-67
Thhalv10000036m.g,Thhalv10015659m.g,unM,unM,wgd,Same,unM-unM,0.409244,1.3811,0.296317,5.50319e-45
Thhalv10000041m.g,Thhalv10003635m.g,unM,unM,wgd,Same,unM-unM,0.21121,4.75884,0.0443827,3.22588e-141
Thhalv10000047m.g,Thhalv10003745m.g,unM,unM,wgd,Same,unM-unM,0.337593,1.78607,0.189014,1.86892e-63
Thhalv10000055m.g,Thhalv10003700m.g,unM,unM,wgd,Same,unM-unM,0.260594,3.06291,0.0850806,1.21353e-104
Thhalv10000109m.g,Thhalv10024704m.g,unM,teM,wgd,Different,unM-teM,0.0445078,0.857439,0.0519078,2.50735e-82
Thhalv10000128m.g,Thhalv10004075m.g,unM,unM,wgd,Same,unM-unM,0.272494,4.33707,0.062829,1.07429e-66
Thhalv10000132m.g,Thhalv10004033m.g,unM,unM,wgd,Same,unM-unM,0.143553,1.58633,0.0904939,4.28043e-85
Thhalv10000134m.g,Thhalv10015635m.g,unM,unM,wgd,Same,unM-unM,0.0488548,4.25725,0.0114757,5.54377e-157
Thhalv10000215m.g,Thhalv10004644m.g,unM,unM,wgd,Same,unM-unM,0.438073,1.3646,0.321026,7.27229e-12
Thhalv10000236m.g,Thhalv10004532m.g,unM,unM,wgd,Same,unM-unM,0.270639,1.76969,0.15293,7.24099e-26
Thhalv10000237m.g,Thhalv10004294m.g,unM,unM,wgd,Same,unM-unM,0.0488626,2.5106,0.0194625,2.14264e-98
Thhalv10000259m.g,Thhalv10004645m.g,unM,unM,wgd,Same,unM-unM,0.458003,3.97909,0.115102,2.20388e-26
Thhalv10000305m.g,Thhalv10005369m.g,unM,unM,wgd,Same,unM-unM,0.327581,2.26666,0.144521,2.83782e-25
Thhalv10000314m.g,Thhalv10004873m.g,unM,unM,wgd,Same,unM-unM,0.109385,2.32871,0.0469725,1.42332e-52
Thhalv10000316m.g,Thhalv10014496m.g,unM,unM,wgd,Same,unM-unM,0.206318,1.75363,0.117652,1.30921e-32
