,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Manes.01G004933,wgd,NA,Manes.05G206100,0.151571,0.322137,0.470517,0.00224008
2,Manes.01G005100,wgd,Unmethylated,Manes.05G205800,0.155329,1.30558,0.118973,6.32189e-39
3,Manes.01G005512,wgd,NA,Manes.05G205500,0.0688337,0.373269,0.184408,2.87334e-11
4,Manes.01G006000,wgd,Unclassified,Manes.05G205400,0.0286292,0.345705,0.0828139,1.64333e-18
5,Manes.01G006100,wgd,Unmethylated,Manes.05G205200,0.0120979,0.328252,0.0368555,1.03004e-14
6,Manes.01G006200,wgd,gbM,Manes.05G205100,0.113637,0.365243,0.311127,3.63573e-16
7,Manes.01G006300,wgd,gbM,Manes.05G205000,0.141904,1.00766,0.140825,1.02693e-14
8,Manes.01G007100,wgd,gbM,Manes.05G204500,0.142351,0.318796,0.446525,1.60511e-16
9,Manes.01G007500,wgd,Unmethylated,Manes.05G204400,0.111198,0.435508,0.255329,5.44567e-25
10,Manes.01G007600,wgd,gbM,Manes.05G203900,0.0610506,0.370597,0.164736,2.42881e-38
11,Manes.01G007700,wgd,Unmethylated,Manes.05G203800,0.0701862,0.356727,0.19675,9.91472e-55
12,Manes.01G008000,wgd,gbM,Manes.05G203450,0.0473211,0.307497,0.153891,2.86707e-35
13,Manes.01G011042,wgd,Unmethylated,Manes.14G104100,0.393649,2.10368,0.187124,3.14147e-18
14,Manes.01G011113,wgd,Unmethylated,Manes.14G104200,0.407398,2.46396,0.165343,3.45587e-24
15,Manes.01G011184,wgd,Unmethylated,Manes.05G114600,0.0664677,0.416557,0.159565,2.01666e-21
16,Manes.01G011200,wgd,Unmethylated,Manes.05G112755,0.0761068,0.551526,0.137993,6.70398e-23
17,Manes.01G011255,wgd,NA,Manes.05G118601,0.0858627,0.482287,0.178032,1.86285e-08
18,Manes.01G011400,wgd,Unmethylated,Manes.05G137300,0.074903,0.644636,0.116194,2.37158e-16
19,Manes.01G011500,wgd,Unmethylated,Manes.05G137400,0.079001,0.371822,0.21247,2.28495e-08
20,Manes.01G011800,wgd,Unmethylated,Manes.05G137500,0.0380188,0.338758,0.11223,1.47938e-07
21,Manes.01G012000,wgd,Unmethylated,Manes.05G137600,0.146465,0.416501,0.351656,1.66366e-10
22,Manes.01G012200,wgd,Unmethylated,Manes.14G101900,0.684053,2.97062,0.230273,1.31185e-12
23,Manes.01G012300,wgd,Unmethylated,Manes.14G101600,0.597245,1.59663,0.374067,4.67911e-05
24,Manes.01G012400,wgd,Unmethylated,Manes.05G137800,0.198035,1.04469,0.189564,9.98748e-12
25,Manes.01G012600,wgd,gbM,Manes.14G099700,0.238678,4.47289,0.0533611,5.79328e-100
26,Manes.01G012700,wgd,gbM,Manes.05G138400,0.0264002,0.373888,0.0706099,1.25244e-44
27,Manes.01G012900,wgd,gbM,Manes.05G138800,0.031386,0.271463,0.115618,1.61603e-38
28,Manes.01G013100,wgd,Unmethylated,Manes.14G099400,0.432681,3.45883,0.125095,6.25391e-25
29,Manes.01G013800,wgd,Unmethylated,Manes.06G066400,0.386558,3.7225,0.103844,8.10437e-26
30,Manes.01G014000,wgd,Unmethylated,Manes.05G114900,0.0715275,0.227,0.315099,2.07617e-05
31,Manes.01G014200,wgd,NA,Manes.14G105300,0.358104,4.18368,0.0855955,5.34193e-58
32,Manes.01G014400,wgd,Unmethylated,Manes.14G105400,0.254467,4.19987,0.0605893,4.14218e-61
33,Manes.01G014600,wgd,Unmethylated,Manes.02G070200,0.466895,4.4438,0.105067,4.84806e-60
34,Manes.01G014700,wgd,Unmethylated,Manes.05G132500,0.0425294,0.350045,0.121497,3.11218e-58
35,Manes.01G014800,wgd,Unmethylated,Manes.05G132600,0.0847898,0.419981,0.20189,1.72492e-05
36,Manes.01G014900,wgd,Unmethylated,Manes.02G071200,0.256545,1.53103,0.167563,9.30003e-45
37,Manes.01G015200,wgd,Unmethylated,Manes.05G133000,0.431171,3.31841,0.129933,2.66813e-20
38,Manes.01G015300,wgd,Unmethylated,Manes.05G133100,0.0939938,0.320346,0.293414,8.77276e-12
39,Manes.01G015500,wgd,gbM,Manes.02G071800,0.222915,3.99279,0.0558293,1.75046e-59
40,Manes.01G015800,wgd,gbM,Manes.05G137200,0.0545859,0.36937,0.147781,1.28313e-40
41,Manes.01G016000,wgd,gbM,Manes.14G108800,0.15657,2.9115,0.0537765,2.2677e-50
42,Manes.01G016300,wgd,Unclassified,Manes.05G136800,0.0632242,0.378137,0.167199,3.10289e-19
43,Manes.01G017580,wgd,teM,Manes.05G136947,0.191998,1.83727,0.104501,5.1578e-37
44,Manes.01G017800,wgd,Unmethylated,Manes.05G120300,0.166376,1.28336,0.129641,1.15559e-56
45,Manes.01G017900,wgd,Unmethylated,Manes.05G120600,0.316393,1.8812,0.168187,4.51932e-46
46,Manes.01G018400,wgd,Unmethylated,Manes.05G121300,0.0707043,0.341096,0.207286,6.13063e-18
47,Manes.01G018600,wgd,Unmethylated,Manes.05G121500,0.189453,1.14379,0.165636,5.3378e-30
48,Manes.01G018900,wgd,Unmethylated,Manes.05G121800,0.422299,1.8338,0.230287,1.58516e-16
49,Manes.01G019100,wgd,Unmethylated,Manes.05G122300,0.143332,0.466006,0.307576,3.21403e-14
50,Manes.01G020350,wgd,NA,Manes.06G072200,0.310062,2.57731,0.120304,1.34574e-07
51,Manes.01G020500,wgd,gbM,Manes.06G072500,0.142109,1.70729,0.0832363,1.44618e-63
52,Manes.01G020700,wgd,Unmethylated,Manes.06G072800,0.638611,4.07179,0.156838,1.87516e-20
53,Manes.01G021100,wgd,Unmethylated,Manes.05G118800,0.296824,0.76638,0.387307,0.00315611
54,Manes.01G021300,wgd,Unmethylated,Manes.05G118500,0.157086,0.588639,0.266863,2.44222e-08
55,Manes.01G021400,wgd,Unmethylated,Manes.05G118400,0.0907021,0.756695,0.119866,4.4261e-18
56,Manes.01G021500,wgd,gbM,Manes.05G118000,0.0912411,0.378646,0.240967,7.73743e-07
57,Manes.01G021600,wgd,Unmethylated,Manes.05G117900,0.127872,0.402429,0.31775,2.97606e-07
58,Manes.01G021900,wgd,Unmethylated,Manes.05G117700,0.0925642,0.409132,0.226245,3.38942e-33
59,Manes.01G022000,wgd,Unmethylated,Manes.06G074300,0.234218,2.3429,0.0999692,6.41346e-28
60,Manes.01G022100,wgd,Unclassified,Manes.05G117400,0.0173082,0.269976,0.0641103,1.97905e-11
61,Manes.01G022300,wgd,gbM,Manes.05G117200,0.0433527,0.304345,0.142446,3.74093e-57
62,Manes.01G022400,wgd,Unmethylated,Manes.05G117000,0.19583,0.424614,0.461196,0.00443522
63,Manes.01G022500,wgd,Unmethylated,Manes.05G116800,0.163608,0.386242,0.42359,0.00126856
64,Manes.01G022600,wgd,gbM,Manes.05G116700,0.114578,0.343865,0.333208,9.73083e-12
65,Manes.01G022900,wgd,Unclassified,Manes.05G116600,0.051359,0.311536,0.164857,7.80486e-13
66,Manes.01G023000,wgd,Unmethylated,Manes.05G116400,0.430414,1.45132,0.296566,2.90758e-14
67,Manes.01G023300,wgd,Unmethylated,Manes.05G116200,0.0803615,0.353512,0.227323,5.39592e-10
68,Manes.01G023500,wgd,Unmethylated,Manes.06G076800,0.536229,1.72329,0.311166,3.93444e-15
69,Manes.01G023700,wgd,Unmethylated,Manes.05G116100,0.0333475,0.345999,0.0963803,7.50496e-12
70,Manes.01G024000,wgd,Unmethylated,Manes.05G115900,0.041681,0.357798,0.116493,1.06863e-23
71,Manes.01G024100,wgd,Unmethylated,Manes.02G062700,0.4347,1.89951,0.228848,4.53787e-17
72,Manes.01G024200,wgd,Unmethylated,Manes.02G062300,0.523249,3.14787,0.166223,5.5477e-08
73,Manes.01G024700,wgd,Unmethylated,Manes.05G113000,0.0429868,0.387867,0.110829,2.26555e-31
74,Manes.01G024800,wgd,Unmethylated,Manes.05G112900,0.189635,0.526158,0.360414,0.00488721
75,Manes.01G025000,wgd,gbM,Manes.14G088800,0.467254,4.18255,0.111715,1.02765e-51
76,Manes.01G025500,wgd,Unmethylated,Manes.06G081700,0.32162,1.59971,0.201049,3.06987e-20
77,Manes.01G025600,wgd,Unmethylated,Manes.02G059300,0.269348,1.86187,0.144665,1.31241e-27
78,Manes.01G025700,wgd,Unmethylated,Manes.05G111950,0.103102,0.321371,0.320818,7.1715e-06
79,Manes.01G025900,wgd,Unmethylated,Manes.05G112100,0.0801994,0.246099,0.325883,3.23543e-07
80,Manes.01G026000,wgd,gbM,Manes.05G112200,0.136149,0.3046,0.446976,1.45653e-06
81,Manes.01G026100,wgd,Unmethylated,Manes.05G111000,0.0254561,0.252496,0.100818,5.62651e-11
82,Manes.01G026300,wgd,Unmethylated,Manes.14G088100,0.0601047,1.82091,0.0330081,7.57303e-88
83,Manes.01G026400,wgd,Unmethylated,Manes.02G058400,0.206643,1.90471,0.108491,7.3153e-50
84,Manes.01G026800,wgd,Unclassified,Manes.05G112500,0.0468242,0.294574,0.158956,6.94585e-14
85,Manes.01G026900,wgd,Unclassified,Manes.02G056400,0.26263,0.983785,0.266959,2.25121e-07
86,Manes.01G027100,wgd,Unmethylated,Manes.05G109900,0.0743064,0.433739,0.171316,3.98335e-25
87,Manes.01G027200,wgd,Unmethylated,Manes.05G110000,0.0956791,0.512785,0.186587,1.91575e-22
88,Manes.01G027300,wgd,Unmethylated,Manes.05G110301,0.374278,0.762611,0.490785,2.34037e-06
89,Manes.01G027400,wgd,gbM,Manes.05G110400,0.0556606,0.308483,0.180433,4.45293e-20
90,Manes.01G028000,wgd,Unmethylated,Manes.14G085800,0.626537,2.41739,0.259179,2.61787e-19
91,Manes.01G028300,wgd,Unmethylated,Manes.06G085300,0.403707,3.45757,0.11676,2.60413e-18
92,Manes.01G028600,wgd,Unmethylated,Manes.05G108900,0.0620379,0.605611,0.102439,8.81494e-24
93,Manes.01G028700,wgd,gbM,Manes.05G108800,0.0500058,0.377989,0.132294,1.64768e-37
94,Manes.01G029001,wgd,Unmethylated,Manes.02G053900,0.662635,3.42503,0.193468,2.67077e-10
95,Manes.01G029100,wgd,gbM,Manes.02G053300,0.517431,4.19939,0.123216,8.99306e-31
96,Manes.01G029200,wgd,Unmethylated,Manes.05G108700,0.104092,0.380377,0.273655,2.13376e-14
97,Manes.01G029300,wgd,Unmethylated,Manes.05G108600,0.134394,0.426525,0.315092,9.78637e-10
98,Manes.01G029500,wgd,Unmethylated,Manes.05G108300,0.284686,0.700316,0.406511,0.000126184
99,Manes.01G029800,wgd,Unmethylated,Manes.05G108200,0.0243061,0.262664,0.0925368,5.08958e-21
100,Manes.01G029900,wgd,Unmethylated,Manes.14G083400,0.585612,1.03455,0.566055,0.0043575
101,Manes.01G030200,wgd,gbM,Manes.05G107600,0.0411115,0.306436,0.13416,1.15979e-29
102,Manes.01G030700,wgd,gbM,Manes.05G107500,0.123763,0.373738,0.331148,1.93013e-25
103,Manes.01G030900,wgd,gbM,Manes.02G050200,0.250461,3.83971,0.0652292,7.98549e-67
104,Manes.01G031100,wgd,Unmethylated,Manes.14G082400,0.149051,1.79986,0.0828122,1.27509e-27
