Feature	Duplication
LOC103926522	dispersed
LOC103928270	dispersed
LOC103930736	dispersed
LOC103935520	dispersed
LOC103939011	dispersed
LOC103940453	dispersed
LOC103942047	dispersed
LOC103942981	dispersed
LOC103945633	dispersed
LOC103948804	dispersed
LOC103954241	dispersed
LOC103955232	dispersed
LOC103957344	dispersed
LOC103959061	dispersed
LOC103959296	dispersed
LOC103960063	dispersed
LOC103961805	dispersed
LOC103964722	dispersed
LOC103926529	dispersed
LOC103926587	dispersed
LOC103964780	dispersed
LOC103926534	dispersed
LOC103942725	dispersed
LOC103926544	dispersed
LOC103930886	dispersed
LOC103954885	dispersed
LOC103960062	dispersed
LOC103926560	dispersed
LOC103930142	dispersed
LOC103931906	dispersed
LOC103936742	dispersed
LOC103939257	dispersed
LOC103948793	dispersed
LOC103952257	dispersed
LOC103958266	dispersed
LOC103966885	dispersed
LOC103926568	dispersed
LOC103940077	dispersed
LOC103926571	dispersed
LOC103940279	dispersed
LOC103940691	dispersed
LOC103926576	dispersed
LOC103937501	dispersed
LOC103952891	dispersed
LOC103967501	dispersed
LOC103926582	dispersed
LOC103962738	dispersed
LOC103926602	dispersed
LOC103943279	dispersed
LOC103926605	dispersed
LOC103952546	dispersed
LOC103926607	dispersed
LOC103953410	dispersed
LOC103926609	dispersed
LOC103953409	dispersed
LOC103961074	dispersed
LOC103961250	dispersed
LOC103926619	dispersed
LOC103943931	dispersed
LOC103926621	dispersed
LOC103931807	dispersed
LOC103945795	dispersed
LOC103958322	dispersed
LOC103926623	dispersed
LOC103928089	dispersed
LOC103928215	dispersed
LOC103932256	dispersed
LOC103933170	dispersed
LOC103935927	dispersed
LOC103938115	dispersed
LOC103938669	dispersed
LOC103941923	dispersed
LOC103942836	dispersed
LOC103943714	dispersed
LOC103943722	dispersed
LOC103946538	dispersed
LOC103948879	dispersed
LOC103954789	dispersed
LOC103966222	dispersed
LOC103926669	dispersed
LOC103930899	dispersed
LOC103934905	dispersed
LOC103926717	dispersed
LOC103960388	dispersed
LOC103926768	dispersed
LOC103935775	dispersed
LOC103926769	dispersed
LOC103935773	dispersed
LOC103926783	dispersed
LOC103957743	dispersed
LOC103926826	dispersed
LOC103942016	dispersed
LOC103926841	dispersed
LOC103942017	dispersed
LOC103926896	dispersed
LOC103938203	dispersed
LOC103926919	dispersed
LOC103953529	dispersed
LOC103926999	dispersed
LOC103939926	dispersed
LOC103927010	dispersed
LOC103939930	dispersed
LOC103947418	dispersed
LOC103927026	dispersed
LOC103959774	dispersed
LOC103927058	dispersed
LOC103934725	dispersed
LOC103927061	dispersed
LOC103927355	dispersed
LOC103927112	dispersed
LOC103938429	dispersed
LOC103956534	dispersed
LOC103961809	dispersed
LOC103967142	dispersed
LOC103927128	dispersed
LOC103941187	dispersed
LOC103927135	dispersed
LOC103930420	dispersed
LOC103927136	dispersed
LOC103930423	dispersed
LOC103940584	dispersed
LOC103960640	dispersed
LOC103927151	dispersed
LOC103943926	dispersed
LOC103927249	dispersed
LOC103939476	dispersed
LOC103927260	dispersed
LOC103929119	dispersed
LOC103927327	dispersed
LOC103957084	dispersed
LOC103927348	dispersed
LOC103946592	dispersed
LOC103927353	dispersed
LOC103938145	dispersed
LOC103957665	dispersed
LOC103927371	dispersed
LOC103934751	dispersed
LOC103927384	dispersed
LOC103936978	dispersed
LOC103927434	dispersed
LOC103939946	dispersed
LOC103959475	dispersed
LOC103927446	dispersed
LOC103936040	dispersed
LOC103940489	dispersed
LOC103956177	dispersed
LOC103962405	dispersed
LOC103927546	dispersed
LOC103961808	dispersed
LOC103927550	dispersed
LOC103944641	dispersed
LOC103947003	dispersed
LOC103949213	dispersed
LOC103927587	dispersed
LOC103944771	dispersed
LOC103927658	dispersed
LOC103958258	dispersed
LOC103927671	dispersed
LOC103933045	dispersed
LOC103937240	dispersed
LOC103958487	dispersed
LOC103927676	dispersed
LOC103927925	dispersed
LOC103961411	dispersed
LOC103927756	dispersed
LOC103955300	dispersed
LOC103927771	dispersed
LOC103932361	dispersed
LOC103933966	dispersed
LOC103936680	dispersed
LOC103939788	dispersed
LOC103944597	dispersed
LOC103952302	dispersed
LOC103959302	dispersed
LOC103967421	dispersed
LOC103927786	dispersed
LOC103942049	dispersed
LOC103927859	dispersed
LOC103934320	dispersed
LOC103927899	dispersed
LOC103927918	dispersed
