Feature	Duplication
Manes.01G000400	dispersed
Manes.11G115400	dispersed
Manes.01G000550	dispersed
Manes.02G222800	dispersed
Manes.01G000850	dispersed
Manes.01G002051	dispersed
Manes.01G002350	dispersed
Manes.01G054104	dispersed
Manes.02G161350	dispersed
Manes.03G072500	dispersed
Manes.06G000133	dispersed
Manes.07G069732	dispersed
Manes.08G028701	dispersed
Manes.11G101200	dispersed
Manes.12G112901	dispersed
Manes.13G085501	dispersed
Manes.13G088960	dispersed
Manes.14G142328	dispersed
Manes.17G014801	dispersed
Manes.17G025325	dispersed
Manes.S009250	dispersed
Manes.01G002600	dispersed
Manes.02G002200	dispersed
Manes.01G003100	dispersed
Manes.05G198100	dispersed
Manes.01G003900	dispersed
Manes.13G059700	dispersed
Manes.01G004000	dispersed
Manes.05G203100	dispersed
Manes.01G004200	dispersed
Manes.02G164000	dispersed
Manes.01G005066	dispersed
Manes.03G081900	dispersed
Manes.12G068100	dispersed
Manes.01G008100	dispersed
Manes.05G203600	dispersed
Manes.01G008400	dispersed
Manes.01G017400	dispersed
Manes.01G010971	dispersed
Manes.04G088725	dispersed
Manes.05G195320	dispersed
Manes.09G031250	dispersed
Manes.10G088330	dispersed
Manes.12G012901	dispersed
Manes.16G028050	dispersed
Manes.18G006375	dispersed
Manes.01G012100	dispersed
Manes.01G020000	dispersed
Manes.16G118500	dispersed
Manes.01G013500	dispersed
Manes.06G142500	dispersed
Manes.10G082000	dispersed
Manes.01G014100	dispersed
Manes.S022539	dispersed
Manes.01G014300	dispersed
Manes.03G135801	dispersed
Manes.01G014500	dispersed
Manes.S034100	dispersed
Manes.01G015700	dispersed
Manes.18G108100	dispersed
Manes.01G017101	dispersed
Manes.07G137501	dispersed
Manes.10G008200	dispersed
Manes.01G017151	dispersed
Manes.01G017532	dispersed
Manes.04G009533	dispersed
Manes.06G041228	dispersed
Manes.07G047950	dispersed
Manes.09G084566	dispersed
Manes.11G039864	dispersed
Manes.11G068184	dispersed
Manes.11G099901	dispersed
Manes.12G085502	dispersed
Manes.12G086150	dispersed
Manes.15G162333	dispersed
Manes.16G060033	dispersed
Manes.S022222	dispersed
Manes.S022391	dispersed
Manes.01G018300	dispersed
Manes.12G000200	dispersed
Manes.01G018500	dispersed
Manes.12G000300	dispersed
Manes.01G019700	dispersed
Manes.05G136647	dispersed
Manes.12G000400	dispersed
Manes.01G019900	dispersed
Manes.14G088900	dispersed
Manes.01G020800	dispersed
Manes.12G158000	dispersed
Manes.01G024001	dispersed
Manes.06G027900	dispersed
Manes.11G075250	dispersed
Manes.12G135600	dispersed
Manes.01G024866	dispersed
Manes.01G057601	dispersed
Manes.06G028840	dispersed
Manes.15G143364	dispersed
Manes.17G027133	dispersed
Manes.01G027500	dispersed
Manes.01G192800	dispersed
Manes.12G133100	dispersed
Manes.01G032701	dispersed
Manes.04G054990	dispersed
Manes.05G121347	dispersed
Manes.05G131470	dispersed
Manes.07G100516	dispersed
Manes.S022376	dispersed
Manes.01G033400	dispersed
