Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Phvul.001G026200,unM,Phvul.002G013000,unM,wgd,Same,unM-unM
Phvul.001G024700,unM,Phvul.002G015600,unM,wgd,Same,unM-unM
Phvul.001G023200,unM,Phvul.002G017600,unM,wgd,Same,unM-unM
Phvul.001G022800,unM,Phvul.002G018400,unM,wgd,Same,unM-unM
Phvul.001G022700,unM,Phvul.002G018600,unM,wgd,Same,unM-unM
Phvul.001G017900,unM,Phvul.002G023100,unM,wgd,Same,unM-unM
Phvul.001G017000,unM,Phvul.002G025700,unM,wgd,Same,unM-unM
Phvul.001G016900,unM,Phvul.002G026000,unM,wgd,Same,unM-unM
Phvul.001G016050,unM,Phvul.002G026700,unM,wgd,Same,unM-unM
Phvul.001G015900,unM,Phvul.002G028000,unM,wgd,Same,unM-unM
Phvul.001G152800,unM,Phvul.002G045900,unM,wgd,Same,unM-unM
Phvul.002G083600,unM,Phvul.002G170300,unM,wgd,Same,unM-unM
Phvul.002G083800,unM,Phvul.002G170500,unM,wgd,Same,unM-unM
Phvul.002G084000,unM,Phvul.002G170600,unM,wgd,Same,unM-unM
Phvul.002G084100,unM,Phvul.002G170700,unM,wgd,Same,unM-unM
Phvul.002G085400,unM,Phvul.002G171000,unM,wgd,Same,unM-unM
Phvul.002G085500,unM,Phvul.002G171100,unM,wgd,Same,unM-unM
Phvul.001G260900,unM,Phvul.002G174400,unM,wgd,Same,unM-unM
Phvul.001G260700,unM,Phvul.002G174500,unM,wgd,Same,unM-unM
Phvul.001G260600,unM,Phvul.002G174600,unM,wgd,Same,unM-unM
Phvul.001G260300,unM,Phvul.002G175000,unM,wgd,Same,unM-unM
Phvul.001G259900,unM,Phvul.002G175600,unM,wgd,Same,unM-unM
Phvul.001G259600,gbM,Phvul.002G176100,gbM,wgd,Same,gbM-gbM
Phvul.001G259400,unM,Phvul.002G176201,unM,wgd,Same,unM-unM
Phvul.001G259100,unM,Phvul.002G176500,unM,wgd,Same,unM-unM
Phvul.001G258000,unM,Phvul.002G177100,unM,wgd,Same,unM-unM
Phvul.001G257800,unM,Phvul.002G177300,unM,wgd,Same,unM-unM
Phvul.001G251100,unM,Phvul.002G253900,unM,wgd,Same,unM-unM
Phvul.001G251200,unM,Phvul.002G254500,unM,wgd,Same,unM-unM
Phvul.001G251300,unM,Phvul.002G254600,unM,wgd,Same,unM-unM
Phvul.001G251500,unM,Phvul.002G254800,unM,wgd,Same,unM-unM
Phvul.001G251700,unM,Phvul.002G255300,unM,wgd,Same,unM-unM
Phvul.001G251800,gbM,Phvul.002G255500,gbM,wgd,Same,gbM-gbM
Phvul.001G252000,unM,Phvul.002G255600,unM,wgd,Same,unM-unM
Phvul.001G252100,unM,Phvul.002G255900,unM,wgd,Same,unM-unM
Phvul.001G252400,unM,Phvul.002G256600,unM,wgd,Same,unM-unM
Phvul.001G252500,unM,Phvul.002G256900,unM,wgd,Same,unM-unM
Phvul.001G253101,unM,Phvul.002G257600,unM,wgd,Same,unM-unM
Phvul.001G257600,unM,Phvul.002G257800,unM,wgd,Same,unM-unM
Phvul.001G255800,unM,Phvul.002G259000,unM,wgd,Same,unM-unM
Phvul.001G255500,unM,Phvul.002G259200,unM,wgd,Same,unM-unM
Phvul.001G254800,unM,Phvul.002G260100,unM,wgd,Same,unM-unM
Phvul.001G254650,unM,Phvul.002G260200,unM,wgd,Same,unM-unM
Phvul.001G254500,unM,Phvul.002G260300,unM,wgd,Same,unM-unM
Phvul.001G254300,unM,Phvul.002G260500,unM,wgd,Same,unM-unM
Phvul.001G254000,unM,Phvul.002G260700,unM,wgd,Same,unM-unM
Phvul.001G253900,unM,Phvul.002G260800,unM,wgd,Same,unM-unM
Phvul.001G253400,Unclassified,Phvul.002G261300,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Phvul.001G253300,unM,Phvul.002G261400,unM,wgd,Same,unM-unM
Phvul.001G251000,unM,Phvul.002G261700,unM,wgd,Same,unM-unM
Phvul.001G250500,unM,Phvul.002G262100,unM,wgd,Same,unM-unM
Phvul.001G250300,unM,Phvul.002G262500,unM,wgd,Same,unM-unM
Phvul.001G249600,unM,Phvul.002G263000,unM,wgd,Same,unM-unM
Phvul.001G249500,unM,Phvul.002G263100,unM,wgd,Same,unM-unM
Phvul.001G249300,unM,Phvul.002G263400,unM,wgd,Same,unM-unM
Phvul.002G155100,unM,Phvul.002G286400,unM,wgd,Same,unM-unM
Phvul.002G155700,unM,Phvul.002G287100,unM,wgd,Same,unM-unM
Phvul.002G155800,unM,Phvul.002G287608,unM,wgd,Same,unM-unM
Phvul.002G155900,unM,Phvul.002G287700,unM,wgd,Same,unM-unM
Phvul.002G156100,unM,Phvul.002G287800,unM,wgd,Same,unM-unM
Phvul.002G156600,unM,Phvul.002G287900,unM,wgd,Same,unM-unM
Phvul.002G156700,unM,Phvul.002G288100,unM,wgd,Same,unM-unM
Phvul.002G156800,unM,Phvul.002G288400,unM,wgd,Same,unM-unM
Phvul.002G157300,unM,Phvul.002G288900,unM,wgd,Same,unM-unM
Phvul.002G158200,unM,Phvul.002G290900,unM,wgd,Same,unM-unM
Phvul.002G158300,unM,Phvul.002G291100,unM,wgd,Same,unM-unM
Phvul.002G158500,unM,Phvul.002G291600,unM,wgd,Same,unM-unM
Phvul.002G158600,unM,Phvul.002G291700,unM,wgd,Same,unM-unM
Phvul.002G158800,unM,Phvul.002G291800,unM,wgd,Same,unM-unM
Phvul.002G159000,unM,Phvul.002G292000,unM,wgd,Same,unM-unM
