,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Manes.01G005000,wgd,gbM,Manes.05G206100,0.0908958,0.288513,0.315049,2.13113e-30
2,Manes.01G005100,wgd,Unmethylated,Manes.05G205800,0.155329,1.30558,0.118973,6.32189e-39
3,Manes.01G005512,wgd,NA,Manes.05G205500,0.0688337,0.373269,0.184408,2.87334e-11
4,Manes.01G006000,wgd,Unclassified,Manes.05G205400,0.0286292,0.345705,0.0828139,1.64333e-18
5,Manes.01G006050,wgd,NA,Manes.05G205200,0.106929,0.374564,0.285476,0.00167597
6,Manes.01G006200,wgd,gbM,Manes.05G205100,0.113637,0.365243,0.311127,3.63573e-16
7,Manes.01G006300,wgd,gbM,Manes.05G205000,0.141904,1.00766,0.140825,1.02693e-14
8,Manes.01G007100,wgd,gbM,Manes.05G204500,0.142351,0.318796,0.446525,1.60511e-16
9,Manes.01G007500,wgd,Unclassified,Manes.05G204400,0.111198,0.435508,0.255329,5.44567e-25
10,Manes.01G007600,wgd,gbM,Manes.05G203900,0.0610506,0.370597,0.164736,2.42881e-38
11,Manes.01G007700,wgd,Unclassified,Manes.05G203800,0.0701862,0.356727,0.19675,9.91472e-55
12,Manes.01G008000,wgd,gbM,Manes.05G203450,0.0473211,0.307497,0.153891,2.86707e-35
13,Manes.01G010900,wgd,Unmethylated,Manes.14G103400,0.392566,3.70233,0.106032,2.51624e-32
14,Manes.01G011042,wgd,Unmethylated,Manes.14G104100,0.393649,2.10368,0.187124,3.14147e-18
15,Manes.01G011113,wgd,Unmethylated,Manes.05G114400,0.153512,0.379061,0.40498,6.6612e-06
16,Manes.01G011184,wgd,Unclassified,Manes.05G114600,0.0664677,0.416557,0.159565,2.01666e-21
17,Manes.01G011200,wgd,Unmethylated,Manes.05G112755,0.0761068,0.551526,0.137993,6.70398e-23
18,Manes.01G011400,wgd,Unmethylated,Manes.06G067600,0.312342,3.66147,0.0853051,2.30708e-27
19,Manes.01G011500,wgd,Unmethylated,Manes.05G137400,0.079001,0.371822,0.21247,2.28495e-08
20,Manes.01G011800,wgd,Unmethylated,Manes.05G137500,0.0380188,0.338758,0.11223,1.47938e-07
21,Manes.01G012000,wgd,Unclassified,Manes.14G102400,0.412457,4.17864,0.098706,2.58377e-44
22,Manes.01G012300,wgd,Unmethylated,Manes.05G137750,0.143454,0.365237,0.392771,0.00571968
23,Manes.01G012400,wgd,Unmethylated,Manes.05G137800,0.198035,1.04469,0.189564,9.98748e-12
24,Manes.01G012600,wgd,gbM,Manes.14G099700,0.238678,4.47289,0.0533611,5.79328e-100
25,Manes.01G012700,wgd,gbM,Manes.14G099600,0.0458702,3.24498,0.0141357,2.71376e-139
26,Manes.01G012900,wgd,gbM,Manes.05G138800,0.031386,0.271463,0.115618,1.61603e-38
27,Manes.01G013371,wgd,Unmethylated,Manes.14G099400,0.476163,3.50336,0.135916,5.45917e-21
28,Manes.01G013800,wgd,Unmethylated,Manes.02G069500,0.4412,3.74464,0.117822,8.06383e-29
29,Manes.01G014000,wgd,Unmethylated,Manes.14G104600,0.463938,3.57089,0.129922,5.36638e-41
30,Manes.01G014200,wgd,Unmethylated,Manes.14G105300,0.358104,4.18368,0.0855955,5.34193e-58
31,Manes.01G014300,wgd,Unmethylated,Manes.14G105400,0.367828,4.73217,0.0777293,2.73036e-42
32,Manes.01G014600,wgd,Unmethylated,Manes.05G132350,0.675062,3.80383,0.177469,1.04074e-14
33,Manes.01G014700,wgd,Unclassified,Manes.05G132500,0.0425294,0.350045,0.121497,3.11218e-58
34,Manes.01G014800,wgd,Unmethylated,Manes.05G132600,0.0847898,0.419981,0.20189,1.72492e-05
35,Manes.01G014900,wgd,Unclassified,Manes.02G071200,0.256545,1.53103,0.167563,9.30003e-45
