,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Zm00001d000030,wgd,Unclassified,Zm00001d029973,0.0394849,0.128843,0.306457,3.54154e-07
2,Zm00001d000034,wgd,Unmethylated,Zm00001d029964,0.124392,0.16342,0.761182,0.200579
3,Zm00001d000037,wgd,Unmethylated,Zm00001d029955,0.0355465,0.236676,0.150191,6.34401e-17
4,Zm00001d000038,wgd,Unmethylated,Zm00001d029948,0.0586463,0.3995,0.146799,1.3398e-26
5,Zm00001d000039,wgd,Unclassified,Zm00001d029946,0.0237072,0.329236,0.0720065,3.41921e-52
6,Zm00001d000042,wgd,teM,Zm00001d029938,0.027882,0.11386,0.244879,4.09192e-15
7,Zm00001d001766,wgd,Unmethylated,Zm00001d026665,0.098481,0.572396,0.172051,2.56211e-16
8,Zm00001d001772,wgd,Unmethylated,NA,NA,NA,NA,NA
9,Zm00001d001773,wgd,gbM,Zm00001d026658,0.0823942,0.174653,0.471759,0.00455526
10,Zm00001d001774,wgd,Unmethylated,Zm00001d026657,0.0562034,0.837934,0.0670738,1.8624e-25
11,Zm00001d001780,wgd,teM,Zm00001d026653,0.0183316,0.169337,0.108255,8.43914e-20
12,Zm00001d001784,wgd,Unmethylated,Zm00001d026652,0.0506884,0.39937,0.126921,5.87019e-23
13,Zm00001d001785,wgd,gbM,Zm00001d026650,0.0216995,0.158532,0.136878,6.70397e-32
14,Zm00001d001788,wgd,gbM,Zm00001d026645,0.0612762,0.130558,0.46934,6.25223e-09
15,Zm00001d001790,wgd,teM,Zm00001d026641,0.0535864,0.195166,0.274569,2.22019e-11
16,Zm00001d001797,wgd,Unclassified,Zm00001d026640,0.120611,0.177382,0.679953,0.20031
17,Zm00001d001798,wgd,Unclassified,Zm00001d026639,0.0478339,0.209573,0.228245,6.02237e-10
18,Zm00001d001800,wgd,Unclassified,Zm00001d026636,0.0476477,0.626218,0.0760881,1.36361e-19
19,Zm00001d001811,wgd,Unmethylated,Zm00001d026634,0.185253,0.403802,0.458772,0.0010686
20,Zm00001d001814,wgd,Unmethylated,Zm00001d026630,0.0394982,0.596703,0.0661941,4.79125e-17
21,Zm00001d001819,wgd,Unmethylated,Zm00001d026629,0.0600612,0.180165,0.333367,9.87999e-06
22,Zm00001d001824,wgd,Unmethylated,Zm00001d026628,0.0861957,0.40701,0.211778,1.44811e-07
23,Zm00001d001825,wgd,Unclassified,Zm00001d026627,0.0390899,0.217491,0.179731,5.91042e-25
24,Zm00001d001828,wgd,gbM,Zm00001d026621,0.0519803,0.172892,0.300651,3.04366e-16
25,Zm00001d001829,wgd,Unmethylated,Zm00001d026620,0.0723484,0.563409,0.128412,1.44634e-06
26,Zm00001d001831,wgd,Unmethylated,Zm00001d026619,0.00536571,0.161928,0.0331364,1.91186e-28
27,Zm00001d001839,wgd,Unmethylated,Zm00001d026611,0.159041,0.85093,0.186902,3.23584e-13
28,Zm00001d001841,wgd,gbM,Zm00001d026609,0.0578969,0.295486,0.195938,3.30895e-07
29,Zm00001d001843,wgd,Unmethylated,Zm00001d026608,0.0735118,0.240877,0.305184,5.40401e-05
30,Zm00001d001846,wgd,Unclassified,Zm00001d026607,0.0104747,0.151896,0.0689598,1.33325e-31
31,Zm00001d001855,wgd,gbM,Zm00001d026600,0.0689959,0.431185,0.160014,2.05144e-20
32,Zm00001d001857,wgd,Unmethylated,Zm00001d026599,0.0200257,0.465149,0.0430523,1.6126e-18
33,Zm00001d001862,wgd,Unmethylated,Zm00001d026597,0.0941992,0.361457,0.26061,1.9905e-08
34,Zm00001d001865,wgd,Unclassified,Zm00001d026594,0.0901126,1.23644,0.0728808,7.84445e-19
35,Zm00001d001866,wgd,Unmethylated,Zm00001d026593,0.118938,0.211744,0.561708,0.00695504
36,Zm00001d001879,wgd,Unclassified,Zm00001d026590,0.0375688,0.141435,0.265627,2.37011e-14
37,Zm00001d001880,wgd,Unmethylated,Zm00001d026588,0.069914,0.318992,0.219171,5.15268e-06
38,Zm00001d001883,wgd,Unmethylated,Zm00001d026586,0.166741,2.50363,0.0666,1.68623e-66
39,Zm00001d001884,wgd,teM,Zm00001d026585,0.0251608,0.110004,0.228726,1.28104e-10
40,Zm00001d001895,wgd,Unclassified,Zm00001d026582,0.0445813,0.126574,0.352216,2.37573e-06
41,Zm00001d001898,wgd,gbM,Zm00001d026579,0.0593227,0.140453,0.422368,0.000709659
42,Zm00001d001899,wgd,gbM,Zm00001d026578,0.0140402,0.162195,0.0865638,8.74206e-06
43,Zm00001d001900,wgd,Unmethylated,Zm00001d026577,0.0373652,0.698945,0.0534594,9.01813e-51
44,Zm00001d001901,wgd,Unclassified,Zm00001d026575,0.0396673,0.21978,0.180486,3.78175e-08
45,Zm00001d001902,wgd,Unclassified,Zm00001d026572,0.50887,3.26408,0.1559,2.04301e-13
46,Zm00001d001907,wgd,Unmethylated,Zm00001d026563,0.0653004,0.656484,0.0994699,1.76536e-11
47,Zm00001d001910,wgd,Unclassified,Zm00001d026560,0.136193,0.233828,0.58245,0.0398878
48,Zm00001d001928,wgd,gbM,Zm00001d026548,0.0220448,0.13415,0.164329,8.56546e-31
49,Zm00001d001932,wgd,Unclassified,Zm00001d026543,0.0436907,0.216584,0.201727,4.60698e-11
50,Zm00001d001936,wgd,Unmethylated,Zm00001d026542,0.101984,0.542243,0.188078,3.06743e-19
