,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,AL1G10490,wgd,Unclassified,AL4G44910,0.279468,2.4737,0.112976,8.05265e-76
2,AL1G10510,wgd,Unclassified,AL5G43280,0.103671,3.89594,0.02661,3.60889e-60
3,AL1G10540,wgd,Unmethylated,AL5G43490,0.27149,2.86247,0.0948447,1.26351e-39
4,AL1G10550,wgd,gbM,AL6G52810,0.103347,0.648804,0.159288,8.13898e-83
5,AL1G10560,wgd,Unmethylated,AL4G45010,0.154079,3.51136,0.0438801,6.62767e-71
6,AL1G10640,wgd,Unmethylated,AL6G52950,0.371899,0.593515,0.626604,0.0644557
7,AL1G10650,wgd,gbM,AL6G52960,0.213866,0.604936,0.353536,8.53995e-13
8,AL1G10670,wgd,Unclassified,AL6G53020,0.33388,0.832555,0.40103,2.08716e-10
9,AL1G10690,wgd,Unmethylated,AL5G43670,0.56028,3.82135,0.146618,1.12434e-30
10,AL1G10740,wgd,Unclassified,AL6G53030,0.405202,1.42363,0.284625,1.55527e-07
11,AL1G10760,wgd,Unmethylated,AL6G53040,0.0166679,0.62091,0.0268444,1.49207e-48
12,AL1G10770,wgd,Unmethylated,AL6G53050,0.0487419,1.62862,0.0299283,5.23378e-104
13,AL1G10780,wgd,Unmethylated,AL6G53070,0.0587886,1.07637,0.0546173,7.26973e-80
14,AL1G10800,wgd,Unmethylated,AL6G53190,0.258726,1.18878,0.21764,1.72941e-41
15,AL1G10830,wgd,Unmethylated,AL6G53210,0.269412,1.42643,0.188871,2.99511e-46
16,AL1G10840,wgd,Unmethylated,AL4G45300,0.121535,3.59177,0.033837,6.10317e-79
17,AL1G10850,wgd,Unclassified,AL4G45310,0.274502,4.17283,0.0657832,5.49566e-52
18,AL1G10860,wgd,Unclassified,AL6G52070,0.0649144,1.35115,0.0480439,1.43827e-79
19,AL1G10890,wgd,Unmethylated,AL6G52110,0.232609,0.678886,0.342633,2.69645e-08
20,AL1G10930,wgd,Unmethylated,AL5G43870,0.220603,4.30457,0.0512486,3.93558e-94
21,AL1G10960,wgd,Unmethylated,AL6G52190,0.189824,1.0807,0.175648,1.03889e-31
22,AL1G10980,wgd,Unmethylated,AL6G52250,0.20108,0.800123,0.251311,4.77594e-15
23,AL1G11010,wgd,Unclassified,AL6G52270,0.182503,0.98338,0.185587,1.30226e-37
24,AL1G11020,wgd,Unmethylated,AL6G52280,0.218523,1.67509,0.130454,4.90052e-37
25,AL1G11030,wgd,Unmethylated,AL6G52290,0.1703,1.00783,0.168977,4.9532e-31
26,AL1G11070,wgd,Unmethylated,AL6G52310,0.173685,0.488646,0.355441,0.00847979
27,AL1G11084,wgd,teM,AL5G44170,0.141848,2.09484,0.0677131,1.28534e-36
28,AL1G11100,wgd,gbM,AL6G52380,0.381598,1.57619,0.242101,0.00020944
29,AL1G11110,wgd,Unclassified,AL4G45730,0.225423,4.6016,0.048988,4.28895e-126
30,AL1G11160,wgd,Unmethylated,AL5G44380,0.203718,4.39841,0.0463163,2.27741e-90
31,AL1G11200,wgd,Unclassified,AL4G45930,0.374616,2.84984,0.131452,5.69191e-50
32,AL1G11220,wgd,gbM,AL4G45980,0.453009,2.54543,0.177969,5.57343e-24
33,AL1G11250,wgd,Unmethylated,AL6G52480,0.146253,2.60051,0.0562401,3.26751e-30
34,AL1G11290,wgd,Unmethylated,AL4G46100,0.197735,1.70707,0.115833,3.37639e-74
35,AL1G11330,wgd,Unmethylated,AL6G52600,0.11188,1.18199,0.0946545,6.88825e-12
36,AL1G11340,wgd,Unclassified,AL6G52610,0.174959,1.37351,0.12738,1.08523e-12
37,AL1G11410,wgd,Unmethylated,AL6G52640,0.168361,1.3861,0.121463,5.3018e-53
38,AL1G11420,wgd,Unclassified,AL6G52650,0.051631,0.883922,0.0584112,1.36559e-19
39,AL1G11450,wgd,Unmethylated,AL6G51960,0.169414,2.59763,0.0652185,2.41504e-36
40,AL1G11460,wgd,gbM,AL4G46300,0.510174,4.46791,0.114186,7.02864e-50
41,AL1G11470,wgd,Unclassified,AL4G46320,0.0570979,3.69479,0.0154536,2.13723e-67
42,AL1G11500,wgd,teM,AL6G51880,0.305268,1.76323,0.17313,3.07222e-25
43,AL1G11510,wgd,Unclassified,AL6G51830,0.201114,0.547787,0.367139,7.72717e-08
44,AL1G11630,wgd,Unclassified,AL6G51730,0.134215,2.74981,0.0488089,5.28703e-41
45,AL1G11670,wgd,Unmethylated,AL5G44640,0.199162,1.75036,0.113784,5.14688e-30
46,AL1G11690,wgd,Unmethylated,AL6G51640,0.248492,1.03529,0.240021,0.000109882
47,AL1G11720,wgd,Unmethylated,AL6G51260,0.230205,1.20284,0.191384,2.5759e-23
48,AL1G11730,wgd,Unclassified,AL6G51330,0.180749,0.764063,0.236563,7.05993e-12
49,AL1G11740,wgd,Unmethylated,AL6G51340,0.136528,1.38874,0.0983107,3.64225e-54
50,AL1G11800,wgd,Unmethylated,AL6G51400,0.171722,1.20625,0.14236,5.72926e-44
51,AL1G11810,wgd,Unmethylated,AL6G51410,0.449186,3.79563,0.118343,1.06706e-22
52,AL1G11840,wgd,Unmethylated,AL6G51460,0.015495,0.91685,0.0169003,1.37515e-67
53,AL1G11860,wgd,gbM,AL5G44800,0.171514,2.03944,0.0840985,1.18654e-216
54,AL1G11880,wgd,Unmethylated,AL4G46900,0.493084,2.44186,0.20193,3.091e-17
55,AL1G11900,wgd,Unmethylated,AL4G46920,0.528252,2.15321,0.245332,2.95235e-12
56,AL1G11940,wgd,Unclassified,AL6G51150,0.00477268,0.699267,0.00682525,8.15825e-38
57,AL1G11990,wgd,Unmethylated,AL6G51130,0.186696,1.02184,0.182707,4.17965e-38
58,AL1G12000,wgd,gbM,AL5G45340,0.334901,4.5526,0.0735625,4.95228e-75
59,AL1G12070,wgd,Unmethylated,AL6G51030,0.290319,1.88129,0.154319,2.71933e-10
60,AL1G12090,wgd,Unmethylated,AL5G45410,0.14256,2.57208,0.0554259,8.21488e-71
61,AL1G12130,wgd,gbM,AL6G50930,0.316772,0.857737,0.369312,4.41145e-06
62,AL1G12150,wgd,Unmethylated,AL6G50900,0.0499087,1.25999,0.0396105,3.64226e-26
63,AL1G12170,wgd,Unmethylated,AL6G50840,0.107071,0.964603,0.111,7.00185e-37
64,AL1G12180,wgd,Unmethylated,AL4G47130,0.274567,2.82563,0.0971699,1.39878e-70
65,AL1G12190,wgd,Unmethylated,AL6G50750,0.480697,1.75893,0.27329,5.66697e-07
66,AL1G12210,wgd,Unmethylated,AL6G50740,0.22668,0.541048,0.418966,0.00246734
67,AL1G12240,wgd,gbM,AL6G50640,0.0546773,0.677395,0.0807169,1.92624e-31
68,AL1G12260,wgd,teM,AL5G45500,0.353557,4.23357,0.0835127,3.82275e-53
69,AL1G12290,wgd,gbM,AL6G50610,0.183844,1.18019,0.155775,1.35975e-21
70,AL1G12330,wgd,gbM,AL6G50580,0.0966538,0.641215,0.150735,3.94312e-94
71,AL1G12360,wgd,Unmethylated,AL6G50520,0.171668,0.858986,0.199849,3.79398e-13
72,AL1G12440,wgd,gbM,AL5G45670,0.697021,4.89728,0.142328,2.50308e-54
73,AL1G12460,wgd,Unmethylated,AL4G47440,0.246343,4.55536,0.0540776,1.03251e-123
74,AL1G12470,wgd,Unmethylated,AL4G47450,0.543673,1.42594,0.381272,0.000370016
75,AL1G12490,wgd,Unclassified,AL6G50460,0.0734092,0.774151,0.0948255,4.45371e-37
76,AL1G12500,wgd,Unclassified,AL6G50400,0.167504,1.62872,0.102844,5.1582e-84
77,AL1G12520,wgd,gbM,AL6G50380,0.0944051,0.508698,0.185582,1.86771e-197
78,AL1G12530,wgd,Unmethylated,AL6G50340,0.0909317,1.08115,0.0841064,5.68014e-36
79,AL1G12540,wgd,gbM,AL6G50320,0.195446,0.759297,0.257403,7.5874e-48
80,AL1G12600,wgd,Unmethylated,AL6G50160,0.0457988,0.79354,0.0577145,1.737e-30
81,AL1G12660,wgd,Unmethylated,AL6G50120,0.293256,1.15472,0.253962,3.50854e-10
82,AL1G12710,wgd,gbM,AL6G50090,0.0131131,0.521892,0.0251261,4.98574e-16
83,AL1G12800,wgd,gbM,AL6G50040,0.2487,0.693792,0.358464,4.58169e-14
84,AL1G12850,wgd,gbM,AL6G50010,0.235048,0.647021,0.363277,3.4501e-11
85,AL1G12860,wgd,gbM,AL6G50000,0.0317643,0.723527,0.043902,2.54648e-66
86,AL1G12890,wgd,gbM,AL6G49930,0.182507,0.626105,0.291497,1.37665e-26
87,AL1G12940,wgd,Unmethylated,AL6G49920,0.0815227,1.03676,0.078632,7.76094e-50
88,AL1G12950,wgd,Unmethylated,AL6G49870,0.287762,0.902309,0.318917,1.44924e-26
89,AL1G12960,wgd,gbM,AL6G49840,0.139666,1.0721,0.130273,7.32343e-36
90,AL1G12970,wgd,Unclassified,AL6G49770,0.421302,4.46711,0.094312,1.3863e-05
91,AL1G12980,wgd,Unclassified,AL6G49730,0.0688157,0.780531,0.0881652,1.61146e-39
92,AL1G13030,wgd,gbM,AL6G49580,0.100196,1.28206,0.0781518,2.0252e-54
93,AL1G13090,wgd,Unclassified,AL6G49480,0.118324,0.693578,0.1706,9.0288e-34
94,AL1G13110,wgd,Unclassified,AL6G49450,0.0710247,0.660879,0.10747,1.76304e-26
95,AL1G13160,wgd,Unmethylated,AL6G49420,0.460266,2.11195,0.217934,6.54597e-13
96,AL1G13170,wgd,Unmethylated,AL6G49370,0.112716,0.65151,0.173007,1.31179e-14
97,AL1G13190,wgd,Unmethylated,AL6G49360,0.0951432,0.654389,0.145392,6.36857e-16
98,AL1G13200,wgd,Unmethylated,AL6G49220,0.656403,3.48452,0.188377,6.35265e-10
99,AL1G13270,wgd,Unmethylated,AL6G49180,0.0823523,0.766661,0.107417,4.60996e-21
100,AL1G13280,wgd,gbM,AL8G15700,0.200229,1.20601,0.166025,8.23033e-51
101,AL1G13320,wgd,gbM,AL8G15720,0.214475,0.638584,0.335859,4.6189e-14
102,AL1G13330,wgd,Unmethylated,AL8G15730,0.209733,0.731661,0.286653,8.03287e-10
103,AL1G13350,wgd,Unmethylated,AL8G15750,0.169606,2.89822,0.0585206,3.84934e-44
104,AL1G13370,wgd,Unmethylated,AL7G24130,0.237069,1.76192,0.134551,3.62507e-20
105,AL1G13400,wgd,Unmethylated,AL8G15860,0.141433,1.62787,0.0868823,1.38683e-57
106,AL1G13440,wgd,gbM,AL8G15880,0.0833701,1.32928,0.0627184,1.69523e-42
107,AL1G13450,wgd,Unmethylated,AL8G15890,0.120607,1.21642,0.0991492,5.07315e-32
108,AL1G13460,wgd,Unmethylated,AL8G15910,0.150203,1.43796,0.104455,7.95275e-46
109,AL1G13490,wgd,teM,AL8G15930,0.0791056,0.952768,0.0830271,9.16837e-29
110,AL1G13570,wgd,Unclassified,AL8G15960,0.0752925,0.568211,0.132508,1.16624e-41
111,AL1G13580,wgd,Unmethylated,AL8G15970,0.320751,2.2457,0.142829,2.87734e-20
112,AL1G13592,wgd,Unmethylated,AL8G15980,0.534832,1.48791,0.359451,1.08681e-05
113,AL1G13594,wgd,Unmethylated,AL7G23990,0.402797,3.40743,0.118211,2.36665e-21
114,AL1G13600,wgd,Unmethylated,AL7G23970,0.380518,1.42797,0.266475,3.50373e-48
115,AL1G13610,wgd,Unmethylated,AL8G16010,0.273327,1.03419,0.26429,2.82692e-08
116,AL1G13640,wgd,Unclassified,AL8G16040,0.295269,1.05886,0.278855,3.38554e-15
117,AL1G13650,wgd,Unmethylated,AL8G16060,0.166639,1.62938,0.102271,8.60821e-23
118,AL1G13660,wgd,gbM,AL8G16110,0.27694,1.469,0.188523,2.88114e-39
119,AL1G13670,wgd,Unmethylated,AL8G16140,0.219036,0.962974,0.227458,2.39361e-06
120,AL1G13690,wgd,Unclassified,AL8G16160,0.171889,1.18557,0.144984,6.83644e-42
121,AL1G13700,wgd,Unmethylated,AL7G23900,0.350581,2.59204,0.135253,2.34231e-17
122,AL1G13740,wgd,gbM,AL8G16200,0.135249,0.580057,0.233166,9.77054e-37
123,AL1G13760,wgd,gbM,AL7G23800,0.156966,1.74935,0.0897284,5.17345e-233
124,AL1G13780,wgd,Unmethylated,AL7G23780,0.162353,4.21591,0.0385097,4.58321e-100
125,AL1G13830,wgd,Unclassified,AL8G16560,0.143517,0.668533,0.214674,6.16167e-11
126,AL1G13840,wgd,Unmethylated,AL8G16620,0.135333,0.77623,0.174347,2.91985e-13
127,AL1G13850,wgd,Unmethylated,AL3G37490,0.127765,3.20929,0.039811,1.37789e-28
128,AL1G13900,wgd,gbM,AL8G16740,0.210477,0.720434,0.292153,6.91754e-40
129,AL1G13930,wgd,Unmethylated,AL3G37790,0.343863,1.92551,0.178583,4.82325e-10
130,AL1G13950,wgd,Unmethylated,AL8G16850,0.313724,1.67751,0.187018,5.24857e-17
131,AL1G13960,wgd,Unmethylated,AL8G16880,0.222112,1.29703,0.171247,3.78134e-37
132,AL1G13970,wgd,Unclassified,AL8G16930,0.100987,1.19577,0.0844536,1.73416e-18
133,AL1G14020,wgd,gbM,AL8G17050,0.0171865,0.665212,0.0258362,7.15092e-58
134,AL1G14070,wgd,gbM,AL3G37950,0.113945,2.30822,0.0493648,1.48829e-129
135,AL1G14080,wgd,gbM,AL3G38000,0.163713,2.36617,0.0691893,4.67061e-78
136,AL1G14100,wgd,gbM,AL4G29130,0.231961,1.82867,0.126847,8.74542e-20
137,AL1G14110,wgd,Unmethylated,AL4G29120,0.083299,0.95901,0.0868593,1.4922e-17
138,AL1G14120,wgd,Unmethylated,AL4G29090,0.0843836,1.47265,0.0573003,1.4683e-170
139,AL1G14130,wgd,Unmethylated,AL4G29020,NA,1.33159,8.33757e-16,NA
140,AL1G14140,wgd,Unclassified,AL4G29010,0.36506,1.17882,0.309683,9.77568e-14
