,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Sobic.001G020700,wgd,Unmethylated,Sobic.002G095200,0.390464,0.865501,0.451142,0.000132663
2,Sobic.001G021500,wgd,gbM,Sobic.002G094600,0.0644673,1.53033,0.0421264,2.66136e-182
3,Sobic.001G021900,wgd,Unmethylated,Sobic.002G093300,0.194172,2.10856,0.0920878,3.53738e-51
4,Sobic.001G022100,wgd,gbM,Sobic.002G093000,0.19095,3.24818,0.0587867,3.59981e-23
5,Sobic.001G022200,wgd,Unmethylated,Sobic.002G092600,0.349955,3.06077,0.114335,0
6,Sobic.001G023800,wgd,gbM,Sobic.002G090800,0.263626,0.938411,0.280928,3.42999e-20
7,Sobic.001G025500,wgd,Unmethylated,Sobic.002G090500,0.0853605,2.20109,0.0387809,1.29575e-60
8,Sobic.001G026800,wgd,gbM,Sobic.002G090400,0.127072,1.32956,0.0955748,1.45291e-54
9,Sobic.001G026900,wgd,gbM,Sobic.002G090200,0.0292672,1.02846,0.0284574,7.47522e-38
10,Sobic.001G028400,wgd,gbM,Sobic.002G088700,0.129821,0.769595,0.168688,4.42027e-29
11,Sobic.001G029600,wgd,Unmethylated,Sobic.002G088200,0.254923,1.54015,0.165519,2.32891e-11
12,Sobic.001G030300,wgd,Unclassified,Sobic.002G088100,0.082896,3.07723,0.0269385,2.55812e-18
13,Sobic.001G030500,wgd,Unmethylated,Sobic.002G088000,0.362811,4.02205,0.0902054,1.57656e-61
14,Sobic.001G032800,wgd,gbM,Sobic.001G423100,0.288805,2.29667,0.125749,3.34211e-48
15,Sobic.001G033100,wgd,gbM,Sobic.009G010900,0.12891,3.89172,0.0331241,6.72439e-62
16,Sobic.001G033200,wgd,gbM,Sobic.001G421900,0.399213,4.55669,0.0876102,4.45494e-87
17,Sobic.001G033400,wgd,gbM,Sobic.001G421300,0.226822,4.12347,0.0550075,1.35388e-84
18,Sobic.001G034100,wgd,gbM,Sobic.001G421000,0.372263,4.36986,0.0851889,1.29418e-99
19,Sobic.001G034300,wgd,Unmethylated,Sobic.001G420300,0.421626,2.55245,0.165185,7.53453e-31
