,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,p5.00_sc00001_p0006,wgd,Unmethylated,p5.00_sc00039_p0099,0.120797,0.501713,0.240769,5.71937e-12
2,p5.00_sc00001_p0007,wgd,Unmethylated,p5.00_sc00028_p0028,0.293125,0.867337,0.33796,3.74893e-19
3,p5.00_sc00001_p0012,wgd,Unclassified,p5.00_sc00039_p0102,0.0453911,0.250572,0.18115,5.16905e-21
4,p5.00_sc00001_p0015,wgd,Unclassified,p5.00_sc00028_p0030,0.278653,1.07335,0.25961,5.75623e-10
5,p5.00_sc00001_p0016,wgd,NA,p5.00_sc00028_p0031,0.412792,1.29052,0.319866,1.97864e-07
6,p5.00_sc00001_p0018,wgd,Unmethylated,p5.00_sc00039_p0106,0.0843117,0.341357,0.24699,1.99539e-15
7,p5.00_sc00001_p0019,wgd,NA,p5.00_sc00039_p0108,0.203266,0.609742,0.333364,5.16167e-05
8,p5.00_sc00001_p0020,wgd,Unmethylated,p5.00_sc00028_p0035,0.300702,1.70051,0.176831,2.69145e-21
9,p5.00_sc00001_p0021,wgd,Unmethylated,p5.00_sc00028_p0037,0.0190307,0.469923,0.0404976,2.94851e-39
10,p5.00_sc00001_p0022,wgd,NA,p5.00_sc00039_p0110,0.0695001,2.8487,0.0243971,2.35398e-12
11,p5.00_sc00001_p0025,wgd,Unclassified,p5.00_sc00028_p0041,0.15395,0.905798,0.16996,8.57859e-61
12,p5.00_sc00001_p0027,wgd,Unclassified,p5.00_sc00039_p0112,0.088881,0.245684,0.361769,0.00408732
13,p5.00_sc00001_p0029,wgd,Unmethylated,p5.00_sc00028_p0045,0.230226,1.31148,0.175546,1.11333e-30
14,p5.00_sc00001_p0033,wgd,Unclassified,p5.00_sc00039_p0114,0.14135,0.236639,0.597324,0.0572128
15,p5.00_sc00001_p0038,wgd,Unclassified,p5.00_sc00039_p0115,0.0423291,0.231212,0.183075,4.62327e-49
16,p5.00_sc00001_p0042,wgd,NA,p5.00_sc00039_p0118,0.12726,0.265603,0.479138,0.000442875
17,p5.00_sc00001_p0047,wgd,Unmethylated,p5.00_sc00039_p0121,0.0484772,0.302684,0.160158,7.36023e-17
18,p5.00_sc00001_p0053,wgd,Unmethylated,p5.00_sc00039_p0126,0.0777002,0.389771,0.199348,1.20028e-14
19,p5.00_sc00001_p0058,wgd,Unmethylated,p5.00_sc00039_p0130,0.221577,0.459306,0.482416,1.22582e-07
20,p5.00_sc00001_p0060,wgd,Unclassified,p5.00_sc00028_p0069,0.0143366,0.947476,0.0151313,2.04261e-103
21,p5.00_sc00001_p0062,wgd,Unclassified,p5.00_sc00018_p0177,0.0629219,0.962584,0.0653677,1.25629e-89
22,p5.00_sc00001_p0063,wgd,Unclassified,p5.00_sc00039_p0136,0.00523046,0.259437,0.0201608,4.95984e-34
23,p5.00_sc00001_p0066,wgd,NA,p5.00_sc00039_p0137,0.0920717,0.521923,0.176409,9.30951e-11
24,p5.00_sc00001_p0067,wgd,Unmethylated,p5.00_sc00018_p0173,0.249226,3.31291,0.0752287,1.00494e-40
25,p5.00_sc00001_p0068,wgd,Unclassified,p5.00_sc00039_p0139,0.0421135,0.248528,0.169452,2.18787e-16
26,p5.00_sc00001_p0070,wgd,Unmethylated,p5.00_sc00039_p0141,0.231706,3.73719,0.0620002,2.55794e-53
27,p5.00_sc00001_p0073,wgd,Unmethylated,p5.00_sc00039_p0142,0.0892233,0.255745,0.348876,1.70028e-08
28,p5.00_sc00001_p0074,wgd,teM,p5.00_sc00018_p0167,0.355487,1.69668,0.209519,9.75306e-16
29,p5.00_sc00001_p0075,wgd,Unmethylated,p5.00_sc00039_p0144,0.0620932,0.295522,0.210114,1.10027e-18
30,p5.00_sc00001_p0076,wgd,Unclassified,p5.00_sc00039_p0145,0.045752,0.294628,0.155287,2.07138e-57
31,p5.00_sc00001_p0078,wgd,NA,p5.00_sc00039_p0146,0.0547482,0.608494,0.0899733,9.90573e-15
32,p5.00_sc00001_p0079,wgd,Unclassified,p5.00_sc00018_p0164,0.219864,0.851781,0.258122,3.06919e-25
33,p5.00_sc00001_p0080,wgd,NA,p5.00_sc00028_p0084,0.307107,1.51707,0.202435,3.23703e-17
34,p5.00_sc00001_p0084,wgd,Unmethylated,p5.00_sc00039_p0151,0.235741,1.8761,0.125655,1.35874e-50
35,p5.00_sc00001_p0088,wgd,NA,p5.00_sc00039_p0153,0.136731,1.02452,0.133459,5.07202e-10
36,p5.00_sc00001_p0089,wgd,Unclassified,p5.00_sc00039_p0154,0.073915,0.263632,0.280372,1.09189e-13
37,p5.00_sc00001_p0092,wgd,Unclassified,p5.00_sc00028_p0093,0.336828,1.04818,0.321345,1.53969e-23
38,p5.00_sc00001_p0096,wgd,NA,p5.00_sc00039_p0159,0.0640587,0.258625,0.247689,2.0424e-14
39,p5.00_sc00001_p0097,wgd,Unclassified,p5.00_sc00116_p0032,0.0566513,1.1027,0.0513752,2.14224e-76
40,p5.00_sc00001_p0098,wgd,Unmethylated,p5.00_sc00039_p0162,0.116224,0.31109,0.373602,6.91916e-07
41,p5.00_sc00001_p0099,wgd,Unclassified,p5.00_sc00166_p0062,0.167735,0.716043,0.234252,6.30263e-17
42,p5.00_sc00001_p0100,wgd,Unmethylated,p5.00_sc00116_p0030,0.120674,1.2106,0.0996812,2.8393e-42
43,p5.00_sc00001_p0101,wgd,Unmethylated,p5.00_sc00166_p0066,0.154396,1.42784,0.108133,1.13331e-38
44,p5.00_sc00001_p0105,wgd,Unmethylated,p5.00_sc00039_p0165,0.163632,0.273505,0.598278,0.000364128
45,p5.00_sc00001_p0107,wgd,Unmethylated,p5.00_sc00116_p0024,0.15397,0.731873,0.210378,6.97684e-25
46,p5.00_sc00001_p0108,wgd,Unmethylated,p5.00_sc00116_p0022,0.228769,0.881466,0.259533,9.89782e-14
47,p5.00_sc00001_p0110,wgd,Unmethylated,p5.00_sc00116_p0020,0.123148,1.13941,0.10808,4.11747e-43
48,p5.00_sc00001_p0113,wgd,NA,p5.00_sc00059_p0005,0.0508908,0.66605,0.0764069,1.53744e-13
49,p5.00_sc00001_p0117,wgd,Unclassified,p5.00_sc00059_p0006,0.0937974,1.19411,0.0785503,1.23711e-60
50,p5.00_sc00001_p0120,wgd,NA,p5.00_sc00059_p0007,0.213078,1.0146,0.210012,1.09821e-14
51,p5.00_sc00001_p0122,wgd,NA,p5.00_sc00039_p0173,0.059807,2.7034,0.0221229,2.03178e-29
52,p5.00_sc00001_p0123,wgd,Unmethylated,p5.00_sc00039_p0174,0.0486816,0.28321,0.171892,4.88545e-18
53,p5.00_sc00001_p0124,wgd,NA,p5.00_sc00310_p0006,0.29371,0.736919,0.398566,1.44867e-16
54,p5.00_sc00001_p0127,wgd,NA,p5.00_sc00059_p0009,0.266258,2.33693,0.113935,1.10101e-16
55,p5.00_sc00001_p0128,wgd,NA,p5.00_sc00059_p0011,0.267672,0.886266,0.302022,2.46611e-05
56,p5.00_sc00001_p0129,wgd,Unmethylated,p5.00_sc00116_p0010,0.426961,1.66998,0.255668,1.63891e-12
57,p5.00_sc00001_p0130,wgd,Unmethylated,p5.00_sc00059_p0018,0.0673537,1.47945,0.0455263,3.76485e-21
58,p5.00_sc00001_p0131,wgd,Unmethylated,p5.00_sc00039_p0177,0.081338,0.314905,0.258293,5.77437e-05
59,p5.00_sc00001_p0132,wgd,Unmethylated,p5.00_sc00059_p0026,0.265845,2.15622,0.123292,7.72531e-39
60,p5.00_sc00001_p0133,wgd,gbM,p5.00_sc00059_p0027,0.146881,1.53198,0.0958768,1.30692e-64
61,p5.00_sc00001_p0134,wgd,Unmethylated,p5.00_sc00059_p0030,0.127517,0.639253,0.199478,1.93557e-32
62,p5.00_sc00001_p0136,wgd,Unmethylated,p5.00_sc00059_p0034,0.162872,0.825238,0.197363,1.94075e-23
63,p5.00_sc00001_p0140,wgd,Unmethylated,p5.00_sc00135_p0005,0.0268391,0.424501,0.063225,1.3557e-12
64,p5.00_sc00001_p0141,wgd,Unmethylated,p5.00_sc00059_p0039,0.0554033,1.20371,0.0460272,1.72907e-96
65,p5.00_sc00001_p0144,wgd,Unmethylated,p5.00_sc00135_p0007,0.186422,0.829208,0.224819,1.68781e-09
66,p5.00_sc00001_p0145,wgd,Unmethylated,p5.00_sc00135_p0008,0.161926,0.872182,0.185656,3.94418e-08
67,p5.00_sc00001_p0146,wgd,Unmethylated,p5.00_sc00059_p0044,0.135575,1.33195,0.101787,3.88012e-185
68,p5.00_sc00001_p0148,wgd,Unmethylated,p5.00_sc00135_p0009,0.0996262,0.321631,0.309753,8.59929e-24
69,p5.00_sc00001_p0149,wgd,Unmethylated,p5.00_sc00135_p0010,0.01955,0.24587,0.0795137,6.39663e-40
