Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Lj0g3v0035859,unM,Lj0g3v0038789,unM,wgd,Same,unM-unM
Lj0g3v0034649,teM,Lj0g3v0040049,teM,wgd,Same,teM-teM
Lj0g3v0012259,unM,Lj0g3v0100539,unM,wgd,Same,unM-unM
Lj0g3v0235829,Unclassified,Lj1g3v3407660,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj0g3v0235799,Unclassified,Lj1g3v3407690,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj1g3v3648630,gbM,Lj2g3v0932660,gbM,wgd,Same,gbM-gbM
Lj1g3v3642130,unM,Lj2g3v0949390,unM,wgd,Same,unM-unM
Lj1g3v2942100,gbM,Lj2g3v1034580,gbM,wgd,Same,gbM-gbM
Lj1g3v2975950,gbM,Lj2g3v1058180,gbM,wgd,Same,gbM-gbM
Lj1g3v2979210,Unclassified,Lj2g3v1068470,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj1g3v2980360,Unclassified,Lj2g3v1068630,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj1g3v2982400,gbM,Lj2g3v1068780,gbM,wgd,Same,gbM-gbM
Lj1g3v2996640,gbM,Lj2g3v1069410,gbM,wgd,Same,gbM-gbM
Lj1g3v3007740,gbM,Lj2g3v1079540,gbM,wgd,Same,gbM-gbM
Lj1g3v3024050,unM,Lj2g3v1090790,unM,wgd,Same,unM-unM
Lj1g3v3025190,gbM,Lj2g3v1092890,gbM,wgd,Same,gbM-gbM
Lj1g3v3053750,unM,Lj2g3v1105370,unM,wgd,Same,unM-unM
Lj1g3v3053790,Unclassified,Lj2g3v1105380,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj1g3v3063880,gbM,Lj2g3v1119540,gbM,wgd,Same,gbM-gbM
Lj1g3v3115320,gbM,Lj2g3v1193010,gbM,wgd,Same,gbM-gbM
Lj1g3v3103870,unM,Lj2g3v1196590,unM,wgd,Same,unM-unM
Lj1g3v3103680,gbM,Lj2g3v1196640,gbM,wgd,Same,gbM-gbM
Lj1g3v3091530,gbM,Lj2g3v1200010,gbM,wgd,Same,gbM-gbM
Lj1g3v3089430,gbM,Lj2g3v1203430,gbM,wgd,Same,gbM-gbM
Lj1g3v0426840,Unclassified,Lj2g3v1351570,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj1g3v0416400,unM,Lj2g3v1364760,unM,wgd,Same,unM-unM
Lj1g3v0416300,unM,Lj2g3v1366010,unM,wgd,Same,unM-unM
Lj1g3v0415310,gbM,Lj2g3v1375550,gbM,wgd,Same,gbM-gbM
Lj1g3v2141160,unM,Lj2g3v1707560,unM,wgd,Same,unM-unM
Lj1g3v1721250,gbM,Lj2g3v1968240,gbM,wgd,Same,gbM-gbM
Lj1g3v1781110,unM,Lj2g3v1983980,unM,wgd,Same,unM-unM
Lj1g3v1782140,unM,Lj2g3v1984020,unM,wgd,Same,unM-unM
Lj1g3v0116650,Unclassified,Lj2g3v2124320,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj1g3v3715190,unM,Lj2g3v2135890,unM,wgd,Same,unM-unM
Lj1g3v1787560,Unclassified,Lj3g3v0420610,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj1g3v2570560,gbM,Lj3g3v0461640,gbM,wgd,Same,gbM-gbM
Lj1g3v4699730,unM,Lj3g3v1133730,unM,wgd,Same,unM-unM
Lj1g3v4716210,unM,Lj3g3v1169160,unM,wgd,Same,unM-unM
Lj1g3v4717450,gbM,Lj3g3v1182350,gbM,wgd,Same,gbM-gbM
Lj1g3v4752550,unM,Lj3g3v1282320,unM,wgd,Same,unM-unM
Lj1g3v2372440,unM,Lj3g3v1377980,unM,wgd,Same,unM-unM
Lj1g3v2443940,gbM,Lj3g3v1403990,gbM,wgd,Same,gbM-gbM
Lj1g3v2447100,unM,Lj3g3v1407400,unM,wgd,Same,unM-unM
Lj1g3v2482410,unM,Lj3g3v1407540,unM,wgd,Same,unM-unM
Lj1g3v2523750,unM,Lj3g3v1421820,unM,wgd,Same,unM-unM
Lj3g3v0002100,unM,Lj3g3v2064840,unM,wgd,Same,unM-unM
Lj3g3v0012240,Unclassified,Lj3g3v2074870,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj3g3v0012330,gbM,Lj3g3v2097080,gbM,wgd,Same,gbM-gbM
Lj3g3v0013390,unM,Lj3g3v2128240,unM,wgd,Same,unM-unM
Lj3g3v0014460,unM,Lj3g3v2170490,unM,wgd,Same,unM-unM
Lj3g3v0040880,unM,Lj3g3v2172570,unM,wgd,Same,unM-unM
Lj3g3v0030690,gbM,Lj3g3v2172590,gbM,wgd,Same,gbM-gbM
Lj3g3v0044270,gbM,Lj3g3v2185880,gbM,wgd,Same,gbM-gbM
Lj3g3v0044300,gbM,Lj3g3v2185890,gbM,wgd,Same,gbM-gbM
Lj3g3v0065500,unM,Lj3g3v2188150,unM,wgd,Same,unM-unM
Lj3g3v0065510,unM,Lj3g3v2188180,unM,wgd,Same,unM-unM
Lj3g3v0065560,unM,Lj3g3v2188220,unM,wgd,Same,unM-unM
Lj3g3v0115930,unM,Lj3g3v2225760,unM,wgd,Same,unM-unM
Lj3g3v0115940,Unclassified,Lj3g3v2235770,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj3g3v0126160,gbM,Lj3g3v2236860,gbM,wgd,Same,gbM-gbM
Lj3g3v0139510,unM,Lj3g3v2248240,unM,wgd,Same,unM-unM
Lj3g3v0139570,gbM,Lj3g3v2248290,gbM,wgd,Same,gbM-gbM
Lj3g3v0139610,gbM,Lj3g3v2248300,gbM,wgd,Same,gbM-gbM
Lj3g3v0150720,gbM,Lj3g3v2282430,gbM,wgd,Same,gbM-gbM
Lj3g3v0273570,unM,Lj3g3v2315340,unM,wgd,Same,unM-unM
Lj3g3v0274640,gbM,Lj3g3v2315440,gbM,wgd,Same,gbM-gbM
Lj3g3v0276860,gbM,Lj3g3v2318030,gbM,wgd,Same,gbM-gbM
Lj3g3v0290100,gbM,Lj3g3v2318170,gbM,wgd,Same,gbM-gbM
Lj3g3v0290120,unM,Lj3g3v2318210,unM,wgd,Same,unM-unM
Lj1g3v2659350,unM,Lj3g3v2330780,unM,wgd,Same,unM-unM
Lj1g3v2660400,gbM,Lj3g3v2330870,gbM,wgd,Same,gbM-gbM
Lj1g3v2682520,gbM,Lj3g3v2341090,gbM,wgd,Same,gbM-gbM
Lj1g3v2682530,gbM,Lj3g3v2341100,gbM,wgd,Same,gbM-gbM
Lj1g3v5033380,gbM,Lj3g3v2414300,gbM,wgd,Same,gbM-gbM
Lj1g3v5034540,gbM,Lj3g3v2416350,gbM,wgd,Same,gbM-gbM
Lj1g3v5034560,unM,Lj3g3v2427430,unM,wgd,Same,unM-unM
Lj1g3v0948580,Unclassified,Lj3g3v2437610,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj1g3v5034710,gbM,Lj3g3v2440670,gbM,wgd,Same,gbM-gbM
Lj1g3v5034750,gbM,Lj3g3v2441700,gbM,wgd,Same,gbM-gbM
Lj1g3v5034780,gbM,Lj3g3v2441840,gbM,wgd,Same,gbM-gbM
Lj1g3v5038160,unM,Lj3g3v2477690,unM,wgd,Same,unM-unM
Lj1g3v5038220,gbM,Lj3g3v2477780,gbM,wgd,Same,gbM-gbM
Lj1g3v5048260,unM,Lj3g3v2478840,unM,wgd,Same,unM-unM
Lj1g3v5060370,unM,Lj3g3v2479890,unM,wgd,Same,unM-unM
Lj1g3v1062540,unM,Lj3g3v2484120,unM,wgd,Same,unM-unM
Lj1g3v5060550,unM,Lj3g3v2515210,unM,wgd,Same,unM-unM
Lj1g3v1076690,gbM,Lj3g3v2517630,gbM,wgd,Same,gbM-gbM
Lj1g3v1079690,unM,Lj3g3v2517870,unM,wgd,Same,unM-unM
Lj1g3v5061290,gbM,Lj3g3v2532330,gbM,wgd,Same,gbM-gbM
Lj1g3v5061300,gbM,Lj3g3v2532340,gbM,wgd,Same,gbM-gbM
Lj1g3v5062530,unM,Lj3g3v2575560,unM,wgd,Same,unM-unM
Lj3g3v0338980,gbM,Lj3g3v2655630,gbM,wgd,Same,gbM-gbM
Lj3g3v0338970,gbM,Lj3g3v2657800,gbM,wgd,Same,gbM-gbM
Lj3g3v0323390,gbM,Lj3g3v2664380,gbM,wgd,Same,gbM-gbM
Lj3g3v0310070,gbM,Lj3g3v2692990,gbM,wgd,Same,gbM-gbM
Lj3g3v0304800,unM,Lj3g3v2693300,unM,wgd,Same,unM-unM
Lj3g3v2742940,unM,Lj3g3v2875880,unM,wgd,Same,unM-unM
Lj3g3v1313780,unM,Lj3g3v2920960,unM,wgd,Same,unM-unM
Lj3g3v1297010,unM,Lj3g3v2925250,unM,wgd,Same,unM-unM
Lj3g3v1296980,unM,Lj3g3v2926290,unM,wgd,Same,unM-unM
Lj3g3v1295890,unM,Lj3g3v2926340,unM,wgd,Same,unM-unM
Lj3g3v1294420,gbM,Lj3g3v2928410,gbM,wgd,Same,gbM-gbM
Lj3g3v1293360,unM,Lj3g3v2928440,unM,wgd,Same,unM-unM
Lj3g3v1282320,unM,Lj3g3v2938470,unM,wgd,Same,unM-unM
Lj3g3v1272300,unM,Lj3g3v2938490,unM,wgd,Same,unM-unM
Lj1g3v4724810,gbM,Lj3g3v2982850,gbM,wgd,Same,gbM-gbM
Lj3g3v1193480,unM,Lj3g3v2991330,unM,wgd,Same,unM-unM
Lj3g3v1182300,unM,Lj3g3v2994490,unM,wgd,Same,unM-unM
Lj3g3v1149140,Unclassified,Lj3g3v2995710,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Lj3g3v1147060,unM,Lj3g3v2995730,unM,wgd,Same,unM-unM
Lj3g3v1132540,teM,Lj3g3v3006270,teM,wgd,Same,teM-teM
Lj3g3v1126820,unM,Lj3g3v3016730,unM,wgd,Same,unM-unM
Lj3g3v1113160,unM,Lj3g3v3054430,unM,wgd,Same,unM-unM
Lj3g3v1088370,unM,Lj3g3v3083410,unM,wgd,Same,unM-unM
Lj3g3v1074990,gbM,Lj3g3v3085530,gbM,wgd,Same,gbM-gbM
Lj3g3v1074930,gbM,Lj3g3v3085550,gbM,wgd,Same,gbM-gbM
Lj1g3v3207800,unM,Lj3g3v3155110,unM,wgd,Same,unM-unM
Lj1g3v3231370,unM,Lj3g3v3200820,unM,wgd,Same,unM-unM
Lj3g3v1664580,gbM,Lj3g3v3211110,gbM,wgd,Same,gbM-gbM
Lj3g3v1680410,gbM,Lj3g3v3235420,gbM,wgd,Same,gbM-gbM
