Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Manes.02G009300,Unclassified,Manes.01G047800,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Manes.02G009500,unM,Manes.01G048900,unM,wgd,Same,unM-unM
Manes.01G078000,unM,Manes.01G078700,unM,wgd,Same,unM-unM
Manes.01G066200,gbM,Manes.01G261500,gbM,wgd,Same,gbM-gbM
Manes.01G066600,unM,Manes.01G261700,unM,wgd,Same,unM-unM
Manes.01G070800,unM,Manes.01G264700,unM,wgd,Same,unM-unM
Manes.01G071300,unM,Manes.01G264900,unM,wgd,Same,unM-unM
Manes.01G074000,unM,Manes.01G266700,unM,wgd,Same,unM-unM
Manes.01G083500,unM,Manes.01G271400,unM,wgd,Same,unM-unM
Manes.01G056200,unM,Manes.02G002300,unM,wgd,Same,unM-unM
Manes.01G056204,unM,Manes.02G002900,unM,wgd,Same,unM-unM
Manes.01G051700,Unclassified,Manes.02G003100,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Manes.01G051800,unM,Manes.02G003200,unM,wgd,Same,unM-unM
Manes.01G052100,gbM,Manes.02G003800,gbM,wgd,Same,gbM-gbM
Manes.01G037000,unM,Manes.02G004100,unM,wgd,Same,unM-unM
Manes.01G036800,unM,Manes.02G004200,unM,wgd,Same,unM-unM
Manes.01G052104,unM,Manes.02G004300,unM,wgd,Same,unM-unM
Manes.01G052108,unM,Manes.02G004500,unM,wgd,Same,unM-unM
Manes.01G243800,unM,Manes.02G004700,unM,wgd,Same,unM-unM
Manes.01G053700,unM,Manes.02G005300,unM,wgd,Same,unM-unM
Manes.01G053600,unM,Manes.02G005400,unM,wgd,Same,unM-unM
Manes.01G053400,unM,Manes.02G005600,unM,wgd,Same,unM-unM
Manes.01G053300,unM,Manes.02G006000,unM,wgd,Same,unM-unM
Manes.01G053200,unM,Manes.02G006500,unM,wgd,Same,unM-unM
Manes.01G244400,unM,Manes.02G006500,unM,wgd,Same,unM-unM
Manes.01G053100,unM,Manes.02G006600,unM,wgd,Same,unM-unM
Manes.01G053000,unM,Manes.02G006700,unM,wgd,Same,unM-unM
Manes.01G052600,unM,Manes.02G007100,unM,wgd,Same,unM-unM
Manes.01G052500,unM,Manes.02G007800,unM,wgd,Same,unM-unM
Manes.01G052400,unM,Manes.02G008400,unM,wgd,Same,unM-unM
Manes.01G246300,unM,Manes.02G008900,unM,wgd,Same,unM-unM
Manes.01G049800,unM,Manes.02G009100,unM,wgd,Same,unM-unM
Manes.01G049700,gbM,Manes.02G009200,gbM,wgd,Same,gbM-gbM
Manes.01G246800,unM,Manes.02G010200,unM,wgd,Same,unM-unM
Manes.01G047200,unM,Manes.02G011500,unM,wgd,Same,unM-unM
Manes.01G045300,unM,Manes.02G011900,unM,wgd,Same,unM-unM
Manes.01G045900,gbM,Manes.02G012600,gbM,wgd,Same,gbM-gbM
Manes.01G048600,unM,Manes.02G013000,unM,wgd,Same,unM-unM
Manes.01G046200,unM,Manes.02G013200,unM,wgd,Same,unM-unM
Manes.01G249100,unM,Manes.02G013300,unM,wgd,Same,unM-unM
Manes.01G045560,unM,Manes.02G013400,unM,wgd,Same,unM-unM
Manes.01G050466,unM,Manes.02G014300,unM,wgd,Same,unM-unM
Manes.01G050700,unM,Manes.02G014500,unM,wgd,Same,unM-unM
Manes.01G050900,Unclassified,Manes.02G015100,Unclassified,wgd,Undetermined,Unclassified-Unclassified
