,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Thhalv10000014m.g,wgd,Unmethylated,Thhalv10027006m.g,0.186078,0.886072,0.210003,6.51809e-67
2,Thhalv10000016m.g,wgd,Unmethylated,Thhalv10024240m.g,0.0396688,0.877527,0.0452052,2.3532e-178
3,Thhalv10000024m.g,wgd,Unmethylated,Thhalv10024289m.g,0.0842833,0.704883,0.119571,1.98897e-90
4,Thhalv10000029m.g,wgd,Unmethylated,Thhalv10024301m.g,0.0270848,0.776327,0.0348885,2.19726e-168
5,Thhalv10000036m.g,wgd,Unmethylated,Thhalv10015659m.g,0.409244,1.3811,0.296317,5.50319e-45
6,Thhalv10000041m.g,wgd,Unmethylated,Thhalv10003635m.g,0.21121,4.75884,0.0443827,3.22588e-141
7,Thhalv10000042m.g,wgd,Unmethylated,Thhalv10024369m.g,0.074055,0.916718,0.0807827,1.20876e-102
8,Thhalv10000043m.g,wgd,Unmethylated,Thhalv10024409m.g,0.12133,0.737914,0.164424,4.97602e-63
9,Thhalv10000046m.g,wgd,Unmethylated,Thhalv10024448m.g,0.204517,1.05899,0.193124,7.13697e-54
10,Thhalv10000047m.g,wgd,Unmethylated,Thhalv10003745m.g,0.337593,1.78607,0.189014,1.86892e-63
11,Thhalv10000048m.g,wgd,Unmethylated,Thhalv10024425m.g,0.0454761,0.587867,0.0773579,1.31973e-87
12,Thhalv10000049m.g,wgd,Unmethylated,Thhalv10024415m.g,0.10925,0.643564,0.169758,1.32462e-56
13,Thhalv10000050m.g,wgd,Unmethylated,Thhalv10024482m.g,0.185356,0.81818,0.226547,7.1097e-41
14,Thhalv10000055m.g,wgd,Unmethylated,Thhalv10024484m.g,0.156112,0.918909,0.169889,1.61208e-61
15,Thhalv10000057m.g,wgd,Unmethylated,Thhalv10024479m.g,0.0998979,0.984351,0.101486,1.14186e-63
16,Thhalv10000059m.g,wgd,Unmethylated,Thhalv10024520m.g,0.0815249,0.969877,0.084057,5.3637e-98
17,Thhalv10000061m.g,wgd,Unmethylated,Thhalv10027018m.g,0.155507,1.02376,0.151897,2.58411e-46
18,Thhalv10000072m.g,wgd,Unmethylated,Thhalv10024837m.g,0.370708,1.22258,0.303218,3.42897e-17
19,Thhalv10000073m.g,wgd,Unmethylated,Thhalv10024573m.g,0.0525374,0.933451,0.056283,2.60083e-71
