,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Bradi1g00219,wgd,gbM,Bradi4g09237,0.0890142,0.381366,0.233409,6.68748e-11
2,Bradi1g00222,wgd,Unclassified,Bradi4g09240,0.0539283,0.0952337,0.566273,0.216252
3,Bradi1g00234,wgd,Unclassified,Bradi4g09247,0.219664,0.660039,0.332805,3.54329e-29
4,Bradi1g00247,wgd,Unclassified,Bradi4g09320,0.0319914,0.203255,0.157396,3.13195e-07
5,Bradi1g00266,wgd,gbM,Bradi4g09457,0.0265171,0.131183,0.202138,3.182e-07
6,Bradi1g00278,wgd,Unclassified,Bradi4g09631,0.0810384,0.197205,0.410934,4.4711e-12
7,Bradi1g00284,wgd,Unclassified,Bradi4g09637,0.184489,0.198173,0.93095,0.85356
8,Bradi1g00510,wgd,gbM,Bradi1g28650,0.174145,0.888223,0.19606,2.45478e-24
9,Bradi1g00517,wgd,gbM,Bradi1g28670,0.657099,4.38162,0.149967,8.04352e-40
10,Bradi1g00552,wgd,Unmethylated,Bradi1g28760,0.199603,3.538,0.0564168,0
11,Bradi1g00560,wgd,gbM,Bradi1g28840,0.193993,0.801051,0.242172,7.97976e-44
12,Bradi1g00580,wgd,gbM,Bradi1g28950,0.234637,1.33966,0.175146,7.61413e-77
13,Bradi1g00587,wgd,Unmethylated,Bradi1g28967,0.177149,3.91264,0.0452762,2.24331e-79
14,Bradi1g00654,wgd,Unmethylated,Bradi1g29097,0.438689,4.09557,0.107113,2.85357e-33
15,Bradi1g01930,wgd,gbM,Bradi1g52760,0.134797,0.993675,0.135655,1.83848e-45
16,Bradi1g02090,wgd,Unclassified,Bradi1g53000,0.200264,3.83903,0.0521653,1.30143e-71
17,Bradi1g02130,wgd,gbM,Bradi1g53040,0.280056,1.16952,0.239461,1.2094e-15
18,Bradi1g02170,wgd,Unclassified,Bradi1g53070,0.0688634,0.945459,0.072836,4.30343e-39
19,Bradi1g02260,wgd,Unclassified,Bradi1g53120,0.21187,1.50782,0.140514,6.60977e-37
20,Bradi1g02460,wgd,Unclassified,Bradi1g53182,0.300156,0.849981,0.353132,6.92953e-07
21,Bradi1g02510,wgd,gbM,Bradi1g53207,0.0613768,0.849805,0.0722246,5.84561e-136
22,Bradi1g02590,wgd,gbM,Bradi1g53230,0.16327,1.05686,0.154486,8.27896e-16
23,Bradi1g02720,wgd,gbM,Bradi1g53430,0.119636,1.51238,0.0791042,2.54073e-61
24,Bradi1g03590,wgd,gbM,Bradi1g66800,0.283425,1.6625,0.170481,8.56508e-36
25,Bradi1g03620,wgd,Unclassified,Bradi2g54670,0.438727,4.53858,0.0966661,2.14938e-61
26,Bradi1g03650,wgd,gbM,Bradi1g66660,0.229357,4.12669,0.0555788,4.23637e-84
27,Bradi1g03690,wgd,Unclassified,Bradi1g66650,0.362855,4.20164,0.0863603,2.36485e-107
