,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Pahal.1G002800,wgd,Unmethylated,Pahal.4G354300,0.633817,3.25319,0.194829,0
2,Pahal.1G003000,wgd,Unmethylated,Pahal.4G355100,0.326851,3.98987,0.0819204,4.29793e-53
3,Pahal.1G003100,wgd,Unclassified,Pahal.4G355200,0.00810397,1.96528,0.00412357,1.86393e-49
4,Pahal.1G004100,wgd,gbM,Pahal.4G356200,0.270261,1.04771,0.257953,4.66048e-67
5,Pahal.1G004500,wgd,Unclassified,Pahal.4G356900,0.202473,4.41125,0.0458992,9.36926e-46
6,Pahal.1G006300,wgd,Unmethylated,Pahal.4G358500,0.275331,1.32882,0.2072,8.90667e-20
7,Pahal.1G006900,wgd,gbM,Pahal.4G359400,0.495923,1.90021,0.260983,3.47615e-49
8,Pahal.1G028000,wgd,gbM,Pahal.4G020600,0.156414,1.73801,0.0899961,8.86055e-58
9,Pahal.1G028200,wgd,Unclassified,Pahal.4G020900,0.17453,3.62864,0.0480979,4.30351e-69
10,Pahal.1G028600,wgd,Unmethylated,Pahal.4G021300,0.579439,1.54723,0.3745,4.19919e-06
11,Pahal.1G029100,wgd,gbM,Pahal.4G021700,0.221545,1.43022,0.154904,1.97521e-22
12,Pahal.1G029700,wgd,gbM,Pahal.4G022100,0.22565,2.17726,0.10364,1.92469e-72
13,Pahal.1G030000,wgd,Unclassified,Pahal.4G022200,0.122562,0.982067,0.1248,3.056e-67
14,Pahal.1G030400,wgd,Unmethylated,Pahal.4G022400,0.26004,1.87142,0.138953,1.26524e-51
15,Pahal.1G030700,wgd,Unmethylated,Pahal.4G022600,0.210513,2.83011,0.0743834,0
16,Pahal.1G031000,wgd,Unmethylated,Pahal.4G022800,0.235276,2.3728,0.0991555,1.95719e-41
17,Pahal.1G031100,wgd,Unclassified,Pahal.4G022900,0.104924,0.764745,0.137201,7.94807e-20
18,Pahal.1G032200,wgd,Unmethylated,Pahal.4G023400,0.263859,2.28301,0.115575,7.08812e-20
19,Pahal.1G032300,wgd,gbM,Pahal.4G023500,0.151522,0.978469,0.154856,4.76037e-98
20,Pahal.1G032400,wgd,gbM,Pahal.4G023700,0.115446,0.719076,0.160547,1.36438e-80
21,Pahal.1G032700,wgd,gbM,Pahal.4G024300,0.263972,0.911172,0.289706,1.82918e-41
22,Pahal.1G032800,wgd,Unmethylated,NA,NA,NA,NA,NA
23,Pahal.1G033300,wgd,gbM,Pahal.4G025200,0.00926811,1.02386,0.00905214,4.18833e-91
24,Pahal.1G034500,wgd,Unmethylated,Pahal.4G026200,0.270234,1.47548,0.183151,5.57545e-32
25,Pahal.1G034700,wgd,gbM,Pahal.4G026600,0.030102,1.58955,0.0189375,6.66226e-83
26,Pahal.1G035300,wgd,Unclassified,Pahal.4G027100,0.283339,0.925971,0.305992,2.09586e-27
27,Pahal.1G035500,wgd,Unclassified,Pahal.4G027600,0.163532,1.79423,0.0911436,1.1633e-83
28,Pahal.1G035800,wgd,Unmethylated,Pahal.4G028300,0.430192,3.36219,0.12795,0
29,Pahal.1G036100,wgd,Unmethylated,Pahal.4G029900,0.526178,2.31881,0.226918,2.12134e-18
30,Pahal.1G036300,wgd,gbM,Pahal.4G030000,0.36948,1.62843,0.226893,6.7715e-24
31,Pahal.1G036600,wgd,gbM,Pahal.4G032400,0.105897,0.970408,0.109126,4.1337e-34
32,Pahal.1G037800,wgd,gbM,Pahal.4G033200,0.186705,1.07595,0.173527,2.27387e-43
33,Pahal.1G040400,wgd,Unclassified,Pahal.4G033400,0.341455,1.3893,0.245775,2.6666e-34
34,Pahal.1G042000,wgd,Unclassified,Pahal.4G035800,0.0706322,1.30805,0.0539981,5.23731e-86
35,Pahal.1G042100,wgd,gbM,Pahal.4G036100,0.0223102,0.740495,0.0301288,6.5584e-94
36,Pahal.1G042700,wgd,Unmethylated,Pahal.4G036400,0.163997,1.74525,0.0939678,5.61439e-23
37,Pahal.1G042900,wgd,Unclassified,Pahal.4G036700,0.101229,1.39716,0.0724532,2.25875e-86
38,Pahal.1G043300,wgd,gbM,Pahal.4G036800,0.418433,1.1182,0.374202,2.23952e-16
39,Pahal.1G043400,wgd,Unmethylated,Pahal.4G036900,0.218359,4.78447,0.0456392,3.32458e-10
40,Pahal.1G044100,wgd,Unclassified,Pahal.4G038800,0.466506,1.80015,0.259148,1.82104e-19
41,Pahal.1G044800,wgd,Unmethylated,Pahal.4G039900,0.238948,1.74285,0.137102,2.12129e-10
42,Pahal.1G045300,wgd,Unmethylated,Pahal.4G041400,0.20379,3.45002,0.0590691,1.76363e-41
43,Pahal.1G045400,wgd,gbM,Pahal.4G041600,0.00992255,2.77755,0.00357242,1.61951e-113
44,Pahal.1G045900,wgd,Unmethylated,Pahal.4G041800,0.34456,1.49994,0.229716,1.43283e-07
45,Pahal.1G046000,wgd,Unmethylated,Pahal.4G041900,0.292977,1.76636,0.165865,1.59656e-20
46,Pahal.1G046200,wgd,gbM,Pahal.4G042000,0.0203085,0.695261,0.0292099,3.84401e-24
47,Pahal.1G047000,wgd,Unmethylated,Pahal.4G044100,0.20685,1.96015,0.105528,1.3796e-13
48,Pahal.1G047400,wgd,gbM,Pahal.4G045000,0.107198,1.2021,0.0891758,1.24011e-86
49,Pahal.1G047500,wgd,gbM,Pahal.4G046100,0.174086,1.56793,0.111029,1.54934e-41
50,Pahal.1G047600,wgd,Unmethylated,Pahal.4G046500,0.181924,2.20938,0.0823416,1.93164e-35
51,Pahal.1G048100,wgd,Unmethylated,Pahal.4G049000,0.127944,1.16161,0.110144,2.32131e-25
52,Pahal.1G048600,wgd,Unclassified,Pahal.4G049100,0.00782249,1.95063,0.00401023,1.93868e-119
53,Pahal.1G048900,wgd,Unmethylated,Pahal.4G049400,0.429536,2.70963,0.158522,7.91496e-17
54,Pahal.1G049600,wgd,Unclassified,Pahal.4G049800,0.430087,1.64025,0.262208,2.21041e-12
55,Pahal.1G050000,wgd,gbM,Pahal.4G050000,0.0905827,1.20079,0.075436,1.85434e-30
56,Pahal.1G050900,wgd,Unclassified,Pahal.4G050900,0.0388812,1.28003,0.0303753,1.98761e-62
57,Pahal.1G051500,wgd,Unmethylated,Pahal.4G051400,0.355516,1.66924,0.212981,4.87865e-12
58,Pahal.1G051600,wgd,gbM,Pahal.4G051500,0.13277,1.09436,0.121323,1.60708e-24
59,Pahal.1G052800,wgd,Unmethylated,Pahal.4G052300,0.138578,3.27422,0.042324,0
60,Pahal.1G053400,wgd,Unmethylated,Pahal.4G053000,0.147656,3.84958,0.0383564,2.42593e-68
61,Pahal.1G053600,wgd,gbM,Pahal.4G053100,0.114989,1.0832,0.106157,6.93762e-36
62,Pahal.1G053900,wgd,Unclassified,Pahal.4G053200,0.160386,2.05694,0.0779731,4.73056e-34
63,Pahal.1G054100,wgd,gbM,Pahal.7G285200,0.132795,4.26836,0.0311116,5.70827e-103
64,Pahal.1G054300,wgd,Unmethylated,Pahal.4G054400,0.250086,4.1068,0.0608956,1.99294e-78
65,Pahal.1G054900,wgd,Unclassified,Pahal.7G284200,0.507169,2.8141,0.180224,9.6019e-38
66,Pahal.1G055000,wgd,Unmethylated,Pahal.4G054500,0.249454,2.39656,0.104089,2.4688e-38
67,Pahal.1G055200,wgd,gbM,Pahal.4G055100,0.0321205,1.25819,0.0255291,6.12336e-123
68,Pahal.1G055300,wgd,gbM,Pahal.4G055200,0.0871822,0.997925,0.0873634,3.24153e-46
69,Pahal.1G055400,wgd,Unclassified,Pahal.4G055800,0.181825,0.980526,0.185436,2.84879e-38
70,Pahal.1G055700,wgd,Unmethylated,Pahal.4G056300,0.25106,1.22453,0.205026,1.62586e-18
71,Pahal.1G055800,wgd,gbM,Pahal.4G056400,0.172899,0.955834,0.180889,9.97587e-53
72,Pahal.1G056100,wgd,Unclassified,Pahal.4G057500,0.0679147,2.22303,0.0305505,4.22007e-22
73,Pahal.1G056300,wgd,gbM,Pahal.7G281700,0.190283,2.6258,0.0724666,2.23941e-189
74,Pahal.1G056500,wgd,Unmethylated,Pahal.7G280300,0.358279,2.59364,0.138137,0
75,Pahal.1G056800,wgd,Unclassified,Pahal.7G280000,0.195996,1.28914,0.152036,2.66474e-31
76,Pahal.1G056900,wgd,Unmethylated,Pahal.4G058300,0.279525,3.66205,0.07633,1.32092e-46
77,Pahal.1G057200,wgd,Unclassified,Pahal.4G058600,0.529717,1.10547,0.479177,2.01125e-05
78,Pahal.1G057300,wgd,Unmethylated,Pahal.4G059000,0.456083,1.60794,0.283644,2.8073e-07
79,Pahal.1G057400,wgd,Unmethylated,Pahal.4G059300,0.234078,1.24041,0.18871,3.48313e-13
80,Pahal.1G058500,wgd,Unclassified,Pahal.4G059800,0.156356,1.73565,0.0900852,1.74934e-38
81,Pahal.1G058600,wgd,Unmethylated,Pahal.4G060000,0.323322,1.52723,0.211706,5.30615e-13
82,Pahal.1G058800,wgd,Unmethylated,Pahal.4G060900,0.0158261,1.62294,0.00975151,1.63741e-10
83,Pahal.1G059300,wgd,Unmethylated,Pahal.4G061700,0.349141,1.6861,0.207069,3.89125e-16
84,Pahal.1G059500,wgd,Unmethylated,Pahal.4G062900,0.108658,2.48322,0.0437568,1.89784e-84
85,Pahal.1G060900,wgd,Unmethylated,Pahal.4G063500,0.228121,2.37733,0.0959564,9.66639e-35
86,Pahal.1G061000,wgd,Unmethylated,Pahal.4G063700,0.135487,3.67632,0.0368539,1.16422e-70
87,Pahal.1G061300,wgd,gbM,Pahal.4G064000,0.110665,1.18933,0.0930487,1.65265e-43
88,Pahal.1G061700,wgd,Unmethylated,Pahal.4G065300,0.154729,3.87405,0.03994,6.42802e-61
89,Pahal.1G062500,wgd,Unmethylated,Pahal.4G066500,0.181101,3.60055,0.0502982,2.82945e-57
90,Pahal.1G062600,wgd,Unmethylated,Pahal.4G066600,0.573247,3.91486,0.146429,2.56055e-22
