,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,GSMUA_Achr10G00430_001,wgd,TE-like,GSMUA_Achr9G03400_001,0.586345,4.92542,0.119045,5.87799e-19
2,GSMUA_Achr10G00460_001,wgd,Unmethylated,GSMUA_Achr6G34040_001,0.221232,0.752074,0.294163,3.07415e-09
3,GSMUA_Achr10G00470_001,wgd,Unclassified,GSMUA_Achr9G03410_001,0.118051,1.16307,0.101499,2.74214e-42
4,GSMUA_Achr10G00490_001,wgd,Unmethylated,GSMUA_Achr9G03420_001,0.256278,1.33972,0.191292,8.3037e-22
5,GSMUA_Achr10G00520_001,wgd,TE-like,GSMUA_Achr8G02490_001,0.0850248,0.330268,0.257442,2.66085e-05
6,GSMUA_Achr10G00570_001,wgd,gbM,GSMUA_Achr9G03500_001,0.0851114,0.473066,0.179914,3.42e-27
7,GSMUA_Achr10G00580_001,wgd,gbM,GSMUA_Achr6G33950_001,0.401817,0.842272,0.477063,0.0193607
8,GSMUA_Achr10G00610_001,wgd,Unclassified,GSMUA_Achr8G02420_001,0.187459,0.32773,0.571991,0.0184258
9,GSMUA_Achr10G00630_001,wgd,Unmethylated,GSMUA_Achr6G33900_001,0.230989,1.15407,0.200152,7.16998e-13
10,GSMUA_Achr10G00640_001,wgd,Unclassified,GSMUA_Achr8G02400_001,0.0605669,0.348157,0.173964,3.18828e-26
11,GSMUA_Achr10G00660_001,wgd,Unmethylated,GSMUA_Achr8G02370_001,0.184549,0.687669,0.268369,1.66353e-07
12,GSMUA_Achr10G00670_001,wgd,Unclassified,GSMUA_Achr6G33810_001,0.0807068,0.314489,0.256628,1.4459e-12
13,GSMUA_Achr10G00680_001,wgd,Unclassified,GSMUA_Achr5G28920_001,0.120406,1.32274,0.0910277,3.20405e-41
14,GSMUA_Achr10G00690_001,wgd,gbM,GSMUA_Achr5G28870_001,0.221672,0.518079,0.427874,2.01058e-11
15,GSMUA_Achr10G00700_001,wgd,Unmethylated,NA,NA,NA,NA,NA
16,GSMUA_Achr10G00730_001,wgd,gbM,GSMUA_Achr8G02310_001,0.108015,0.507898,0.21267,8.2039e-10
