,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Sevir.1G002800,wgd,Unmethylated,Sevir.4G006600,0.2905,3.33032,0.087229,1.35668e-22
2,Sevir.1G002900,wgd,Unclassified,Sevir.4G006400,0.154707,1.18158,0.130932,1.48821e-39
3,Sevir.1G003300,wgd,Unmethylated,Sevir.4G005500,0.306492,3.94076,0.0777748,1.75263e-56
4,Sevir.1G004200,wgd,gbM,Sevir.4G004500,0.25679,1.11692,0.229908,8.89516e-74
5,Sevir.1G004600,wgd,Unclassified,Sevir.4G003800,0.211921,1.8058,0.117356,4.98569e-33
6,Sevir.1G007000,wgd,Unmethylated,Sevir.4G002000,0.443281,2.57476,0.172164,0
7,Sevir.1G007400,wgd,Unclassified,Sevir.4G128600,0.161064,0.286919,0.561359,0.142465
8,Sevir.1G009300,wgd,gbM,Sevir.4G130200,0.198443,1.05108,0.1888,9.07531e-23
9,Sevir.1G009400,wgd,Unmethylated,Sevir.4G130300,0.203646,0.882414,0.230783,2.5012e-16
10,Sevir.1G010100,wgd,Unmethylated,Sevir.4G131400,0.414436,2.92937,0.141476,1.88255e-19
11,Sevir.1G010200,wgd,Unmethylated,Sevir.4G132300,0.152629,1.10481,0.138149,1.63341e-10
12,Sevir.1G011800,wgd,gbM,Sevir.4G132600,0.0771758,1.38869,0.0555745,1.46226e-87
13,Sevir.1G011900,wgd,gbM,Sevir.4G132700,0.326317,1.06041,0.307728,1.33515e-24
14,Sevir.1G012400,wgd,gbM,Sevir.4G133500,0.270551,0.930492,0.290761,1.87877e-29
15,Sevir.1G012500,wgd,Unmethylated,Sevir.4G133700,0.245872,2.62587,0.0936345,2.0036e-18
16,Sevir.1G012700,wgd,gbM,Sevir.4G134200,0.266544,1.82641,0.145939,2.06566e-49
17,Sevir.1G013100,wgd,Unmethylated,Sevir.4G135400,0.22533,3.23078,0.0697446,8.65222e-48
18,Sevir.1G014100,wgd,gbM,Sevir.4G135900,0.242317,0.981668,0.246842,3.9437e-17
19,Sevir.1G014200,wgd,gbM,Sevir.4G136300,0.152451,1.08414,0.140619,6.07904e-53
20,Sevir.1G014400,wgd,gbM,Sevir.4G136600,0.102628,0.996071,0.103033,1.90715e-44
21,Sevir.1G014600,wgd,Unmethylated,Sevir.4G136800,0.43142,2.92772,0.147357,4.36749e-21
22,Sevir.1G015200,wgd,Unmethylated,Sevir.4G137300,0.188687,1.6323,0.115596,8.44428e-41
23,Sevir.1G015900,wgd,Unclassified,Sevir.4G138800,0.14206,1.54504,0.0919458,5.1687e-43
24,Sevir.1G016800,wgd,Unmethylated,Sevir.4G139600,0.464683,3.38145,0.137421,3.31315e-29
25,Sevir.1G017100,wgd,Unmethylated,Sevir.4G139700,0.382135,2.12612,0.179733,5.88085e-15
26,Sevir.1G018200,wgd,Unmethylated,Sevir.4G140300,0.602306,3.33032,0.180855,4.21898e-21
27,Sevir.1G019700,wgd,TE-like,Sevir.4G142000,0.571467,1.00156,0.570575,0.0138674
28,Sevir.1G020500,wgd,gbM,Sevir.4G143000,0.125646,0.78711,0.15963,9.54818e-31
29,Sevir.1G020600,wgd,gbM,Sevir.4G143500,0.0891541,4.7789,0.0186558,5.24942e-256
30,Sevir.1G021500,wgd,Unclassified,Sevir.4G143800,0.342614,2.3727,0.144398,4.86626e-45
31,Sevir.1G021700,wgd,Unclassified,Sevir.4G144200,0.227056,4.25649,0.0533436,4.15207e-86
32,Sevir.1G022300,wgd,Unclassified,Sevir.4G144900,0.199943,3.56238,0.0561262,5.95173e-58
33,Sevir.1G023100,wgd,Unmethylated,Sevir.4G145000,0.230708,3.51863,0.0655675,4.71667e-46
34,Sevir.1G023300,wgd,Unmethylated,Sevir.5G144000,0.22789,3.52152,0.0647135,6.36151e-46
35,Sevir.1G023500,wgd,gbM,Sevir.4G145300,0.0725575,1.1065,0.0655741,1.296e-65
36,Sevir.1G023700,wgd,Unclassified,Sevir.4G145900,0.0552233,1.00786,0.0547926,4.52634e-65
37,Sevir.1G023800,wgd,Unmethylated,Sevir.4G146300,0.326479,4.08202,0.0799798,1.08742e-61
38,Sevir.1G024300,wgd,Unmethylated,Sevir.4G147601,0.365929,2.73091,0.133996,6.98309e-12
39,Sevir.1G024500,wgd,gbM,Sevir.4G147602,0.717213,3.40155,0.210849,9.62253e-10
40,Sevir.1G024800,wgd,TE-like,Sevir.4G148000,0.441421,4.07199,0.108404,4.54544e-40
41,Sevir.1G024900,wgd,gbM,Sevir.4G148100,0.192613,0.927505,0.207667,6.88716e-31
42,Sevir.1G025500,wgd,Unclassified,Sevir.4G148200,0.220163,3.4535,0.0637506,2.54728e-40
43,Sevir.1G026400,wgd,Unmethylated,Sevir.5G141700,0.271458,3.4071,0.079674,1.96279e-30
44,Sevir.1G027100,wgd,Unclassified,Sevir.4G148800,0.449655,3.56245,0.12622,2.60846e-21
45,Sevir.1G027700,wgd,Unmethylated,Sevir.4G149400,0.271003,1.66554,0.162712,4.98876e-20
46,Sevir.1G028000,wgd,Unmethylated,Sevir.5G141000,0.632771,3.44947,0.18344,1.20714e-07
47,Sevir.1G028300,wgd,Unmethylated,Sevir.4G149600,0.314485,3.17503,0.0990494,2.19126e-27
48,Sevir.1G028600,wgd,Unmethylated,Sevir.4G149800,0.270717,3.30778,0.0818425,2.40562e-30
49,Sevir.1G028800,wgd,gbM,Sevir.4G149801,0.232187,1.0993,0.211213,9.08817e-60
50,Sevir.1G029200,wgd,Unclassified,Sevir.4G150200,0.0193212,1.55417,0.0124319,8.02565e-23
51,Sevir.1G029500,wgd,Unclassified,Sevir.4G151000,0.27674,4.56693,0.0605965,3.00095e-132
52,Sevir.1G029800,wgd,gbM,Sevir.4G152200,0.186085,1.43482,0.129692,3.2748e-54
53,Sevir.1G030700,wgd,gbM,Sevir.4G152600,0.56239,1.53374,0.366679,3.78144e-07
54,Sevir.1G032900,wgd,gbM,Sevir.4G245200,0.0183084,1.24298,0.0147294,5.23581e-55
55,Sevir.1G033300,wgd,Unclassified,Sevir.4G245600,0.691765,4.68817,0.147556,7.02514e-41
56,Sevir.1G033900,wgd,Unclassified,Sevir.4G246300,0.098958,4.30503,0.0229866,2.04733e-165
57,Sevir.1G034100,wgd,Unmethylated,Sevir.4G246600,0.167132,3.2562,0.0513273,9.47393e-47
58,Sevir.1G034300,wgd,Unclassified,Sevir.4G246700,0.221357,4.4003,0.050305,2.4549e-87
59,Sevir.1G034500,wgd,Unclassified,Sevir.4G246900,0.363563,1.93793,0.187604,2.59289e-20
60,Sevir.1G034600,wgd,gbM,Sevir.4G247101,0.0756223,0.894785,0.0845145,7.72877e-49
61,Sevir.1G034800,wgd,Unclassified,Sevir.4G247300,0.17303,2.21526,0.0781083,1.71691e-42
62,Sevir.1G034900,wgd,Unmethylated,Sevir.4G247400,0.339378,2.41588,0.140478,3.92848e-28
63,Sevir.1G035000,wgd,gbM,Sevir.4G248000,0.0137615,0.885132,0.0155474,6.6958e-97
64,Sevir.1G035400,wgd,gbM,Sevir.4G249900,0.128619,1.00635,0.127807,1.06147e-42
65,Sevir.1G035800,wgd,Unmethylated,Sevir.4G243800,0.30155,3.1965,0.0943373,7.87008e-20
66,Sevir.1G036225,wgd,Unclassified,Sevir.4G226600,0.308304,4.62292,0.0666904,1.13828e-91
67,Sevir.1G036900,wgd,Unclassified,Sevir.4G242500,0.0892212,1.4282,0.062471,2.76321e-75
68,Sevir.1G037100,wgd,Unmethylated,Sevir.4G242400,0.171063,3.41532,0.0500869,0
69,Sevir.1G038600,wgd,Unclassified,Sevir.4G241300,0.416454,4.90181,0.0849593,4.36623e-94
70,Sevir.1G038932,wgd,Unmethylated,Sevir.4G240500,0.0999509,2.80094,0.0356847,6.60507e-30
71,Sevir.1G039200,wgd,gbM,Sevir.4G239000,0.0566265,0.91034,0.0622037,1.61552e-126
72,Sevir.1G039400,wgd,Unmethylated,Sevir.4G238100,0.17998,2.15505,0.0835155,9.37204e-48
73,Sevir.1G039700,wgd,gbM,Sevir.4G237800,0.429092,1.4613,0.293636,4.21104e-30
74,Sevir.1G041900,wgd,Unmethylated,Sevir.4G236700,0.0716182,3.82669,0.0187155,2.47218e-137
75,Sevir.1G042000,wgd,gbM,Sevir.4G236600,0.0848104,1.04811,0.0809174,4.19937e-38
76,Sevir.1G042100,wgd,gbM,Sevir.4G236300,0.0793688,1.19766,0.0662697,2.30336e-47
77,Sevir.1G042400,wgd,Unmethylated,Sevir.4G236100,0.111309,2.25902,0.049273,2.4034e-78
78,Sevir.1G043200,wgd,Unmethylated,Sevir.4G235600,0.274705,3.07668,0.0892862,3.33868e-19
79,Sevir.1G043300,wgd,Unclassified,Sevir.4G234900,0.115787,3.26752,0.0354358,7.25432e-33
80,Sevir.1G043600,wgd,Unclassified,Sevir.4G234400,0.0506352,0.76929,0.0658207,9.00785e-17
81,Sevir.1G044000,wgd,Unmethylated,Sevir.4G233400,0.140703,3.52747,0.0398877,1.50846e-70
82,Sevir.1G044200,wgd,gbM,Sevir.4G233300,0.110025,2.16172,0.050897,5.46991e-40
83,Sevir.1G044300,wgd,gbM,Sevir.4G232800,0.185995,1.12709,0.165023,9.6341e-43
84,Sevir.1G044600,wgd,gbM,Sevir.4G232400,0.156172,1.92493,0.0811308,1.2205e-21
85,Sevir.1G045000,wgd,Unclassified,Sevir.4G232000,0.15789,1.32506,0.119157,7.67538e-69
86,Sevir.1G045300,wgd,gbM,Sevir.4G231700,0.285275,1.522,0.187433,6.88372e-20
87,Sevir.1G045400,wgd,Unmethylated,Sevir.4G231500,0.228965,4.13277,0.0554023,1.07119e-126
88,Sevir.1G045500,wgd,gbM,Sevir.4G231100,0.12461,1.33281,0.0934946,1.43854e-37
89,Sevir.1G045600,wgd,gbM,Sevir.4G230700,0.0410931,2.19566,0.0187156,5.10389e-119
90,Sevir.1G045700,wgd,Unclassified,Sevir.4G230600,0.217341,0.995375,0.218351,2.98895e-63
91,Sevir.1G046500,wgd,Unmethylated,Sevir.4G229700,0.224724,4.23497,0.053064,1.11441e-114
92,Sevir.1G047200,wgd,Unclassified,Sevir.4G229600,0.147375,1.61404,0.0913083,4.37661e-40
93,Sevir.1G047700,wgd,Unclassified,Sevir.4G229500,0.116606,1.29303,0.0901803,4.32228e-34
94,Sevir.1G047800,wgd,TE-like,Sevir.4G229400,0.137183,1.5049,0.0911575,6.62783e-59
95,Sevir.1G048500,wgd,Unmethylated,Sevir.4G229000,0.182052,2.30679,0.0789201,2.83095e-48
96,Sevir.1G048800,wgd,Unmethylated,Sevir.4G227500,0.406586,3.42557,0.118692,0
97,Sevir.1G049600,wgd,Unclassified,Sevir.4G225700,0.292972,1.39846,0.209496,2.14295e-25
98,Sevir.1G049800,wgd,Unclassified,Sevir.4G225300,0.117253,0.734708,0.159591,1.2582e-50
99,Sevir.1G049900,wgd,Unclassified,Sevir.4G225100,0.324162,4.14038,0.0782927,0
100,Sevir.1G050300,wgd,gbM,Sevir.4G224700,0.269441,1.11548,0.241546,1.87412e-18
101,Sevir.1G050400,wgd,gbM,Sevir.4G224600,0.144589,0.772869,0.187081,2.499e-22
102,Sevir.1G051200,wgd,Unclassified,Sevir.4G222400,0.260947,0.702858,0.371265,1.29923e-08
103,Sevir.1G051600,wgd,gbM,Sevir.4G222300,0.143883,0.939826,0.153095,6.13946e-142
104,Sevir.1G052000,wgd,Unclassified,Sevir.4G220600,0.504656,3.44,0.146702,0
105,Sevir.1G052400,wgd,Unmethylated,Sevir.4G220300,0.356539,2.03815,0.174933,1.55375e-15
106,Sevir.1G053000,wgd,Unmethylated,Sevir.4G219300,0.147378,2.63505,0.0559296,5.34758e-33
107,Sevir.1G053100,wgd,Unclassified,Sevir.4G219000,0.154201,1.88606,0.0817581,2.21961e-66
108,Sevir.1G053600,wgd,Unmethylated,NA,NA,NA,NA,NA
109,Sevir.1G053900,wgd,Unmethylated,Sevir.4G217400,0.467864,3.79184,0.123387,6.45832e-24
110,Sevir.1G054000,wgd,gbM,Sevir.4G217300,0.0932102,1.13647,0.0820172,1.42735e-65
111,Sevir.1G054200,wgd,gbM,Sevir.4G217100,0.353187,1.81503,0.194591,2.0536e-36
112,Sevir.1G054500,wgd,gbM,Sevir.4G216800,0.145541,0.852593,0.170704,1.4413e-56
113,Sevir.1G055500,wgd,Unmethylated,Sevir.4G215700,0.32101,3.49185,0.0919312,1.76526e-25
114,Sevir.1G055600,wgd,Unmethylated,Sevir.4G215100,0.159033,2.3451,0.0678151,5.64589e-43
115,Sevir.1G056800,wgd,Unmethylated,Sevir.4G214800,0.0869537,3.67126,0.023685,1.66149e-73
116,Sevir.1G056901,wgd,Unmethylated,Sevir.4G214700,0.151711,4.47486,0.033903,1.80617e-41
117,Sevir.1G057100,wgd,Unclassified,Sevir.4G214400,0.260562,0.975082,0.267221,1.48958e-16
118,Sevir.1G057200,wgd,Unclassified,Sevir.4G214300,0.0820637,3.3255,0.0246771,5.62896e-26
119,Sevir.1G057233,wgd,Unmethylated,Sevir.4G214200,0.227237,1.13592,0.200047,2.89778e-11
120,Sevir.1G057700,wgd,Unclassified,Sevir.4G212300,0.251907,4.21054,0.0598278,5.64689e-69
121,Sevir.1G057800,wgd,Unmethylated,Sevir.4G212100,0.25682,4.08377,0.0628879,8.02583e-100
122,Sevir.1G058600,wgd,Unmethylated,Sevir.4G211700,0.252204,2.01966,0.124875,8.1448e-60
123,Sevir.1G058900,wgd,Unmethylated,Sevir.4G209100,0.255971,1.72483,0.148404,1.78299e-44
124,Sevir.1G059100,wgd,gbM,Sevir.4G209900,0.147162,0.704548,0.208874,3.47102e-39
125,Sevir.1G059300,wgd,gbM,Sevir.4G210300,0.0200156,0.882108,0.0226906,4.09293e-150
126,Sevir.1G059500,wgd,gbM,Sevir.4G210700,0.0832833,0.72512,0.114854,1.95524e-95
127,Sevir.1G059600,wgd,gbM,Sevir.4G212200,0.612948,1.78833,0.342749,1.73703e-10
128,Sevir.1G060000,wgd,Unclassified,Sevir.4G208100,0.0670946,1.27326,0.0526951,2.88045e-48
129,Sevir.1G060100,wgd,Unclassified,Sevir.4G207900,0.243815,1.91814,0.12711,1.99345e-23
130,Sevir.1G060200,wgd,Unclassified,Sevir.4G207800,0.170737,0.882424,0.193486,5.76351e-35
131,Sevir.1G060800,wgd,gbM,Sevir.4G207300,0.664838,1.81722,0.365854,2.37859e-08
132,Sevir.1G061200,wgd,Unmethylated,Sevir.4G214200,0.233631,1.44891,0.161246,3.30602e-62
133,Sevir.1G061400,wgd,Unmethylated,Sevir.4G206800,0.504227,3.87,0.130291,2.90155e-28
134,Sevir.1G061500,wgd,Unmethylated,Sevir.4G206700,0.170209,3.56394,0.0477586,6.32693e-48
135,Sevir.1G062000,wgd,Unclassified,Sevir.4G206500,0.136486,3.87059,0.0352622,1.97943e-66
136,Sevir.1G062400,wgd,gbM,Sevir.4G204600,0.114835,1.46317,0.0784833,2.26512e-33
137,Sevir.1G062700,wgd,Unclassified,Sevir.4G204000,0.243326,3.94566,0.0616693,5.64961e-83
138,Sevir.1G062800,wgd,Unmethylated,Sevir.4G203900,0.227283,2.51248,0.0904617,2.342e-40
139,Sevir.1G063600,wgd,Unmethylated,Sevir.4G203500,0.111759,1.7055,0.0655285,1.30803e-71
140,Sevir.1G063700,wgd,Unmethylated,Sevir.4G203200,0.291733,2.80515,0.103999,2.37212e-16
141,Sevir.1G064100,wgd,Unmethylated,Sevir.4G202700,0.0159487,2.02955,0.00785824,2.03298e-14
142,Sevir.1G064300,wgd,Unmethylated,Sevir.4G202300,0.365552,1.50976,0.242127,5.3932e-11
143,Sevir.1G064400,wgd,Unmethylated,Sevir.4G202100,0.182847,1.80503,0.101298,2.32088e-38
144,Sevir.1G064800,wgd,Unmethylated,NA,NA,NA,NA,NA
145,Sevir.1G065000,wgd,Unclassified,Sevir.4G201300,0.077268,3.68842,0.0209488,1.93723e-109
