Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Glyma.01G017200,unM,Glyma.01G095300,unM,wgd,Same,unM-unM
Glyma.01G019200,unM,Glyma.01G097400,unM,wgd,Same,unM-unM
Glyma.01G079900,unM,Glyma.01G134200,unM,wgd,Same,unM-unM
Glyma.01G079000,unM,Glyma.01G136600,unM,wgd,Same,unM-unM
Glyma.01G078200,unM,Glyma.01G137500,unM,wgd,Same,unM-unM
Glyma.01G078000,unM,Glyma.01G137600,unM,wgd,Same,unM-unM
Glyma.01G044800,unM,Glyma.02G018900,unM,wgd,Same,unM-unM
Glyma.01G044600,unM,Glyma.02G019100,unM,wgd,Same,unM-unM
Glyma.01G044500,unM,Glyma.02G019200,unM,wgd,Same,unM-unM
Glyma.01G044300,unM,Glyma.02G019300,unM,wgd,Same,unM-unM
Glyma.01G044200,unM,Glyma.02G019400,unM,wgd,Same,unM-unM
Glyma.01G044100,unM,Glyma.02G019500,unM,wgd,Same,unM-unM
Glyma.01G044000,unM,Glyma.02G019600,unM,wgd,Same,unM-unM
Glyma.01G043800,gbM,Glyma.02G019700,gbM,wgd,Same,gbM-gbM
Glyma.01G043700,unM,Glyma.02G019800,unM,wgd,Same,unM-unM
Glyma.01G043600,unM,Glyma.02G020000,unM,wgd,Same,unM-unM
Glyma.01G043400,unM,Glyma.02G020200,unM,wgd,Same,unM-unM
Glyma.01G043300,unM,Glyma.02G020300,unM,wgd,Same,unM-unM
Glyma.01G042600,unM,Glyma.02G020900,unM,wgd,Same,unM-unM
Glyma.01G042500,unM,Glyma.02G021600,unM,wgd,Same,unM-unM
Glyma.01G041700,unM,Glyma.02G022300,unM,wgd,Same,unM-unM
Glyma.01G041651,unM,Glyma.02G022351,unM,wgd,Same,unM-unM
Glyma.01G041600,unM,Glyma.02G022400,unM,wgd,Same,unM-unM
Glyma.01G041500,Unclassified,Glyma.02G022500,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Glyma.01G041400,unM,Glyma.02G022700,unM,wgd,Same,unM-unM
Glyma.01G040600,unM,Glyma.02G023500,unM,wgd,Same,unM-unM
Glyma.01G040400,unM,Glyma.02G024200,unM,wgd,Same,unM-unM
Glyma.01G040300,unM,Glyma.02G024500,unM,wgd,Same,unM-unM
Glyma.01G040000,unM,Glyma.02G024600,unM,wgd,Same,unM-unM
Glyma.01G039900,unM,Glyma.02G024900,unM,wgd,Same,unM-unM
Glyma.01G039700,unM,Glyma.02G025100,unM,wgd,Same,unM-unM
Glyma.01G039400,unM,Glyma.02G025300,unM,wgd,Same,unM-unM
Glyma.01G039200,unM,Glyma.02G025400,unM,wgd,Same,unM-unM
Glyma.01G039100,unM,Glyma.02G025600,unM,wgd,Same,unM-unM
Glyma.01G038900,unM,Glyma.02G025700,unM,wgd,Same,unM-unM
Glyma.01G038800,Unclassified,Glyma.02G025900,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Glyma.01G038700,Unclassified,Glyma.02G026000,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Glyma.01G038600,unM,Glyma.02G026300,unM,wgd,Same,unM-unM
Glyma.01G038500,unM,Glyma.02G026500,unM,wgd,Same,unM-unM
Glyma.01G038400,unM,Glyma.02G026600,unM,wgd,Same,unM-unM
Glyma.01G038002,unM,Glyma.02G026800,unM,wgd,Same,unM-unM
Glyma.01G037900,unM,Glyma.02G026900,unM,wgd,Same,unM-unM
Glyma.01G037800,unM,Glyma.02G027000,unM,wgd,Same,unM-unM
Glyma.01G037500,unM,Glyma.02G027400,unM,wgd,Same,unM-unM
Glyma.01G037400,unM,Glyma.02G027500,unM,wgd,Same,unM-unM
Glyma.01G037200,unM,Glyma.02G027800,unM,wgd,Same,unM-unM
Glyma.01G036900,unM,Glyma.02G028000,unM,wgd,Same,unM-unM
Glyma.01G036800,unM,Glyma.02G029200,unM,wgd,Same,unM-unM
Glyma.01G036700,Unclassified,Glyma.02G029300,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Glyma.01G036300,unM,Glyma.02G029750,unM,wgd,Same,unM-unM
Glyma.01G036200,Unclassified,Glyma.02G029800,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Glyma.01G036000,unM,Glyma.02G029900,unM,wgd,Same,unM-unM
