,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Sevir.1G007400,wgd,teM,Sevir.4G128600,0.161064,0.286919,0.561359,0.142465
2,Sevir.1G009300,wgd,gbM,Sevir.4G130200,0.198443,1.05108,0.1888,9.07531e-23
3,Sevir.1G010100,wgd,Unmethylated,Sevir.4G131400,0.414436,2.92937,0.141476,1.88255e-19
4,Sevir.1G010200,wgd,Unmethylated,Sevir.4G132300,0.152629,1.10481,0.138149,1.63341e-10
5,Sevir.1G011800,wgd,gbM,Sevir.4G132600,0.0771758,1.38869,0.0555745,1.46226e-87
6,Sevir.1G011900,wgd,gbM,Sevir.4G132700,0.326317,1.06041,0.307728,1.33515e-24
7,Sevir.1G012400,wgd,gbM,Sevir.4G133500,0.270551,0.930492,0.290761,1.87877e-29
8,Sevir.1G012500,wgd,Unmethylated,Sevir.4G133700,0.245872,2.62587,0.0936345,2.0036e-18
9,Sevir.1G012700,wgd,gbM,Sevir.4G134200,0.266544,1.82641,0.145939,2.06566e-49
10,Sevir.1G013100,wgd,Unmethylated,Sevir.4G135400,0.22533,3.23078,0.0697446,8.65222e-48
11,Sevir.1G014100,wgd,gbM,Sevir.4G135900,0.242317,0.981668,0.246842,3.9437e-17
12,Sevir.1G014200,wgd,gbM,Sevir.4G136300,0.152451,1.08414,0.140619,6.07904e-53
13,Sevir.1G014300,wgd,Unmethylated,Sevir.4G136501,0.121861,1.0134,0.12025,2.26761e-16
14,Sevir.1G014400,wgd,gbM,Sevir.4G136600,0.102628,0.996071,0.103033,1.90715e-44
15,Sevir.1G014600,wgd,Unmethylated,Sevir.4G136800,0.43142,2.92772,0.147357,4.36749e-21
16,Sevir.1G015200,wgd,Unmethylated,Sevir.4G137300,0.188687,1.6323,0.115596,8.44428e-41
17,Sevir.1G015400,wgd,Unmethylated,Sevir.4G137500,0.440937,1.60982,0.273904,0.00171787
18,Sevir.1G015900,wgd,Unclassified,Sevir.4G138800,0.14206,1.54504,0.0919458,5.1687e-43
19,Sevir.1G017200,wgd,Unmethylated,Sevir.4G139700,0.43657,3.20638,0.136157,9.19102e-16
20,Sevir.1G019400,wgd,Unclassified,Sevir.5G147200,0.217883,4.43696,0.0491063,1.04442e-97
21,Sevir.1G019500,wgd,Unclassified,Sevir.5G146900,0.262822,3.55951,0.0738366,3.9762e-47
22,Sevir.1G019700,wgd,teM,Sevir.4G142000,0.571467,1.00156,0.570575,0.0138674
23,Sevir.1G020100,wgd,gbM,Sevir.5G146600,0.359468,2.09586,0.171514,5.3696e-61
24,Sevir.1G020500,wgd,gbM,Sevir.5G145700,0.203459,2.12892,0.0955693,3.83506e-47
25,Sevir.1G020600,wgd,gbM,Sevir.4G143500,0.0891541,4.7789,0.0186558,5.24942e-256
26,Sevir.1G021500,wgd,Unmethylated,Sevir.4G143800,0.342614,2.3727,0.144398,4.86626e-45
27,Sevir.1G021700,wgd,Unmethylated,Sevir.4G144200,0.227056,4.25649,0.0533436,4.15207e-86
28,Sevir.1G022300,wgd,Unmethylated,Sevir.5G144000,0.286584,3.58733,0.0798878,4.25414e-43
29,Sevir.1G023500,wgd,gbM,Sevir.4G145300,0.0725575,1.1065,0.0655741,1.296e-65
30,Sevir.1G023700,wgd,Unclassified,Sevir.4G145900,0.0552233,1.00786,0.0547926,4.52634e-65
31,Sevir.1G024300,wgd,Unmethylated,Sevir.4G147601,0.365929,2.73091,0.133996,6.98309e-12
32,Sevir.1G024500,wgd,gbM,Sevir.5G142700,0.436083,4.78107,0.0912103,2.53754e-82
33,Sevir.1G024900,wgd,gbM,Sevir.4G148100,0.192613,0.927505,0.207667,6.88716e-31
34,Sevir.1G025500,wgd,Unmethylated,Sevir.5G141832,0.420448,2.74915,0.152938,2.28323e-08
35,Sevir.1G026400,wgd,Unmethylated,Sevir.4G148400,0.187504,3.56958,0.0525284,3.30663e-40
36,Sevir.1G027100,wgd,Unmethylated,Sevir.4G148800,0.449655,3.56245,0.12622,2.60846e-21
37,Sevir.1G027700,wgd,Unmethylated,Sevir.5G139900,0.33357,4.19261,0.0795614,1.40696e-22
