,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Migut.A00001,wgd,gbM,Migut.I00698,0.807179,4.48233,0.18008,1.74653e-29
2,Migut.A00004,wgd,Unclassified,Migut.I00712,0.518436,3.73329,0.138869,8.9444e-27
3,Migut.A00008,wgd,gbM,Migut.K00379,0.556759,3.21926,0.172946,2.6216e-22
4,Migut.A00010,wgd,gbM,Migut.E01821,0.111226,0.702554,0.158317,5.02928e-28
5,Migut.A00011,wgd,gbM,Migut.E01819,0.0967872,2.40399,0.0402611,2.83399e-27
6,Migut.A00012,wgd,gbM,Migut.E01817,0.2225,1.00064,0.222359,1.66642e-34
7,Migut.A00013,wgd,Unmethylated,Migut.E01816,0.191196,0.766769,0.249353,8.99442e-11
8,Migut.A00015,wgd,gbM,Migut.K00398,0.313435,4.65765,0.0672946,1.72192e-111
9,Migut.A00017,wgd,gbM,Migut.E01815,0.0907307,1.4228,0.063769,1.70411e-69
10,Migut.A00018,wgd,gbM,Migut.I00737,0.464544,4.6493,0.0999171,2.5085e-72
11,Migut.A00019,wgd,gbM,Migut.K00400,0.327472,4.38895,0.0746128,6.59635e-95
12,Migut.A00020,wgd,gbM,Migut.E01812,0.114804,0.985931,0.116442,1.47398e-52
13,Migut.A00021,wgd,gbM,Migut.E01811,0.143365,0.63628,0.225317,1.77268e-17
14,Migut.A00023,wgd,gbM,Migut.E01810,0.102739,0.750526,0.13689,7.28472e-36
15,Migut.A00024,wgd,gbM,Migut.K00416,0.197477,4.46665,0.0442115,3.08392e-97
16,Migut.A00032,wgd,gbM,Migut.I00753,0.420318,2.2394,0.187692,1.69551e-37
17,Migut.A00036,wgd,gbM,Migut.I00758,0.735186,3.31103,0.222042,2.34382e-11
18,Migut.A00037,wgd,gbM,Migut.E01804,0.115081,1.2869,0.0894247,7.78854e-35
19,Migut.A00039,wgd,gbM,Migut.K00434,0.368306,4.4345,0.0830546,3.66547e-69
20,Migut.A00044,wgd,gbM,Migut.E01800,0.312059,0.740192,0.421592,1.96614e-08
21,Migut.A00045,wgd,gbM,Migut.E01799,0.212213,1.07757,0.196937,1.49735e-44
22,Migut.A00046,wgd,gbM,Migut.I00775,0.434644,3.00616,0.144585,4.00179e-13
23,Migut.A00047,wgd,gbM,Migut.I00778,0.212552,3.43035,0.0619622,5.91522e-32
24,Migut.A00053,wgd,gbM,Migut.E01792,0.12678,1.08448,0.116904,1.72717e-37
25,Migut.A00054,wgd,Unclassified,Migut.E01790,0.0821574,0.616765,0.133207,1.585e-15
26,Migut.A00058,wgd,gbM,Migut.E01787,0.230169,0.965745,0.238333,1.0158e-28
27,Migut.A00059,wgd,Unclassified,Migut.E01786,0.243441,1.23002,0.197917,5.03932e-12
28,Migut.A00061,wgd,gbM,Migut.E01784,0.292843,2.19215,0.133587,1.31218e-33
29,Migut.A00067,wgd,Unclassified,Migut.L01566,0.565007,3.44064,0.164216,2.32763e-18
30,Migut.A00071,wgd,gbM,Migut.E01782,0.0903641,1.69587,0.0532847,1.75913e-159
31,Migut.A00075,wgd,gbM,Migut.L01559,0.579158,4.6211,0.125329,6.41247e-50
32,Migut.A00079,wgd,gbM,Migut.E01781,0.125816,1.38739,0.0906855,1.1184e-110
33,Migut.A00088,wgd,gbM,Migut.E01573,0.143549,2.18919,0.0655717,1.90144e-96
34,Migut.A00091,wgd,Unclassified,Migut.E01574,0.467131,2.80874,0.166313,6.87913e-14
35,Migut.A00094,wgd,Unclassified,Migut.E01577,0.141949,0.90111,0.157527,2.55613e-29
36,Migut.A00096,wgd,gbM,Migut.L01539,0.500343,4.37967,0.114242,1.5007e-45
37,Migut.A00099,wgd,gbM,Migut.E01578,0.310672,3.19755,0.0971595,1.26898e-25
38,Migut.A00102,wgd,gbM,Migut.E01579,0.360026,1.93831,0.185742,2.33624e-10
39,Migut.A00106,wgd,gbM,Migut.J00562,0.318642,4.16004,0.0765959,4.96917e-51
40,Migut.A00108,wgd,Unclassified,Migut.E01581,0.181507,0.800813,0.226654,1.09569e-06
41,Migut.A00109,wgd,gbM,Migut.J00570,0.208256,4.4084,0.0472407,4.53377e-102
42,Migut.A00111,wgd,NA,Migut.E01586,0.0540631,0.706048,0.0765714,1.58039e-20
43,Migut.A00112,wgd,NA,Migut.I01051,0.514968,3.00579,0.171325,1.07797e-07
44,Migut.A00113,wgd,Unclassified,Migut.J00576,0.397305,3.16575,0.125501,1.52714e-16
45,Migut.A00121,wgd,gbM,Migut.L01509,0.27519,3.42985,0.0802336,2.57602e-57
46,Migut.A00122,wgd,Unmethylated,Migut.D00961,0.463784,2.78814,0.166342,1.84816e-28
47,Migut.A00127,wgd,Unclassified,Migut.I01032,0.39661,3.66426,0.108238,1.33754e-47
48,Migut.A00128,wgd,gbM,Migut.J00585,0.332386,3.94795,0.0841919,2.58884e-33
49,Migut.A00131,wgd,Unclassified,Migut.D00966,0.611345,3.56476,0.171497,1.12161e-34
50,Migut.A00132,wgd,Unclassified,Migut.D00967,0.42312,3.73209,0.113373,1.34674e-26
51,Migut.A00134,wgd,Unmethylated,Migut.E01567,0.23861,1.0902,0.218868,3.89577e-16
52,Migut.A00136,wgd,gbM,Migut.E01566,0.0671996,1.08011,0.0622153,4.46316e-165
53,Migut.A00137,wgd,gbM,Migut.E01565,0.175301,0.785905,0.223056,5.16979e-43
54,Migut.A00138,wgd,Unclassified,Migut.E01561,0.169644,1.36546,0.12424,8.85189e-17
55,Migut.A00140,wgd,gbM,Migut.K00590,0.147959,2.46126,0.060115,1.32132e-80
56,Migut.A00141,wgd,Unmethylated,Migut.I01009,0.233927,2.90953,0.0804003,1.09788e-23
57,Migut.A00143,wgd,gbM,Migut.K00585,0.172618,1.40307,0.123029,8.34909e-47
58,Migut.A00146,wgd,gbM,Migut.E01558,0.180146,1.30507,0.138036,1.45108e-54
59,Migut.A00155,wgd,gbM,Migut.E01556,0.0953664,1.24689,0.0764837,1.42671e-81
