Feature	Duplication
Thhalv10000004m.g	dispersed
Thhalv10023209m.g	dispersed
Thhalv10000011m.g	dispersed
Thhalv10003514m.g	dispersed
Thhalv10005683m.g	dispersed
Thhalv10000018m.g	dispersed
Thhalv10001287m.g	dispersed
Thhalv10006613m.g	dispersed
Thhalv10023223m.g	dispersed
Thhalv10000019m.g	dispersed
Thhalv10001233m.g	dispersed
Thhalv10000020m.g	dispersed
Thhalv10007385m.g	dispersed
Thhalv10016030m.g	dispersed
Thhalv10000037m.g	dispersed
Thhalv10028423m.g	dispersed
Thhalv10000052m.g	dispersed
Thhalv10011017m.g	dispersed
Thhalv10018949m.g	dispersed
Thhalv10028655m.g	dispersed
Thhalv10000054m.g	dispersed
Thhalv10018157m.g	dispersed
Thhalv10000056m.g	dispersed
Thhalv10006857m.g	dispersed
Thhalv10024465m.g	dispersed
Thhalv10000058m.g	dispersed
Thhalv10012738m.g	dispersed
Thhalv10024066m.g	dispersed
Thhalv10000060m.g	dispersed
Thhalv10010934m.g	dispersed
Thhalv10012806m.g	dispersed
Thhalv10024525m.g	dispersed
Thhalv10000065m.g	dispersed
Thhalv10012772m.g	dispersed
Thhalv10015373m.g	dispersed
Thhalv10000071m.g	dispersed
Thhalv10000530m.g	dispersed
Thhalv10000829m.g	dispersed
Thhalv10003369m.g	dispersed
Thhalv10007250m.g	dispersed
Thhalv10012914m.g	dispersed
Thhalv10012961m.g	dispersed
Thhalv10013207m.g	dispersed
Thhalv10017611m.g	dispersed
Thhalv10023835m.g	dispersed
Thhalv10023939m.g	dispersed
Thhalv10000074m.g	dispersed
Thhalv10005507m.g	dispersed
Thhalv10020216m.g	dispersed
Thhalv10000083m.g	dispersed
Thhalv10002347m.g	dispersed
Thhalv10010282m.g	dispersed
Thhalv10017960m.g	dispersed
Thhalv10024867m.g	dispersed
Thhalv10000084m.g	dispersed
Thhalv10000657m.g	dispersed
Thhalv10000087m.g	dispersed
Thhalv10003828m.g	dispersed
Thhalv10000090m.g	dispersed
Thhalv10003637m.g	dispersed
Thhalv10011323m.g	dispersed
Thhalv10000096m.g	dispersed
Thhalv10000100m.g	dispersed
Thhalv10016584m.g	dispersed
Thhalv10000099m.g	dispersed
Thhalv10023406m.g	dispersed
Thhalv10000104m.g	dispersed
Thhalv10000122m.g	dispersed
Thhalv10000116m.g	dispersed
Thhalv10007306m.g	dispersed
Thhalv10013165m.g	dispersed
Thhalv10000121m.g	dispersed
Thhalv10005934m.g	dispersed
Thhalv10000125m.g	dispersed
Thhalv10020166m.g	dispersed
Thhalv10000135m.g	dispersed
Thhalv10002429m.g	dispersed
Thhalv10007522m.g	dispersed
Thhalv10000143m.g	dispersed
Thhalv10003988m.g	dispersed
Thhalv10000152m.g	dispersed
Thhalv10003958m.g	dispersed
Thhalv10013308m.g	dispersed
Thhalv10000154m.g	dispersed
Thhalv10007607m.g	dispersed
Thhalv10028640m.g	dispersed
Thhalv10000157m.g	dispersed
Thhalv10007562m.g	dispersed
Thhalv10023030m.g	dispersed
Thhalv10000159m.g	dispersed
Thhalv10019779m.g	dispersed
Thhalv10000202m.g	dispersed
Thhalv10002533m.g	dispersed
Thhalv10002973m.g	dispersed
Thhalv10009644m.g	dispersed
Thhalv10009934m.g	dispersed
Thhalv10027439m.g	dispersed
Thhalv10000203m.g	dispersed
Thhalv10015920m.g	dispersed
Thhalv10000205m.g	dispersed
Thhalv10007818m.g	dispersed
Thhalv10000227m.g	dispersed
Thhalv10015286m.g	dispersed
Thhalv10000231m.g	dispersed
Thhalv10022773m.g	dispersed
Thhalv10000239m.g	dispersed
Thhalv10000442m.g	dispersed
Thhalv10000241m.g	dispersed
Thhalv10005656m.g	dispersed
Thhalv10000243m.g	dispersed
Thhalv10025679m.g	dispersed
Thhalv10000247m.g	dispersed
Thhalv10025336m.g	dispersed
Thhalv10000255m.g	dispersed
Thhalv10023603m.g	dispersed
Thhalv10000260m.g	dispersed
Thhalv10011627m.g	dispersed
Thhalv10025836m.g	dispersed
Thhalv10000270m.g	dispersed
Thhalv10025630m.g	dispersed
Thhalv10000277m.g	dispersed
Thhalv10019698m.g	dispersed
Thhalv10022381m.g	dispersed
Thhalv10022510m.g	dispersed
Thhalv10023181m.g	dispersed
Thhalv10027357m.g	dispersed
Thhalv10029269m.g	dispersed
Thhalv10000282m.g	dispersed
Thhalv10021296m.g	dispersed
Thhalv10000289m.g	dispersed
Thhalv10019004m.g	dispersed
Thhalv10000308m.g	dispersed
Thhalv10026757m.g	dispersed
Thhalv10000313m.g	dispersed
Thhalv10008430m.g	dispersed
Thhalv10000352m.g	dispersed
Thhalv10001156m.g	dispersed
Thhalv10000365m.g	dispersed
Thhalv10001663m.g	dispersed
Thhalv10000370m.g	dispersed
Thhalv10005100m.g	dispersed
Thhalv10000371m.g	dispersed
Thhalv10017436m.g	dispersed
Thhalv10000382m.g	dispersed
Thhalv10023994m.g	dispersed
Thhalv10000387m.g	dispersed
Thhalv10018021m.g	dispersed
Thhalv10000396m.g	dispersed
Thhalv10006614m.g	dispersed
Thhalv10000411m.g	dispersed
Thhalv10002783m.g	dispersed
Thhalv10003211m.g	dispersed
Thhalv10007675m.g	dispersed
Thhalv10018572m.g	dispersed
Thhalv10020743m.g	dispersed
Thhalv10022069m.g	dispersed
Thhalv10000421m.g	dispersed
Thhalv10015695m.g	dispersed
Thhalv10000422m.g	dispersed
Thhalv10028990m.g	dispersed
Thhalv10000423m.g	dispersed
Thhalv10029176m.g	dispersed
Thhalv10000432m.g	dispersed
Thhalv10000479m.g	dispersed
Thhalv10003338m.g	dispersed
Thhalv10012100m.g	dispersed
Thhalv10015908m.g	dispersed
Thhalv10017754m.g	dispersed
Thhalv10017825m.g	dispersed
Thhalv10022102m.g	dispersed
Thhalv10022154m.g	dispersed
Thhalv10027307m.g	dispersed
Thhalv10028255m.g	dispersed
Thhalv10000435m.g	dispersed
Thhalv10002899m.g	dispersed
Thhalv10019708m.g	dispersed
Thhalv10027836m.g	dispersed
Thhalv10000455m.g	dispersed
Thhalv10026918m.g	dispersed
Thhalv10000458m.g	dispersed
Thhalv10002784m.g	dispersed
Thhalv10003328m.g	dispersed
Thhalv10023818m.g	dispersed
Thhalv10000459m.g	dispersed
Thhalv10002285m.g	dispersed
Thhalv10003309m.g	dispersed
Thhalv10009475m.g	dispersed
Thhalv10015367m.g	dispersed
Thhalv10015497m.g	dispersed
Thhalv10017665m.g	dispersed
Thhalv10017828m.g	dispersed
Thhalv10022289m.g	dispersed
Thhalv10024027m.g	dispersed
Thhalv10000461m.g	dispersed
Thhalv10000462m.g	dispersed
Thhalv10002217m.g	dispersed
Thhalv10002234m.g	dispersed
Thhalv10002797m.g	dispersed
Thhalv10005358m.g	dispersed
Thhalv10005644m.g	dispersed
Thhalv10009766m.g	dispersed
Thhalv10015887m.g	dispersed
Thhalv10026769m.g	dispersed
Thhalv10000465m.g	dispersed
Thhalv10017183m.g	dispersed
