,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Pahal.1G002900,wgd,Unmethylated,Pahal.4G354300,0.293664,3.20752,0.091555,1.84949e-28
2,Pahal.1G003000,wgd,Unmethylated,Pahal.4G355100,0.326851,3.98987,0.0819204,4.29793e-53
3,Pahal.1G003100,wgd,Unclassified,Pahal.4G355200,0.00810397,1.96528,0.00412357,1.86393e-49
4,Pahal.1G004100,wgd,gbM,Pahal.4G356200,0.270261,1.04771,0.257953,4.66048e-67
5,Pahal.1G004500,wgd,Unclassified,Pahal.4G356900,0.202473,4.41125,0.0458992,9.36926e-46
6,Pahal.1G006300,wgd,Unmethylated,Pahal.4G358500,0.275331,1.32882,0.2072,8.90667e-20
7,Pahal.1G006900,wgd,gbM,Pahal.4G359400,0.495923,1.90021,0.260983,3.47615e-49
8,Pahal.1G028200,wgd,Unmethylated,Pahal.4G020900,0.17453,3.62864,0.0480979,4.30351e-69
9,Pahal.1G029100,wgd,gbM,Pahal.4G021700,0.221545,1.43022,0.154904,1.97521e-22
10,Pahal.1G030000,wgd,Unmethylated,Pahal.4G022200,0.122562,0.982067,0.1248,3.056e-67
11,Pahal.1G030400,wgd,Unmethylated,Pahal.4G022400,0.26004,1.87142,0.138953,1.26524e-51
12,Pahal.1G030700,wgd,Unmethylated,Pahal.4G022600,0.210513,2.83011,0.0743834,0
13,Pahal.1G031000,wgd,Unmethylated,Pahal.4G022800,0.235276,2.3728,0.0991555,1.95719e-41
14,Pahal.1G031100,wgd,Unclassified,Pahal.4G022900,0.104924,0.764745,0.137201,7.94807e-20
15,Pahal.1G032200,wgd,Unmethylated,Pahal.4G023400,0.263859,2.28301,0.115575,7.08812e-20
16,Pahal.1G032300,wgd,gbM,Pahal.4G023500,0.151522,0.978469,0.154856,4.76037e-98
17,Pahal.1G032400,wgd,gbM,Pahal.4G023700,0.115446,0.719076,0.160547,1.36438e-80
18,Pahal.1G032700,wgd,gbM,Pahal.4G024300,0.263972,0.911172,0.289706,1.82918e-41
19,Pahal.1G032800,wgd,Unmethylated,NA,NA,NA,NA,NA
20,Pahal.1G032900,wgd,Unmethylated,Pahal.4G024500,0.125822,3.01424,0.0417426,0
21,Pahal.1G033300,wgd,gbM,Pahal.4G025200,0.00926811,1.02386,0.00905214,4.18833e-91
22,Pahal.1G034500,wgd,Unmethylated,Pahal.4G026200,0.270234,1.47548,0.183151,5.57545e-32
23,Pahal.1G034700,wgd,gbM,Pahal.4G026600,0.030102,1.58955,0.0189375,6.66226e-83
24,Pahal.1G035300,wgd,Unmethylated,Pahal.4G027100,0.283339,0.925971,0.305992,2.09586e-27
25,Pahal.1G035500,wgd,gbM,Pahal.4G027600,0.163532,1.79423,0.0911436,1.1633e-83
26,Pahal.1G035800,wgd,Unmethylated,Pahal.4G028300,0.430192,3.36219,0.12795,0
27,Pahal.1G036100,wgd,Unmethylated,Pahal.4G029900,0.526178,2.31881,0.226918,2.12134e-18
28,Pahal.1G036300,wgd,gbM,Pahal.4G030000,0.36948,1.62843,0.226893,6.7715e-24
29,Pahal.1G036600,wgd,gbM,Pahal.4G032400,0.105897,0.970408,0.109126,4.1337e-34
30,Pahal.1G037800,wgd,gbM,Pahal.4G033200,0.186705,1.07595,0.173527,2.27387e-43
31,Pahal.1G038700,wgd,gbM,Pahal.4G033400,0.319841,1.67567,0.190873,1.70179e-39
32,Pahal.1G040500,wgd,gbM,Pahal.4G035400,0.019307,4.68759,0.00411874,1.69692e-83
33,Pahal.1G042000,wgd,Unclassified,Pahal.4G035800,0.0706322,1.30805,0.0539981,5.23731e-86
34,Pahal.1G042100,wgd,gbM,Pahal.4G036100,0.0223102,0.740495,0.0301288,6.5584e-94
35,Pahal.1G042700,wgd,Unmethylated,Pahal.4G036400,0.163997,1.74525,0.0939678,5.61439e-23
36,Pahal.1G042900,wgd,Unclassified,Pahal.4G036700,0.101229,1.39716,0.0724532,2.25875e-86
37,Pahal.1G043300,wgd,gbM,Pahal.4G036800,0.418433,1.1182,0.374202,2.23952e-16
38,Pahal.1G043400,wgd,Unmethylated,Pahal.4G036900,0.218359,4.78447,0.0456392,3.32458e-10
39,Pahal.1G044100,wgd,Unclassified,Pahal.4G038800,0.466506,1.80015,0.259148,1.82104e-19
40,Pahal.1G044800,wgd,Unmethylated,Pahal.4G039900,0.238948,1.74285,0.137102,2.12129e-10
