Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
Migut.A00010,Migut.E01821,gbM,gbM,wgd,Same,gbM-gbM,0.111226,0.702554,0.158317,5.02928e-28
Migut.A00011,Migut.E01819,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0967872,2.40399,0.0402611,2.83399e-27
Migut.A00012,Migut.E01817,gbM,gbM,wgd,Same,gbM-gbM,0.2225,1.00064,0.222359,1.66642e-34
Migut.A00013,Migut.E01816,unM,unM,wgd,Same,unM-unM,0.191196,0.766769,0.249353,8.99442e-11
Migut.A00017,Migut.E01815,gbM,gbM,wgd,Same,gbM-gbM,0.0907307,1.4228,0.063769,1.70411e-69
Migut.A00020,Migut.E01812,gbM,gbM,wgd,Same,gbM-gbM,0.114804,0.985931,0.116442,1.47398e-52
Migut.A00021,Migut.E01811,gbM,gbM,wgd,Same,gbM-gbM,0.143365,0.63628,0.225317,1.77268e-17
Migut.A00023,Migut.E01810,gbM,gbM,wgd,Same,gbM-gbM,0.102739,0.750526,0.13689,7.28472e-36
Migut.A00024,Migut.E01809,gbM,gbM,wgd,Same,gbM-gbM,0.119275,0.997514,0.119572,4.40151e-53
Migut.A00037,Migut.E01804,gbM,gbM,wgd,Same,gbM-gbM,0.115081,1.2869,0.0894247,7.78854e-35
Migut.A00039,Migut.E01802,gbM,gbM,wgd,Same,gbM-gbM,0.139858,1.33878,0.104467,7.68132e-87
Migut.A00044,Migut.E01800,gbM,gbM,wgd,Same,gbM-gbM,0.312059,0.740192,0.421592,1.96614e-08
Migut.A00045,Migut.E01799,gbM,gbM,wgd,Same,gbM-gbM,0.212213,1.07757,0.196937,1.49735e-44
Migut.A00053,Migut.E01792,gbM,gbM,wgd,Same,gbM-gbM,0.12678,1.08448,0.116904,1.72717e-37
Migut.A00054,Migut.E01790,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0821574,0.616765,0.133207,1.585e-15
