Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Pavir.1KG450705,unM,Pavir.1KG450800,unM,wgd,Same,unM-unM
Pavir.1KG003200,unM,Pavir.1NG000200,unM,wgd,Same,unM-unM
Pavir.1KG003300,unM,Pavir.1NG000300,unM,wgd,Same,unM-unM
Pavir.1KG003400,unM,Pavir.1NG000400,unM,wgd,Same,unM-unM
Pavir.1KG003900,Unclassified,Pavir.1NG000600,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Pavir.1KG004500,unM,Pavir.1NG001300,unM,wgd,Same,unM-unM
Pavir.1KG004700,unM,Pavir.1NG001500,unM,wgd,Same,unM-unM
Pavir.1KG004800,unM,Pavir.1NG001600,unM,wgd,Same,unM-unM
Pavir.1KG005033,unM,Pavir.1NG001900,unM,wgd,Same,unM-unM
Pavir.1KG005166,unM,Pavir.1NG002100,unM,wgd,Same,unM-unM
Pavir.1KG005500,unM,Pavir.1NG002300,unM,wgd,Same,unM-unM
Pavir.1KG005800,Unclassified,Pavir.1NG002700,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Pavir.1KG006100,Unclassified,Pavir.1NG003000,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Pavir.1KG006500,unM,Pavir.1NG003200,unM,wgd,Same,unM-unM
Pavir.1KG006801,Unclassified,Pavir.1NG003500,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Pavir.1KG007000,unM,Pavir.1NG003700,unM,wgd,Same,unM-unM
Pavir.1KG007300,unM,Pavir.1NG004000,unM,wgd,Same,unM-unM
Pavir.1KG007400,Unclassified,Pavir.1NG004100,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Pavir.1KG007500,Unclassified,Pavir.1NG004200,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Pavir.1KG007600,unM,Pavir.1NG004300,unM,wgd,Same,unM-unM
Pavir.1KG007800,gbM,Pavir.1NG004400,gbM,wgd,Same,gbM-gbM
Pavir.1KG002000,unM,Pavir.1NG005800,unM,wgd,Same,unM-unM
Pavir.1KG001700,gbM,Pavir.1NG006100,gbM,wgd,Same,gbM-gbM
Pavir.1KG001500,Unclassified,Pavir.1NG006300,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Pavir.1KG001400,unM,Pavir.1NG006400,unM,wgd,Same,unM-unM
Pavir.1KG008000,gbM,Pavir.1NG006800,gbM,wgd,Same,gbM-gbM
Pavir.1KG008900,unM,Pavir.1NG007300,unM,wgd,Same,unM-unM
Pavir.1KG009300,gbM,Pavir.1NG008000,gbM,wgd,Same,gbM-gbM
Pavir.1KG009000,Unclassified,Pavir.1NG008073,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Pavir.1KG010000,Unclassified,Pavir.1NG008300,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Pavir.1KG010100,unM,Pavir.1NG008400,unM,wgd,Same,unM-unM
Pavir.1KG010200,unM,Pavir.1NG008500,unM,wgd,Same,unM-unM
Pavir.1KG010300,unM,Pavir.1NG008600,unM,wgd,Same,unM-unM
Pavir.1KG010400,unM,Pavir.1NG008700,unM,wgd,Same,unM-unM
Pavir.1KG010800,unM,Pavir.1NG008900,unM,wgd,Same,unM-unM
