,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,VIT_200s0131g00020,wgd,Unclassified,VIT_213s0139g00480,0.0296852,0.0692603,0.428603,0.0593712
2,VIT_200s0131g00090,wgd,Unclassified,VIT_213s0139g00473,0.126086,0.263755,0.478044,0.00741323
3,VIT_200s0131g00100,wgd,TE-like,VIT_213s0139g00468,0.13912,0.178588,0.779003,0.428546
4,VIT_200s0131g00150,wgd,Unclassified,VIT_213s0139g00480,0.0321775,0.0974144,0.330316,0.0123223
5,VIT_200s0131g00175,wgd,Unclassified,VIT_213s0139g00415,0.0549474,0.0306576,1.7923,0.414091
6,VIT_200s0131g00180,wgd,NA,VIT_213s0139g00460,0.0187687,0.0779241,0.240859,0.103308
7,VIT_200s0131g00183,wgd,Unclassified,VIT_213s0139g00426,0.328934,0.472903,0.695563,0.364004
8,VIT_200s0131g00186,wgd,TE-like,VIT_213s0139g00432,0.185785,0.35408,0.524699,0.0501629
9,VIT_200s0131g00240,wgd,Unclassified,VIT_213s0139g00444,0.0158092,0.0634602,0.249119,0.00928132
10,VIT_200s0131g00252,wgd,TE-like,VIT_213s0139g00468,0.122224,0.084058,1.45405,0.164028
11,VIT_200s0131g00254,wgd,NA,VIT_213s0139g00462,0.0663649,0.335575,0.197764,4.31428e-07
12,VIT_200s0131g00256,wgd,Unclassified,VIT_213s0139g00432,0.107918,0.157324,0.68596,0.246684
13,VIT_200s0131g00305,wgd,Unclassified,VIT_213s0139g00415,0.0486934,0.023465,2.07515,0.221787
14,VIT_200s0131g00310,wgd,Unclassified,VIT_213s0139g00420,0.0161908,0.028661,0.564905,0.371058
15,VIT_200s0131g00312,wgd,TE-like,VIT_213s0139g00473,0.227092,0.220241,1.03111,1
16,VIT_200s0131g00314,wgd,TE-like,VIT_213s0139g00432,0.0680568,0.0817414,0.832587,0.543302
17,VIT_200s0131g00316,wgd,Unclassified,VIT_213s0139g00438,0.0354846,NA,NA,NA
18,VIT_200s0131g00318,wgd,Unclassified,VIT_213s0139g00450,0.0324448,0.111977,0.289745,0.0610098
19,VIT_200s0131g00350,wgd,TE-like,VIT_213s0139g00415,0.186622,0.0726912,2.56732,0.00369633
20,VIT_200s0173g00030,wgd,NA,VIT_209s0070g00800,0.0673233,0.12399,0.542973,0.154276
21,VIT_200s0173g00040,wgd,NA,VIT_209s0070g00810,0.0291282,0.129414,0.225078,0.00121899
22,VIT_200s0173g00070,wgd,Unclassified,VIT_209s0070g01005,0.0686555,0.0421969,1.62703,0.567843
23,VIT_200s0173g00130,wgd,NA,VIT_209s0070g00850,0.0990547,0.100383,0.986768,0.999993
24,VIT_200s0173g00140,wgd,NA,VIT_209s0070g00960,0.00861523,0.0480382,0.179341,0.0728947
25,VIT_200s0173g00220,wgd,Unclassified,VIT_209s0070g00870,0.21289,0.273377,0.77874,0.393898
26,VIT_200s0173g00240,wgd,NA,VIT_209s0070g00960,0.00392265,0.0142079,0.27609,0.343512
27,VIT_200s0173g00250,wgd,Unclassified,VIT_209s0070g00850,0.0116955,0.012989,0.900421,0.653062
28,VIT_200s0179g00090,wgd,Unclassified,VIT_205s0020g04060,0.352397,2.48152,0.142009,1.20428e-19
29,VIT_200s0179g00150,wgd,Unmethylated,VIT_205s0020g04090,0.298703,1.3222,0.225915,6.60509e-27
30,VIT_200s0179g00200,wgd,Unclassified,VIT_205s0020g04150,0.163261,1.64938,0.0989829,5.15521e-34
31,VIT_200s0179g00260,wgd,gbM,VIT_205s0020g04380,0.170274,1.69924,0.100206,1.52237e-154
32,VIT_200s0179g00280,wgd,Unclassified,VIT_205s0020g04420,0.122657,1.55962,0.0786456,2.48076e-28
33,VIT_200s0179g00300,wgd,gbM,VIT_205s0020g04430,0.133445,1.13958,0.117101,5.68379e-42
34,VIT_200s0179g00350,wgd,Unclassified,VIT_205s0020g04480,0.153977,1.58162,0.0973537,1.59733e-71
35,VIT_200s0179g00360,wgd,Unclassified,VIT_205s0020g04500,0.221377,1.75903,0.125852,1.11505e-48
36,VIT_200s0198g00030,wgd,NA,VIT_209s0070g00960,0.0456536,0.0852896,0.535277,0.196669
37,VIT_200s0198g00040,wgd,NA,VIT_209s0070g00950,0.0298085,NA,NA,NA
38,VIT_200s0198g00060,wgd,NA,VIT_209s0070g00900,0.0275644,NA,NA,NA
39,VIT_200s0198g00120,wgd,NA,VIT_209s0070g00870,0.0397068,0.0314842,1.26117,0.703681
40,VIT_200s0198g00130,wgd,Unclassified,VIT_209s0070g00860,0.0720125,0.03616,1.99149,0.297385
41,VIT_200s0198g00170,wgd,TE-like,VIT_209s0070g00810,0.0372053,0.0814263,0.45692,0.101064
42,VIT_200s0198g00180,wgd,Unclassified,VIT_209s0070g00800,0.105336,0.103145,1.02124,0.999958
43,VIT_200s0199g00030,wgd,gbM,VIT_218s0001g07370,0.343106,1.45709,0.235474,1.09762e-43
44,VIT_200s0199g00070,wgd,gbM,VIT_218s0001g07310,0.190863,0.837396,0.227924,2.12475e-17
45,VIT_200s0199g00080,wgd,gbM,VIT_218s0001g07290,0.130523,1.51535,0.0861339,2.07545e-102
46,VIT_200s0199g00140,wgd,NA,VIT_218s0001g07240,0.255038,2.05044,0.124382,9.82955e-28
47,VIT_200s0199g00210,wgd,Unmethylated,VIT_218s0001g07220,0.325136,1.07824,0.301542,2.43164e-14
48,VIT_200s0199g00250,wgd,Unclassified,VIT_218s0001g07140,0.133391,1.93498,0.0689368,8.86837e-41
49,VIT_200s0199g00260,wgd,Unclassified,VIT_218s0001g07130,0.231193,1.5985,0.144631,9.35086e-15
50,VIT_200s0199g00270,wgd,Unclassified,VIT_218s0001g07090,0.145471,2.22383,0.0654146,1.42459e-24
51,VIT_200s0199g00300,wgd,Unclassified,VIT_218s0001g07080,0.27215,1.06037,0.256656,6.16638e-08
52,VIT_200s0203g00070,wgd,Unclassified,VIT_212s0134g00570,0.240233,4.03843,0.0594866,5.78017e-51
53,VIT_200s0203g00090,wgd,Unclassified,VIT_212s0134g00550,0.237987,1.48441,0.160324,1.00967e-37
54,VIT_200s0203g00160,wgd,Unclassified,VIT_212s0134g00500,0.338723,1.26597,0.26756,1.1801e-14
55,VIT_200s0203g00170,wgd,Unclassified,VIT_212s0134g00490,0.555073,3.76702,0.147351,1.09936e-17
56,VIT_200s0203g00200,wgd,Unmethylated,VIT_212s0134g00430,0.116999,3.38596,0.0345541,7.46051e-47
57,VIT_200s0203g00210,wgd,NA,VIT_212s0134g00400,0.357428,3.27225,0.10923,1.11906e-16
58,VIT_200s0207g00090,wgd,gbM,VIT_203s0063g02000,0.775746,4.34759,0.178431,2.01431e-37
59,VIT_200s0207g00120,wgd,Unclassified,VIT_203s0063g01990,0.326735,1.76105,0.185534,2.78566e-28
60,VIT_200s0207g00135,wgd,Unmethylated,VIT_203s0063g01950,0.353807,3.25207,0.108795,7.33035e-17
61,VIT_200s0207g00140,wgd,NA,VIT_203s0063g01940,0.286115,3.50588,0.08161,1.15319e-23
62,VIT_200s0207g00200,wgd,Unclassified,VIT_203s0063g01910,0.166721,0.87544,0.190443,8.75703e-14
63,VIT_200s0207g00220,wgd,Unclassified,VIT_203s0063g01870,0.157037,1.2765,0.123022,3.11082e-28
64,VIT_200s0220g00030,wgd,Unclassified,VIT_205s0094g00940,0.572157,2.95655,0.193522,4.85984e-11
65,VIT_200s0220g00090,wgd,TE-like,VIT_205s0094g01070,0.0810508,1.02325,0.0792093,1.10551e-58
66,VIT_200s0220g00110,wgd,gbM,VIT_205s0094g01110,0.152386,2.89578,0.0526236,4.92952e-67
67,VIT_200s0220g00120,wgd,gbM,VIT_205s0094g01270,0.44102,1.45556,0.30299,3.55728e-17
68,VIT_200s0220g00140,wgd,Unclassified,VIT_205s0094g01300,0.234075,4.12283,0.0567752,4.85056e-81
69,VIT_200s0220g00160,wgd,gbM,VIT_205s0094g01330,0.16679,3.20922,0.0519721,8.45623e-121
70,VIT_200s0233g00020,wgd,NA,VIT_202s0154g00100,0.0288998,0.0826521,0.349656,0.00373158
71,VIT_200s0233g00030,wgd,Unclassified,VIT_202s0154g00110,0.0072415,0.0146549,0.494137,0.294224
72,VIT_200s0233g00050,wgd,Unmethylated,VIT_202s0154g00130,0.00918642,0.0209942,0.437569,0.137213
73,VIT_200s0233g00060,wgd,gbM,VIT_202s0154g00140,0.0339931,0.127598,0.266407,2.31711e-07
74,VIT_200s0233g00100,wgd,Unmethylated,VIT_202s0154g00150,0.006564,0.0323853,0.202684,0.0886298
75,VIT_200s0233g00120,wgd,Unmethylated,VIT_202s0154g00160,0.0304589,0.0636647,0.478427,0.209237
76,VIT_200s0233g00130,wgd,Unmethylated,VIT_202s0154g00170,0.163659,0.525175,0.311628,7.92227e-09
77,VIT_200s0233g00190,wgd,Unmethylated,VIT_202s0154g00200,0.014831,0.0213688,0.694048,0.405047
78,VIT_200s0258g00010,wgd,NA,VIT_216s0098g00020,0.0234394,0.0614653,0.381344,0.0034534
79,VIT_200s0258g00030,wgd,NA,NA,NA,NA,NA,NA
80,VIT_200s0258g00040,wgd,Unclassified,VIT_216s0098g00150,0.100826,0.311938,0.323225,1.38848e-12
81,VIT_200s0258g00050,wgd,Unclassified,VIT_216s0148g00240,0.0164424,0.0139046,1.18252,0.981376
82,VIT_200s0258g00060,wgd,NA,VIT_216s0148g00150,0.0277092,0.0217013,1.27685,0.75874
83,VIT_200s0258g00070,wgd,NA,VIT_216s0148g00050,0.102352,0.156711,0.653126,0.343502
84,VIT_200s0258g00080,wgd,TE-like,VIT_216s0148g00230,0.12126,0.328584,0.369039,0.000844921
85,VIT_200s0258g00085,wgd,Unclassified,VIT_216s0148g00130,0.274713,0.478743,0.573821,0.0409788
86,VIT_200s0258g00090,wgd,NA,VIT_216s0148g00330,0.0110353,0.0183619,0.600992,0.448709
87,VIT_200s0258g00100,wgd,Unclassified,VIT_216s0148g00030,0.0181512,0.0104832,1.73146,0.366708
88,VIT_200s0258g00110,wgd,TE-like,VIT_216s0148g00350,0.0448306,0.100165,0.447566,0.0627309
89,VIT_200s0258g00130,wgd,TE-like,VIT_216s0148g00300,0.00437041,0.0127843,0.341858,0.157014
90,VIT_200s0258g00135,wgd,Unclassified,VIT_216s0148g00360,0.0115931,0.0367383,0.315559,0.0497307
91,VIT_200s0258g00140,wgd,TE-like,VIT_216s0098g00240,0.160407,0.88859,0.180519,7.93488e-27
92,VIT_200s0294g00010,wgd,NA,VIT_216s0148g00030,0.0417656,0.0360282,1.15925,0.808561
