Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Carub.0001s1404,unM,Carub.0001s2401,unM,wgd,Same,unM-unM
Carub.0001s1388,unM,Carub.0001s2417,unM,wgd,Same,unM-unM
Carub.0001s1337,gbM,Carub.0001s2470,gbM,wgd,Same,gbM-gbM
Carub.0001s2184,gbM,Carub.0001s3267,gbM,wgd,Same,gbM-gbM
Carub.0001s2200,unM,Carub.0001s3286,unM,wgd,Same,unM-unM
Carub.0001s3398,teM,Carub.0001s3687,teM,wgd,Same,teM-teM
Carub.0001s3397,teM,Carub.0001s3688,teM,wgd,Same,teM-teM
Carub.0001s3396,teM,Carub.0001s3689,teM,wgd,Same,teM-teM
Carub.0001s3382,gbM,Carub.0001s3690,gbM,wgd,Same,gbM-gbM
Carub.0001s3364,unM,Carub.0001s3702,unM,wgd,Same,unM-unM
Carub.0001s3352,unM,Carub.0001s3717,unM,wgd,Same,unM-unM
Carub.0001s1250,gbM,Carub.0002s0175,gbM,wgd,Same,gbM-gbM
Carub.0001s1247,Unclassified,Carub.0002s0176,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Carub.0001s1233,Unclassified,Carub.0002s0195,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Carub.0001s1232,unM,Carub.0002s0196,unM,wgd,Same,unM-unM
Carub.0001s1229,unM,Carub.0002s0197,unM,wgd,Same,unM-unM
Carub.0001s1225,unM,Carub.0002s0203,unM,wgd,Same,unM-unM
Carub.0001s1223,unM,Carub.0002s0204,unM,wgd,Same,unM-unM
Carub.0001s1216,gbM,Carub.0002s0207,gbM,wgd,Same,gbM-gbM
Carub.0001s1205,unM,Carub.0002s0211,unM,wgd,Same,unM-unM
Carub.0001s1204,gbM,Carub.0002s0212,gbM,wgd,Same,gbM-gbM
Carub.0001s1198,unM,Carub.0002s0216,unM,wgd,Same,unM-unM
Carub.0001s1194,unM,Carub.0002s0228,unM,wgd,Same,unM-unM
Carub.0001s1191,unM,Carub.0002s0231,unM,wgd,Same,unM-unM
Carub.0001s1182,Unclassified,Carub.0002s0240,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Carub.0001s1181,Unclassified,Carub.0002s0245,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Carub.0001s1178,unM,Carub.0002s0247,unM,wgd,Same,unM-unM
Carub.0001s1176,unM,Carub.0002s0251,unM,wgd,Same,unM-unM
Carub.0001s1172,unM,Carub.0002s0252,unM,wgd,Same,unM-unM
Carub.0001s1171,unM,Carub.0002s0254,unM,wgd,Same,unM-unM
Carub.0001s1170,unM,Carub.0002s0255,unM,wgd,Same,unM-unM
Carub.0001s1169,unM,Carub.0002s0260,unM,wgd,Same,unM-unM
Carub.0001s1164,Unclassified,Carub.0002s0269,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Carub.0001s1139,unM,Carub.0002s0296,unM,wgd,Same,unM-unM
Carub.0001s1138,unM,Carub.0002s0297,unM,wgd,Same,unM-unM
Carub.0001s1134,unM,Carub.0002s0313,unM,wgd,Same,unM-unM
Carub.0001s1131,unM,Carub.0002s0315,unM,wgd,Same,unM-unM
Carub.0001s1115,unM,Carub.0002s0333,unM,wgd,Same,unM-unM
Carub.0001s1112,unM,Carub.0002s0334,unM,wgd,Same,unM-unM
Carub.0001s1108,unM,Carub.0002s0336,unM,wgd,Same,unM-unM
Carub.0001s1104,unM,Carub.0002s0358,unM,wgd,Same,unM-unM
Carub.0001s1091,gbM,Carub.0002s0367,gbM,wgd,Same,gbM-gbM
Carub.0001s1087,Unclassified,Carub.0002s0382,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Carub.0001s1080,unM,Carub.0002s0389,unM,wgd,Same,unM-unM
Carub.0001s1076,gbM,Carub.0002s0391,gbM,wgd,Same,gbM-gbM
Carub.0001s1075,gbM,Carub.0002s0392,gbM,wgd,Same,gbM-gbM
Carub.0001s1074,gbM,Carub.0002s0395,gbM,wgd,Same,gbM-gbM
Carub.0001s1070,unM,Carub.0002s0400,unM,wgd,Same,unM-unM
Carub.0001s1066,gbM,Carub.0002s0402,gbM,wgd,Same,gbM-gbM
Carub.0001s1064,unM,Carub.0002s0403,unM,wgd,Same,unM-unM
Carub.0001s1062,gbM,Carub.0002s0417,gbM,wgd,Same,gbM-gbM
Carub.0001s1055,unM,Carub.0002s0430,unM,wgd,Same,unM-unM
Carub.0001s1054,unM,Carub.0002s0431,unM,wgd,Same,unM-unM
Carub.0001s1048,gbM,Carub.0002s0440,gbM,wgd,Same,gbM-gbM
Carub.0001s1041,gbM,Carub.0002s0446,gbM,wgd,Same,gbM-gbM
Carub.0001s1018,unM,Carub.0002s0456,unM,wgd,Same,unM-unM
Carub.0001s1025,gbM,Carub.0002s0457,gbM,wgd,Same,gbM-gbM
Carub.0001s1039,unM,Carub.0002s0470,unM,wgd,Same,unM-unM
Carub.0001s1011,unM,Carub.0002s0475,unM,wgd,Same,unM-unM
Carub.0001s1001,Unclassified,Carub.0002s0503,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Carub.0001s1000,unM,Carub.0002s0505,unM,wgd,Same,unM-unM
Carub.0001s2339,gbM,Carub.0002s0518,gbM,wgd,Same,gbM-gbM
Carub.0001s0998,unM,Carub.0002s0521,unM,wgd,Same,unM-unM
Carub.0001s0997,unM,Carub.0002s0523,unM,wgd,Same,unM-unM
Carub.0001s2358,unM,Carub.0002s0531,unM,wgd,Same,unM-unM
Carub.0001s0990,unM,Carub.0002s0535,unM,wgd,Same,unM-unM
Carub.0001s2367,unM,Carub.0002s0537,unM,wgd,Same,unM-unM
Carub.0001s2368,gbM,Carub.0002s0538,gbM,wgd,Same,gbM-gbM
Carub.0001s0989,gbM,Carub.0002s0538,gbM,wgd,Same,gbM-gbM
Carub.0001s2383,Unclassified,Carub.0002s0545,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Carub.0001s0987,gbM,Carub.0002s0546,gbM,wgd,Same,gbM-gbM
Carub.0001s0977,Unclassified,Carub.0002s0564,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Carub.0001s0962,unM,Carub.0002s0586,unM,wgd,Same,unM-unM
Carub.0001s0955,unM,Carub.0002s0609,unM,wgd,Same,unM-unM
Carub.0001s0947,gbM,Carub.0002s0617,gbM,wgd,Same,gbM-gbM
Carub.0001s0941,gbM,Carub.0002s0620,gbM,wgd,Same,gbM-gbM
Carub.0001s0935,unM,Carub.0002s0622,unM,wgd,Same,unM-unM
Carub.0001s0922,gbM,Carub.0002s0667,gbM,wgd,Same,gbM-gbM
Carub.0001s0903,unM,Carub.0002s0669,unM,wgd,Same,unM-unM
Carub.0001s0900,Unclassified,Carub.0002s0680,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Carub.0001s0894,unM,Carub.0002s0698,unM,wgd,Same,unM-unM
Carub.0001s0892,unM,Carub.0002s0702,unM,wgd,Same,unM-unM
Carub.0001s0888,unM,Carub.0002s0708,unM,wgd,Same,unM-unM
Carub.0001s0869,unM,Carub.0002s0730,unM,wgd,Same,unM-unM
Carub.0001s0865,unM,Carub.0002s0733,unM,wgd,Same,unM-unM
Carub.0001s2572,unM,Carub.0002s1394,unM,wgd,Same,unM-unM
Carub.0001s2570,unM,Carub.0002s1399,unM,wgd,Same,unM-unM
Carub.0001s2553,unM,Carub.0002s1433,unM,wgd,Same,unM-unM
Carub.0001s2549,unM,Carub.0002s1441,unM,wgd,Same,unM-unM
Carub.0001s2541,unM,Carub.0002s1447,unM,wgd,Same,unM-unM
Carub.0001s2532,unM,Carub.0002s1461,unM,wgd,Same,unM-unM
Carub.0001s2530,unM,Carub.0002s1465,unM,wgd,Same,unM-unM
Carub.0001s2518,unM,Carub.0002s1481,unM,wgd,Same,unM-unM
Carub.0001s2515,unM,Carub.0002s1484,unM,wgd,Same,unM-unM
Carub.0001s2510,unM,Carub.0002s1495,unM,wgd,Same,unM-unM
Carub.0001s2509,unM,Carub.0002s1497,unM,wgd,Same,unM-unM
Carub.0001s2507,unM,Carub.0002s1501,unM,wgd,Same,unM-unM
Carub.0001s2505,unM,Carub.0002s1503,unM,wgd,Same,unM-unM
Carub.0001s2504,unM,Carub.0002s1504,unM,wgd,Same,unM-unM
Carub.0001s2503,unM,Carub.0002s1505,unM,wgd,Same,unM-unM
Carub.0001s2501,unM,Carub.0002s1507,unM,wgd,Same,unM-unM
Carub.0001s2496,Unclassified,Carub.0002s1519,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Carub.0001s2493,unM,Carub.0002s1521,unM,wgd,Same,unM-unM
Carub.0001s2475,unM,Carub.0002s1545,unM,wgd,Same,unM-unM
Carub.0001s2473,unM,Carub.0002s1547,unM,wgd,Same,unM-unM
Carub.0001s2469,unM,Carub.0002s1572,unM,wgd,Same,unM-unM
Carub.0001s2465,unM,Carub.0002s1583,unM,wgd,Same,unM-unM
Carub.0001s1348,unM,Carub.0002s1585,unM,wgd,Same,unM-unM
