Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
MD00G1002600,unM,MD01G1191600,unM,wgd,Same,unM-unM
MD00G1003400,unM,MD01G1192000,unM,wgd,Same,unM-unM
MD00G1003600,unM,MD01G1192100,unM,wgd,Same,unM-unM
MD00G1003800,gbM,MD01G1192300,gbM,wgd,Same,gbM-gbM
MD00G1004100,Unclassified,MD01G1193000,Unclassified,wgd,Undetermined,Unclassified-Unclassified
MD00G1004200,Unclassified,MD01G1193100,Unclassified,wgd,Undetermined,Unclassified-Unclassified
MD00G1004300,unM,MD01G1193200,unM,wgd,Same,unM-unM
MD00G1004400,unM,MD01G1193300,unM,wgd,Same,unM-unM
MD00G1004800,unM,MD01G1193700,unM,wgd,Same,unM-unM
MD00G1004900,unM,MD01G1194100,unM,wgd,Same,unM-unM
MD00G1005200,unM,MD01G1194300,unM,wgd,Same,unM-unM
MD00G1005600,unM,MD01G1194600,unM,wgd,Same,unM-unM
MD01G1055200,unM,MD01G1201400,unM,wgd,Same,unM-unM
MD01G1055300,unM,MD01G1201600,unM,wgd,Same,unM-unM
MD01G1062100,gbM,MD01G1205300,gbM,wgd,Same,gbM-gbM
MD01G1068100,unM,MD01G1207200,unM,wgd,Same,unM-unM
MD01G1069300,Unclassified,MD01G1208500,Unclassified,wgd,Undetermined,Unclassified-Unclassified
MD01G1075400,unM,MD01G1214500,unM,wgd,Same,unM-unM
MD01G1089500,Unclassified,MD01G1228900,Unclassified,wgd,Undetermined,Unclassified-Unclassified
MD00G1026600,unM,MD02G1038900,unM,wgd,Same,unM-unM
MD00G1026200,unM,MD02G1040400,unM,wgd,Same,unM-unM
MD00G1026500,teM,MD02G1055500,teM,wgd,Same,teM-teM
MD00G1026000,unM,MD02G1056000,unM,wgd,Same,unM-unM
MD01G1193000,Unclassified,MD02G1197500,Unclassified,wgd,Undetermined,Unclassified-Unclassified
MD01G1192100,unM,MD02G1198000,unM,wgd,Same,unM-unM
MD00G1013600,unM,MD03G1090700,unM,wgd,Same,unM-unM
MD00G1012800,teM,MD03G1090900,teM,wgd,Same,teM-teM
MD00G1012500,unM,MD03G1092000,unM,wgd,Same,unM-unM
MD00G1012400,unM,MD03G1092100,unM,wgd,Same,unM-unM
MD00G1012300,Unclassified,MD03G1092200,Unclassified,wgd,Undetermined,Unclassified-Unclassified
MD01G1134700,Unclassified,MD03G1092200,Unclassified,wgd,Undetermined,Unclassified-Unclassified
MD01G1124900,unM,MD03G1096900,unM,wgd,Same,unM-unM
MD01G1121900,unM,MD03G1100200,unM,wgd,Same,unM-unM
MD00G1140400,unM,MD03G1292500,unM,wgd,Same,unM-unM
MD00G1140500,Unclassified,MD03G1292600,Unclassified,wgd,Undetermined,Unclassified-Unclassified
MD00G1140600,gbM,MD03G1292700,gbM,wgd,Same,gbM-gbM
MD00G1140700,Unclassified,MD03G1292800,Unclassified,wgd,Undetermined,Unclassified-Unclassified
MD02G1195400,gbM,MD04G1068900,gbM,wgd,Same,gbM-gbM
MD01G1194300,unM,MD04G1069000,unM,wgd,Same,unM-unM
MD02G1196100,unM,MD04G1069300,unM,wgd,Same,unM-unM
MD02G1197400,unM,MD04G1070200,unM,wgd,Same,unM-unM
MD02G1197700,Unclassified,MD04G1070900,Unclassified,wgd,Undetermined,Unclassified-Unclassified
MD02G1199200,unM,MD04G1075600,unM,wgd,Same,unM-unM
MD02G1201800,unM,MD04G1077100,unM,wgd,Same,unM-unM
MD02G1205700,unM,MD04G1082600,unM,wgd,Same,unM-unM
MD01G1100600,unM,MD04G1089800,unM,wgd,Same,unM-unM
MD01G1100700,Unclassified,MD04G1090100,Unclassified,wgd,Undetermined,Unclassified-Unclassified
MD01G1101200,unM,MD04G1090400,unM,wgd,Same,unM-unM
MD01G1107700,unM,MD04G1096800,unM,wgd,Same,unM-unM
MD03G1119300,unM,MD04G1097200,unM,wgd,Same,unM-unM
MD03G1118000,unM,MD04G1097900,unM,wgd,Same,unM-unM
MD01G1111900,teM,MD04G1118700,teM,wgd,Same,teM-teM
MD01G1124600,unM,MD04G1124800,unM,wgd,Same,unM-unM
MD03G1097000,unM,MD04G1124800,unM,wgd,Same,unM-unM
MD01G1126100,gbM,MD04G1125700,gbM,wgd,Same,gbM-gbM
