Feature	Duplication
evm.TU.contig_24415.11	dispersed
evm.TU.supercontig_30.118	dispersed
evm.TU.supercontig_30.74	dispersed
evm.TU.contig_24415.12	dispersed
evm.TU.contig_31093.3	dispersed
evm.TU.contig_35011.2	dispersed
evm.TU.contig_43161	dispersed
evm.TU.supercontig_1.366	dispersed
evm.TU.contig_24415.5	dispersed
evm.TU.contig_32334	dispersed
evm.TU.supercontig_1161.1	dispersed
evm.TU.supercontig_3272.2	dispersed
evm.TU.contig_24608	dispersed
evm.TU.contig_28448.1	dispersed
evm.TU.contig_29396	dispersed
evm.TU.contig_33457.2	dispersed
evm.TU.contig_38760	dispersed
evm.TU.supercontig_135.3	dispersed
evm.TU.supercontig_139.40	dispersed
evm.TU.supercontig_358.1	dispersed
evm.TU.supercontig_44.14	dispersed
evm.TU.contig_24654.1	dispersed
evm.TU.supercontig_40.45	dispersed
evm.TU.contig_24864.1	dispersed
evm.TU.contig_28448.4	dispersed
evm.TU.contig_31147	dispersed
evm.TU.contig_35762	dispersed
evm.TU.contig_40499.2	dispersed
evm.TU.supercontig_1237.1	dispersed
evm.TU.contig_24864.2	dispersed
evm.TU.contig_25253.3	dispersed
evm.TU.contig_28448.2	dispersed
evm.TU.contig_35795	dispersed
evm.TU.contig_35890	dispersed
evm.TU.contig_43908	dispersed
evm.TU.supercontig_1136.1	dispersed
evm.TU.supercontig_185.4	dispersed
evm.TU.contig_24967.4	dispersed
evm.TU.contig_35242	dispersed
evm.TU.contig_36258	dispersed
evm.TU.supercontig_107.20	dispersed
evm.TU.supercontig_16.55	dispersed
evm.TU.contig_24967.6	dispersed
evm.TU.supercontig_438.4	dispersed
evm.TU.contig_25033	dispersed
evm.TU.contig_29663	dispersed
evm.TU.contig_31034	dispersed
evm.TU.contig_31115	dispersed
evm.TU.supercontig_2693.1	dispersed
evm.TU.supercontig_597.1	dispersed
evm.TU.contig_25049.1	dispersed
evm.TU.contig_25253.1	dispersed
evm.TU.contig_25982.2	dispersed
evm.TU.contig_28089	dispersed
evm.TU.contig_40164	dispersed
evm.TU.contig_25049.3	dispersed
evm.TU.supercontig_135.2	dispersed
evm.TU.supercontig_185.3	dispersed
evm.TU.supercontig_220.11	dispersed
evm.TU.supercontig_2248.1	dispersed
evm.TU.supercontig_5245.1	dispersed
evm.TU.contig_25049.4	dispersed
evm.TU.contig_28448.3	dispersed
evm.TU.contig_32899.2	dispersed
evm.TU.contig_40499.1	dispersed
evm.TU.contig_46342	dispersed
evm.TU.contig_25091.2	dispersed
evm.TU.contig_31263	dispersed
evm.TU.supercontig_18.200	dispersed
evm.TU.contig_25091.3	dispersed
evm.TU.supercontig_1680.2	dispersed
evm.TU.contig_25253.4	dispersed
evm.TU.contig_25391	dispersed
evm.TU.contig_35364	dispersed
evm.TU.contig_39057	dispersed
evm.TU.supercontig_127.52	dispersed
evm.TU.supercontig_4.156	dispersed
evm.TU.supercontig_450.2	dispersed
evm.TU.contig_25723.3	dispersed
evm.TU.supercontig_145.16	dispersed
evm.TU.contig_25982.1	dispersed
evm.TU.contig_37565	dispersed
evm.TU.supercontig_185.10	dispersed
evm.TU.supercontig_960.1	dispersed
evm.TU.contig_26005.2	dispersed
evm.TU.contig_35439	dispersed
evm.TU.supercontig_12.125	dispersed
evm.TU.contig_26337.3	dispersed
evm.TU.supercontig_127.48	dispersed
evm.TU.supercontig_14.40	dispersed
evm.TU.contig_26340.1	dispersed
evm.TU.supercontig_96.61	dispersed
evm.TU.contig_26340.2	dispersed
evm.TU.supercontig_3.208	dispersed
evm.TU.contig_26343.3	dispersed
evm.TU.contig_30628.1	dispersed
evm.TU.supercontig_103.2	dispersed
evm.TU.supercontig_26.241	dispersed
evm.TU.contig_26343.4	dispersed
evm.TU.contig_35017.1	dispersed
evm.TU.supercontig_139.48	dispersed
evm.TU.supercontig_144.29	dispersed
evm.TU.contig_26396.1	dispersed
evm.TU.contig_34278	dispersed
evm.TU.supercontig_111.59	dispersed
evm.TU.contig_26548.4	dispersed
evm.TU.supercontig_64.105	dispersed
evm.TU.contig_26619	dispersed
evm.TU.contig_42458	dispersed
evm.TU.contig_45433	dispersed
evm.TU.contig_26701	dispersed
evm.TU.contig_31711	dispersed
evm.TU.contig_33386	dispersed
evm.TU.supercontig_354.1	dispersed
evm.TU.supercontig_354.2	dispersed
evm.TU.supercontig_788.1	dispersed
evm.TU.contig_26718.2	dispersed
evm.TU.supercontig_78.51	dispersed
evm.TU.contig_26718.3	dispersed
evm.TU.supercontig_48.235	dispersed
evm.TU.supercontig_878.2	dispersed
evm.TU.contig_26744	dispersed
evm.TU.contig_29955	dispersed
evm.TU.supercontig_18.125	dispersed
evm.TU.supercontig_2057.1	dispersed
evm.TU.supercontig_3566.1	dispersed
evm.TU.contig_26789.3	dispersed
evm.TU.supercontig_117.63	dispersed
evm.TU.supercontig_132.60	dispersed
evm.TU.contig_26848	dispersed
evm.TU.contig_28289.2	dispersed
evm.TU.contig_33943	dispersed
evm.TU.contig_35497	dispersed
evm.TU.contig_36344	dispersed
evm.TU.contig_37530	dispersed
evm.TU.contig_37896	dispersed
evm.TU.contig_39615	dispersed
evm.TU.contig_39939	dispersed
evm.TU.contig_42757	dispersed
evm.TU.contig_46378	dispersed
evm.TU.supercontig_15.19	dispersed
evm.TU.supercontig_2.18	dispersed
evm.TU.supercontig_4.190	dispersed
evm.TU.supercontig_4.20	dispersed
evm.TU.supercontig_82.71	dispersed
evm.TU.contig_26924.2	dispersed
evm.TU.contig_39126	dispersed
evm.TU.supercontig_4.223	dispersed
evm.TU.supercontig_519.1	dispersed
evm.TU.supercontig_90.22	dispersed
evm.TU.contig_27001.1	dispersed
evm.TU.contig_34499	dispersed
evm.TU.contig_27001.3	dispersed
evm.TU.supercontig_117.83	dispersed
evm.TU.contig_27218.2	dispersed
evm.TU.contig_30173.2	dispersed
evm.TU.contig_31254	dispersed
evm.TU.contig_34878	dispersed
evm.TU.contig_40325	dispersed
evm.TU.contig_41267	dispersed
evm.TU.supercontig_956.1	dispersed
evm.TU.contig_27218.3	dispersed
evm.TU.supercontig_16.2	dispersed
evm.TU.supercontig_17.141	dispersed
evm.TU.supercontig_370.6	dispersed
evm.TU.supercontig_483.2	dispersed
evm.TU.supercontig_51.32	dispersed
evm.TU.supercontig_791.2	dispersed
evm.TU.supercontig_83.30	dispersed
evm.TU.contig_27280	dispersed
evm.TU.supercontig_7.236	dispersed
evm.TU.supercontig_78.48	dispersed
evm.TU.contig_27379.1	dispersed
evm.TU.supercontig_19.272	dispersed
evm.TU.supercontig_81.90	dispersed
evm.TU.contig_27401	dispersed
evm.TU.contig_36511	dispersed
evm.TU.contig_27433	dispersed
evm.TU.supercontig_43.111	dispersed
evm.TU.contig_27573.1	dispersed
evm.TU.supercontig_116.66	dispersed
evm.TU.supercontig_145.10	dispersed
evm.TU.contig_27582.2	dispersed
evm.TU.supercontig_545.2	dispersed
evm.TU.contig_27582.3	dispersed
evm.TU.supercontig_1681.1	dispersed
evm.TU.contig_27586	dispersed
evm.TU.contig_35009	dispersed
evm.TU.contig_36181	dispersed
evm.TU.contig_44957	dispersed
evm.TU.supercontig_118.30	dispersed
evm.TU.contig_27631.1	dispersed
evm.TU.supercontig_1974.1	dispersed
evm.TU.contig_27826.2	dispersed
evm.TU.contig_32257.2	dispersed
evm.TU.contig_32972.2	dispersed
evm.TU.contig_33315	dispersed
evm.TU.contig_27841	dispersed
evm.TU.contig_32339	dispersed
evm.TU.supercontig_1120.1	dispersed
evm.TU.supercontig_286.8	dispersed
evm.TU.supercontig_547.1	dispersed
evm.TU.contig_27934.1	dispersed
evm.TU.contig_38375	dispersed
evm.TU.contig_44423.1	dispersed
evm.TU.contig_45488	dispersed
evm.TU.contig_47210	dispersed
evm.TU.contig_47433	dispersed
evm.TU.contig_47802	dispersed
evm.TU.contig_27934.2	dispersed
evm.TU.contig_40514	dispersed
evm.TU.contig_42064	dispersed
evm.TU.contig_42099	dispersed
