Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
PGSC0003DMG400000004,PGSC0003DMG400010260,gbM,gbM,wgd,Same,gbM-gbM,0.0685298,1.3077,0.0524047,1.50767e-55
PGSC0003DMG400000008,PGSC0003DMG400010263,unM,unM,wgd,Same,unM-unM,0.200699,1.221,0.164372,2.97597e-17
PGSC0003DMG400000009,PGSC0003DMG402024252,gbM,unM,wgd,Different,gbM-unM,0.437952,3.19979,0.136869,1.72438e-11
PGSC0003DMG400000010,PGSC0003DMG400010264,gbM,gbM,wgd,Same,gbM-gbM,0.0829239,1.01234,0.081913,3.66049e-46
PGSC0003DMG400000011,PGSC0003DMG400024249,unM,unM,wgd,Same,unM-unM,0.247243,4.05037,0.0610421,6.98666e-62
PGSC0003DMG400000038,PGSC0003DMG400015787,gbM,gbM,wgd,Same,gbM-gbM,0.243233,2.12899,0.114248,4.57707e-57
PGSC0003DMG400000043,PGSC0003DMG400015790,gbM,gbM,wgd,Same,gbM-gbM,0.48447,4.70897,0.102882,4.30665e-61
PGSC0003DMG400000060,PGSC0003DMG400012190,gbM,gbM,wgd,Same,gbM-gbM,0.261581,3.96846,0.065915,2.49826e-94
PGSC0003DMG400000063,PGSC0003DMG400021650,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.146381,1.31154,0.11161,6.74243e-13
PGSC0003DMG400000064,PGSC0003DMG400012318,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.508169,3.68858,0.137768,0
PGSC0003DMG400000064,PGSC0003DMG400019408,unM,unM,wgd,Same,unM-unM,0.254943,1.27147,0.200511,7.3764e-19
PGSC0003DMG400000066,PGSC0003DMG400019407,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.239738,1.67983,0.142716,3.18689e-14
PGSC0003DMG400000069,PGSC0003DMG400020886,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.81027,1.51342,0.535389,0.00063913
PGSC0003DMG400000070,PGSC0003DMG400019406,unM,unM,wgd,Same,unM-unM,0.170521,1.0604,0.160808,1.8587e-19
PGSC0003DMG400000072,PGSC0003DMG402012314,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.182634,3.46315,0.0527364,2.84306e-47
PGSC0003DMG400000084,PGSC0003DMG400012313,gbM,gbM,wgd,Same,gbM-gbM,0.546893,4.49466,0.121676,2.14536e-51
PGSC0003DMG400000085,PGSC0003DMG400019403,gbM,gbM,wgd,Same,gbM-gbM,0.0727642,0.924601,0.078698,4.21085e-61
PGSC0003DMG400000088,PGSC0003DMG400033876,gbM,gbM,wgd,Same,gbM-gbM,0.178107,0.822086,0.216652,1.63358e-22
PGSC0003DMG400000089,PGSC0003DMG400012308,gbM,teM,wgd,Different,gbM-teM,0.175784,1.54121,0.114056,8.8084e-47
PGSC0003DMG400000089,PGSC0003DMG400019401,gbM,gbM,wgd,Same,gbM-gbM,0.135197,0.518984,0.260503,1.14139e-12
PGSC0003DMG400000090,PGSC0003DMG400019398,gbM,gbM,wgd,Same,gbM-gbM,0.0155004,0.632752,0.0244968,1.78528e-21
PGSC0003DMG400000091,PGSC0003DMG400012305,unM,unM,wgd,Same,unM-unM,0.534744,3.87103,0.13814,8.8773e-29
PGSC0003DMG400000092,PGSC0003DMG400009071,gbM,gbM,wgd,Same,gbM-gbM,0.241826,2.74957,0.0879505,3.53873e-60
PGSC0003DMG400000093,PGSC0003DMG400012304,gbM,gbM,wgd,Same,gbM-gbM,0.386662,4.54272,0.0851169,4.74624e-85
