Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
GSMUA_Achr10G00460_001,GSMUA_Achr6G34040_001,unM,unM,wgd,Same,unM-unM,0.221232,0.752074,0.294163,3.07415e-09
GSMUA_Achr10G00470_001,GSMUA_Achr8G02530_001,unM,unM,wgd,Same,unM-unM,0.114782,0.673887,0.170328,7.13227e-27
GSMUA_Achr10G00470_001,GSMUA_Achr9G03410_001,unM,unM,wgd,Same,unM-unM,0.118051,1.16307,0.101499,2.74214e-42
GSMUA_Achr10G00570_001,GSMUA_Achr9G03500_001,gbM,gbM,wgd,Same,gbM-gbM,0.0851114,0.473066,0.179914,3.42e-27
GSMUA_Achr10G00630_001,GSMUA_Achr6G33900_001,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.230989,1.15407,0.200152,7.16998e-13
GSMUA_Achr10G00660_001,GSMUA_Achr8G02370_001,unM,unM,wgd,Same,unM-unM,0.184549,0.687669,0.268369,1.66353e-07
GSMUA_Achr10G00670_001,GSMUA_Achr6G33810_001,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0807068,0.314489,0.256628,1.4459e-12
GSMUA_Achr10G00690_001,GSMUA_Achr8G02330_001,gbM,gbM,wgd,Same,gbM-gbM,0.156581,0.516855,0.30295,1.19468e-20
GSMUA_Achr10G00730_001,GSMUA_Achr8G02310_001,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.108015,0.507898,0.21267,8.2039e-10
GSMUA_Achr10G00770_001,GSMUA_Achr6G33700_001,unM,unM,wgd,Same,unM-unM,0.217631,0.947476,0.229696,4.14235e-20
GSMUA_Achr10G00770_001,GSMUA_Achr8G02290_001,unM,unM,wgd,Same,unM-unM,0.265025,0.564803,0.469235,1.98887e-06
GSMUA_Achr10G00780_001,GSMUA_Achr8G02280_001,unM,unM,wgd,Same,unM-unM,0.0837366,1.29888,0.0644681,3.11183e-15
GSMUA_Achr10G00790_001,GSMUA_Achr6G33560_001,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.195172,0.613535,0.318111,1.93457e-09
GSMUA_Achr10G00790_001,GSMUA_Achr8G02250_001,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.150207,0.360293,0.416902,2.91472e-05
GSMUA_Achr10G00800_001,GSMUA_Achr9G03810_001,gbM,gbM,wgd,Same,gbM-gbM,0.448786,1.16701,0.384562,1.49638e-05
GSMUA_Achr10G00810_001,GSMUA_Achr8G02180_001,unM,unM,wgd,Same,unM-unM,0.217926,0.75142,0.290019,9.06044e-11
GSMUA_Achr10G00840_001,GSMUA_Achr9G03890_001,unM,unM,wgd,Same,unM-unM,0.0922744,0.877581,0.105146,7.37475e-31
GSMUA_Achr10G00870_001,GSMUA_Achr8G02170_001,gbM,unM,wgd,Different,gbM-unM,0.128099,0.768619,0.166661,3.5237e-25
GSMUA_Achr10G00900_001,GSMUA_Achr9G03960_001,gbM,gbM,wgd,Same,gbM-gbM,0.0191521,1.74422,0.0109803,6.69871e-78
GSMUA_Achr10G00980_001,GSMUA_Achr5G06640_001,gbM,teM,wgd,Different,gbM-teM,0.0323975,0.377658,0.0857851,1.69699e-31
